date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,63.78674385615029,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,63.78674385615029,6150.804380047737,10150.804380047737,10000.0,0
2023-01-05,4000.0,63.78674385615029,6064.713299304875,10064.713299304876,10000.0,0
2023-01-06,4000.0,63.78674385615029,6458.003892420381,10458.00389242038,10000.0,0
2023-01-09,4000.0,63.78674385615029,6595.500259979077,10595.500259979077,10000.0,0
2023-01-10,4000.0,63.78674385615029,6691.500107595529,10691.50010759553,10000.0,0
2023-01-11,4000.0,63.78674385615029,6816.609664917329,10816.609664917329,10000.0,0
2023-01-12,4000.0,63.78674385615029,6825.280870071968,10825.280870071969,10000.0,0
2023-01-13,4000.0,63.78674385615029,6811.035040658355,10811.035040658355,10000.0,0
2023-01-17,4000.0,63.78674385615029,6776.353139965207,10776.353139965207,10000.0,0
2023-01-18,4000.0,63.78674385615029,6794.312141189905,10794.312141189905,10000.0,0
2023-01-19,4000.0,63.78674385615029,6575.061268774133,10575.061268774134,10000.0,0
2023-01-20,4000.0,63.78674385615029,6791.216533602708,10791.216533602708,10000.0,0
2023-01-23,4000.0,63.78674385615029,7070.544871297422,11070.544871297421,10000.0,0
2023-01-24,4000.0,63.78674385615029,6998.080109127345,10998.080109127346,10000.0,0
2023-01-25,4000.0,63.78674385615029,7057.538550219698,11057.538550219699,10000.0,0
2023-01-26,4000.0,63.78674385615029,7158.4930246000595,11158.493024600059,10000.0,0
2023-01-27,4000.0,63.78674385615029,6967.732351048813,10967.732351048813,10000.0,0
2023-01-30,4000.0,63.78674385615029,6701.410821086058,10701.410821086058,10000.0,0
2023-01-31,4000.0,63.78674385615029,6905.177329060794,10905.177329060794,10000.0,0
2023-02-01,8000.0,115.63188925116533,13361.942686453755,21361.942686453753,20000.0,0
2023-02-02,8000.0,115.63188925116533,13951.390780589052,21951.390780589052,20000.0,0
2023-02-03,8000.0,115.63188925116533,13470.848672967108,21470.848672967106,20000.0,0
2023-02-06,8000.0,115.63188925116533,13213.736396272492,21213.736396272492,20000.0,0
2023-02-07,8000.0,115.63188925116533,13531.478839750824,21531.478839750824,20000.0,0
2023-02-08,8000.0,115.63188925116533,13018.37732862094,21018.37732862094,20000.0,0
2023-02-09,8000.0,115.63188925116533,13032.973349187196,21032.973349187196,20000.0,0
2023-02-10,8000.0,115.63188925116533,12885.891865667883,20885.891865667883,20000.0,0
2023-02-13,8000.0,115.63188925116533,13083.497900039429,21083.49790003943,20000.0,0
2023-02-14,8000.0,115.63188925116533,13297.945157294613,21297.945157294613,20000.0,0
2023-02-15,8000.0,115.63188925116533,13412.463708500773,21412.46370850077,20000.0,0
2023-02-16,8000.0,115.63188925116533,12955.50284172114,20955.50284172114,20000.0,0
2023-02-17,8000.0,115.63188925116533,12961.118053017859,20961.11805301786,20000.0,0
2023-02-21,8000.0,115.63188925116533,12494.048923702827,20494.048923702827,20000.0,0
2023-02-22,8000.0,115.63188925116533,12425.402193674287,20425.402193674287,20000.0,0
2023-02-23,8000.0,115.63188925116533,12706.746775773192,20706.746775773194,20000.0,0
2023-02-24,8000.0,115.63188925116533,12526.68507872417,20526.68507872417,20000.0,0
2023-02-27,8000.0,115.63188925116533,12612.214495097618,20612.214495097618,20000.0,0
2023-02-28,8000.0,115.63188925116533,13071.372043122943,21071.372043122945,20000.0,0
2023-03-01,12000.0,168.12783846052844,19187.302236458876,31187.302236458876,30000.0,0
2023-03-02,12000.0,168.12783846052844,19382.020728081687,31382.020728081687,30000.0,0
2023-03-03,12000.0,168.12783846052844,19465.47151020575,31465.47151020575,30000.0,0
2023-03-06,12000.0,168.12783846052844,19396.74884576665,31396.74884576665,30000.0,0
2023-03-07,12000.0,168.12783846052844,19041.67447745419,31041.67447745419,30000.0,0
2023-03-08,12000.0,168.12783846052844,19414.74788316044,31414.74788316044,30000.0,0
2023-03-09,12000.0,168.12783846052844,19151.301596244084,31151.301596244084,30000.0,0
2023-03-10,12000.0,168.12783846052844,18717.681542657177,30717.681542657177,30000.0,0
2023-03-13,12000.0,168.12783846052844,18954.945079339643,30954.945079339643,30000.0,0
2023-03-14,12000.0,168.12783846052844,19691.281697052902,31691.281697052902,30000.0,0
2023-03-15,12000.0,168.12783846052844,19386.92967307214,31386.92967307214,30000.0,0
