date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,155.967166586079,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,155.967166586079,10084.83756262469,10084.83756262469,10000.0,1
2023-01-05,0.0,155.967166586079,9721.433778894716,9721.433778894716,10000.0,1
2023-01-06,0.0,155.967166586079,9975.659832053407,9975.659832053407,10000.0,1
2023-01-09,0.0,155.967166586079,10487.231948066139,10487.231948066139,10000.0,1
2023-01-10,0.0,155.967166586079,10613.566162156696,10613.566162156696,10000.0,1
2023-01-11,0.0,155.967166586079,10771.0921436554,10771.0921436554,10000.0,1
2023-01-12,0.0,155.967166586079,11042.475870268412,11042.475870268412,10000.0,1
2023-01-13,0.0,155.967166586079,11073.66882761161,11073.66882761161,10000.0,1
2023-01-17,0.0,155.967166586079,11165.688884728574,11165.688884728574,10000.0,1
2023-01-18,0.0,155.967166586079,11000.364068926545,11000.364068926545,10000.0,1
2023-01-19,0.0,155.967166586079,10560.536706751203,10560.536706751203,10000.0,1
2023-01-20,0.0,155.967166586079,10928.619315089154,10928.619315089154,10000.0,1
2023-01-23,0.0,155.967166586079,11936.16706844302,11936.16706844302,10000.0,1
2023-01-24,0.0,155.967166586079,11650.746868006083,11650.746868006083,10000.0,1
2023-01-25,0.0,155.967166586079,11683.501020132002,11683.501020132002,10000.0,1
2023-01-26,0.0,155.967166586079,11722.49281177852,11722.49281177852,10000.0,1
2023-01-27,0.0,155.967166586079,11759.924598577367,11759.924598577367,10000.0,1
2023-01-30,0.0,155.967166586079,11299.820743187405,11299.820743187405,10000.0,1
2023-01-31,0.0,155.967166586079,11720.932806930847,11720.932806930847,10000.0,1
2023-02-01,0.0,273.9376008166177,23186.07836592028,23186.07836592028,20000.0,1
2023-02-02,0.0,273.9376008166177,24191.42885932254,24191.42885932254,20000.0,1
2023-02-03,0.0,273.9376008166177,23583.287051113162,23583.287051113162,20000.0,1
2023-02-06,0.0,273.9376008166177,22923.09851993369,22923.09851993369,20000.0,1
2023-02-07,0.0,273.9376008166177,23533.980289345083,23533.980289345083,20000.0,1
2023-02-08,0.0,273.9376008166177,23199.776081952325,23199.776081952325,20000.0,1
2023-02-09,0.0,273.9376008166177,22794.347513153396,22794.347513153396,20000.0,1
2023-02-10,0.0,273.9376008166177,22320.436634128346,22320.436634128346,20000.0,1
2023-02-13,0.0,273.9376008166177,22772.432003493337,22772.432003493337,20000.0,1
