date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,93.5802999516474,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,93.5802999516474,6050.902537574815,10050.902537574815,10000.0,0
2023-01-05,4000.0,93.5802999516474,5832.86026733683,9832.86026733683,10000.0,0
2023-01-06,4000.0,93.5802999516474,5985.395899232045,9985.395899232044,10000.0,0
2023-01-09,4000.0,93.5802999516474,6292.339168839683,10292.339168839684,10000.0,0
2023-01-10,4000.0,93.5802999516474,6368.139697294017,10368.139697294017,10000.0,0
2023-01-11,4000.0,93.5802999516474,6462.6552861932405,10462.65528619324,10000.0,0
2023-01-12,4000.0,93.5802999516474,6625.485522161048,10625.485522161049,10000.0,0
2023-01-13,4000.0,93.5802999516474,6644.2012965669655,10644.201296566966,10000.0,0
2023-01-17,4000.0,93.5802999516474,6699.413330837144,10699.413330837144,10000.0,0
2023-01-18,4000.0,93.5802999516474,6600.218441355927,10600.218441355926,10000.0,0
2023-01-19,4000.0,93.5802999516474,6336.322024050723,10336.322024050722,10000.0,0
2023-01-20,4000.0,93.5802999516474,6557.171589053492,10557.171589053492,10000.0,0
2023-01-23,4000.0,93.5802999516474,7161.7002410658115,11161.700241065811,10000.0,0
2023-01-24,4000.0,93.5802999516474,6990.4481208036495,10990.448120803649,10000.0,0
2023-01-25,4000.0,93.5802999516474,7010.100612079201,11010.1006120792,10000.0,0
2023-01-26,4000.0,93.5802999516474,7033.495687067113,11033.495687067112,10000.0,0
2023-01-27,4000.0,93.5802999516474,7055.95475914642,11055.95475914642,10000.0,0
2023-01-30,4000.0,93.5802999516474,6779.892445912443,10779.892445912443,10000.0,0
2023-01-31,4000.0,93.5802999516474,7032.559684158508,11032.559684158508,10000.0,0
2023-02-01,8000.0,164.36256048997063,13911.647019552169,21911.64701955217,20000.0,0
2023-02-02,8000.0,164.36256048997063,14514.857315593525,22514.857315593523,20000.0,0
2023-02-03,8000.0,164.36256048997063,14149.972230667898,22149.972230667896,20000.0,0
2023-02-06,8000.0,164.36256048997063,13753.859111960215,21753.859111960213,20000.0,0
2023-02-07,8000.0,164.36256048997063,14120.38817360705,22120.38817360705,20000.0,0
2023-02-08,8000.0,164.36256048997063,13919.865649171395,21919.865649171395,20000.0,0
2023-02-09,8000.0,164.36256048997063,13676.608507892039,21676.608507892037,20000.0,0
2023-02-10,8000.0,164.36256048997063,13392.261980477007,21392.261980477007,20000.0,0
2023-02-13,8000.0,164.36256048997063,13663.459202096003,21663.459202096004,20000.0,0
2023-02-14,8000.0,164.36256048997063,14126.961572518248,22126.96157251825,20000.0,0
2023-02-15,8000.0,164.36256048997063,14000.40295269517,22000.40295269517,20000.0,0
2023-02-16,8000.0,164.36256048997063,13162.154144993685,21162.154144993685,20000.0,0
2023-02-17,8000.0,164.36256048997063,12902.460998462695,20902.460998462695,20000.0,0
2023-02-21,8000.0,164.36256048997063,12618.113217060845,20618.113217060847,20000.0,0
2023-02-22,8000.0,164.36256048997063,12591.815859455595,20591.815859455593,20000.0,0
2023-02-23,8000.0,164.36256048997063,13107.914199075158,21107.91419907516,20000.0,0
2023-02-24,8000.0,164.36256048997063,12835.071746748134,20835.071746748134,20000.0,0
2023-02-27,8000.0,164.36256048997063,12946.838338040787,20946.838338040787,20000.0,0
2023-02-28,8000.0,164.36256048997063,12915.61030425873,20915.610304258727,20000.0,0
2023-03-01,12000.0,240.8858766057252,18858.955499999833,30858.955499999833,30000.0,0
2023-03-02,12000.0,240.8858766057252,19376.86050226482,31376.86050226482,30000.0,0
2023-03-03,12000.0,240.8858766057252,19637.015852260825,31637.015852260825,30000.0,0
2023-03-06,12000.0,240.8858766057252,19550.298627471086,31550.298627471086,30000.0,0
2023-03-07,12000.0,240.8858766057252,19779.139475121166,31779.139475121166,30000.0,0
2023-03-08,12000.0,240.8858766057252,20564.42794744358,32564.42794744358,30000.0,0
2023-03-09,12000.0,240.8858766057252,20241.639917128945,32241.639917128945,30000.0,0
2023-03-10,12000.0,240.8858766057252,19914.034977920088,31914.034977920088,30000.0,0
2023-03-13,12000.0,240.8858766057252,19755.051255023274,31755.051255023274,30000.0,0
2023-03-14,12000.0,240.8858766057252,21065.469174045313,33065.46917404531,30000.0,0
2023-03-15,12000.0,240.8858766057252,21602.64548751397,33602.645487513975,30000.0,0
2023-03-16,12000.0,240.8858766057252,23269.575312550376,35269.575312550376,30000.0,0
2023-03-17,12000.0,240.8858766057252,23568.273284953728,35568.27328495373,30000.0,0
2023-03-20,12000.0,240.8858766057252,23320.161126099974,35320.16112609998,30000.0,0
2023-03-21,12000.0,240.8858766057252,23108.182216299752,35108.182216299756,30000.0,0
2023-03-22,12000.0,240.8858766057252,23505.644280261877,35505.64428026188,30000.0,0
2023-03-23,12000.0,240.8858766057252,24156.03541197198,36156.035411971985,30000.0,0
2023-03-24,12000.0,240.8858766057252,23594.77087840543,35594.77087840543,30000.0,0
2023-03-27,12000.0,240.8858766057252,23271.984685904183,35271.984685904186,30000.0,0
2023-03-28,12000.0,240.8858766057252,22778.167903737092,34778.16790373709,30000.0,0
2023-03-29,12000.0,240.8858766057252,23146.723000893708,35146.723000893704,30000.0,0
2023-03-30,12000.0,240.8858766057252,23577.90894055556,35577.90894055556,30000.0,0
2023-03-31,12000.0,240.8858766057252,23609.22528071488,35609.225280714876,30000.0,0
2023-04-03,16000.0,302.9303115709001,29250.950145710158,45250.95014571016,40000.0,0
2023-04-04,16000.0,302.9303115709001,29041.929802325143,45041.92980232515,40000.0,0
2023-04-05,16000.0,302.9303115709001,28039.22889942656,44039.228899426555,40000.0,0
2023-04-06,16000.0,302.9303115709001,28011.966280749108,44011.96628074911,40000.0,0
2023-04-10,16000.0,302.9303115709001,28923.78716570648,44923.78716570648,40000.0,0
2023-04-11,16000.0,302.9303115709001,28484.536827223757,44484.536827223754,40000.0,0
2023-04-12,16000.0,302.9303115709001,27969.556222023166,43969.556222023166,40000.0,0
2023-04-13,16000.0,302.9303115709001,27896.851283200253,43896.85128320025,40000.0,0
2023-04-14,16000.0,302.9303115709001,27793.856086630083,43793.85608663008,40000.0,0
2023-04-17,16000.0,302.9303115709001,27224.347932899742,43224.34793289974,40000.0,0
2023-04-18,16000.0,302.9303115709001,27197.08300304743,43197.08300304743,40000.0,0
2023-04-19,16000.0,302.9303115709001,27245.552962262707,43245.55296226271,40000.0,0
2023-04-20,16000.0,302.9303115709001,27297.050560547796,43297.050560547796,40000.0,0
2023-04-21,16000.0,302.9303115709001,26788.12754466169,42788.12754466169,40000.0,0
2023-04-24,0.0,485.36753922542096,42503.635261847696,42503.635261847696,40000.0,1
2023-04-25,0.0,485.36753922542096,40673.801268314455,40673.801268314455,40000.0,1
2023-04-26,0.0,485.36753922542096,41712.48750601202,41712.48750601202,40000.0,1
2023-04-27,0.0,485.36753922542096,42440.53881485015,42440.53881485015,40000.0,1
2023-04-28,0.0,485.36753922542096,43377.29831367763,43377.29831367763,40000.0,0
2023-05-01,4000.0,552.1643986934034,49523.62626686897,53523.62626686897,50000.0,0
2023-05-02,4000.0,552.1643986934034,49645.103108610325,53645.103108610325,50000.0,0
2023-05-03,0.0,601.0985675013676,49061.66673042815,49061.66673042815,50000.0,1
2023-05-04,0.0,601.0985675013676,52061.147298174896,52061.147298174896,50000.0,1
2023-05-05,0.0,601.0985675013676,54002.693103034166,54002.693103034166,50000.0,0
2023-05-08,0.0,601.0985675013676,57128.40840565215,57128.40840565215,50000.0,0
2023-05-09,0.0,601.0985675013676,57140.42835915421,57140.42835915421,50000.0,0
2023-05-10,0.0,601.0985675013676,58318.58100113471,58318.58100113471,50000.0,0
2023-05-11,0.0,601.0985675013676,58366.66998717917,58366.66998717917,50000.0,0
2023-05-12,0.0,601.0985675013676,57260.65082426536,57260.65082426536,50000.0,0
2023-05-15,0.0,601.0985675013676,58547.00139183683,58547.00139183683,50000.0,0
2023-05-16,0.0,601.0985675013676,60999.484647886755,60999.484647886755,50000.0,0
2023-05-17,0.0,601.0985675013676,62363.97637826689,62363.97637826689,50000.0,0
2023-05-18,0.0,601.0985675013676,64876.56857386333,64876.56857386333,50000.0,0
2023-05-19,0.0,601.0985675013676,63608.250229553996,63608.250229553996,50000.0,0
2023-05-22,0.0,601.0985675013676,64918.6452901477,64918.6452901477,50000.0,0
2023-05-23,0.0,601.0985675013676,64990.7787692144,64990.7787692144,50000.0,0
2023-05-24,0.0,601.0985675013676,65080.9398855251,65080.9398855251,50000.0,0
2023-05-25,0.0,601.0985675013676,72342.21168158596,72342.21168158596,50000.0,0
2023-05-26,0.0,601.0985675013676,76357.55029593583,76357.55029593583,50000.0,0
2023-05-30,0.0,601.0985675013676,75299.61553304835,75299.61553304835,50000.0,0
2023-05-31,0.0,601.0985675013676,71055.8611140145,71055.8611140145,50000.0,0
2023-06-01,4000.0,651.2451350710298,77804.2570819129,81804.2570819129,60000.0,0
2023-06-02,4000.0,651.2451350710298,76755.75201696006,80755.75201696006,60000.0,0
2023-06-05,4000.0,651.2451350710298,76801.33897767079,80801.33897767079,60000.0,0
2023-06-06,4000.0,651.2451350710298,80904.18531606071,84904.18531606071,60000.0,0
2023-06-07,4000.0,651.2451350710298,76736.2154578849,80736.2154578849,60000.0,0
2023-06-08,4000.0,651.2451350710298,78833.22558779058,82833.22558779058,60000.0,0
2023-06-09,4000.0,651.2451350710298,81353.5410806076,85353.5410806076,60000.0,0
2023-06-12,4000.0,651.2451350710298,84134.36058978029,88134.36058978029,60000.0,0
2023-06-13,4000.0,651.2451350710298,81099.55587541837,85099.55587541837,60000.0,0
