date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,116.34837470025707,9985.017481269355,9985.017481269355,10000.0,1
2023-01-04,0.0,116.34837470025707,9905.900550966475,9905.900550966475,10000.0,1
2023-01-05,0.0,116.34837470025707,9670.877224645723,9670.877224645723,10000.0,1
2023-01-06,0.0,116.34837470025707,10015.268307238366,10015.268307238366,10000.0,1
2023-01-09,0.0,116.34837470025707,10164.19408482787,10164.19408482787,10000.0,1
2023-01-10,0.0,116.34837470025707,10456.228753872458,10456.228753872458,10000.0,1
2023-01-11,0.0,116.34837470025707,11063.56652416697,11063.56652416697,10000.0,1
2023-01-12,0.0,116.34837470025707,11084.509267119724,11084.509267119724,10000.0,1
2023-01-13,0.0,116.34837470025707,11416.10284514958,11416.10284514958,10000.0,1
2023-01-17,0.0,116.34837470025707,11175.261745026752,11175.261745026752,10000.0,1
2023-01-18,0.0,116.34837470025707,11106.61574236642,11106.61574236642,10000.0,1
2023-01-19,0.0,116.34837470025707,10899.515777426788,10899.515777426788,10000.0,1
2023-01-20,0.0,116.34837470025707,11314.8794396,11314.8794396,10000.0,1
2023-01-23,0.0,116.34837470025707,11346.293110195302,11346.293110195302,10000.0,1
2023-01-24,0.0,116.34837470025707,11206.675415622054,11206.675415622054,10000.0,1
2023-01-25,0.0,116.34837470025707,11306.735088877687,11306.735088877687,10000.0,1
2023-01-26,0.0,116.34837470025707,11544.085879786331,11544.085879786331,10000.0,1
2023-01-27,0.0,116.34837470025707,11895.457580807339,11895.457580807339,10000.0,1
2023-01-30,0.0,116.34837470025707,11698.829431177908,11698.829431177908,10000.0,1
2023-01-31,0.0,116.34837470025707,11999.007563277155,11999.007563277155,10000.0,1
2023-02-01,0.0,211.30812112319842,22219.04925853492,22219.04925853492,20000.0,1
2023-02-02,0.0,211.30812112319842,23858.800729853785,23858.800729853785,20000.0,1
2023-02-03,0.0,211.30812112319842,21847.146513955242,21847.146513955242,20000.0,1
2023-02-06,0.0,211.30812112319842,21591.463880854535,21591.463880854535,20000.0,1
2023-02-07,0.0,211.30812112319842,21576.672376862032,21576.672376862032,20000.0,1
2023-02-08,0.0,211.30812112319842,21141.37816323721,21141.37816323721,20000.0,1
2023-02-09,0.0,211.30812112319842,20758.90936774016,20758.90936774016,20000.0,1
2023-02-10,0.0,211.30812112319842,20625.78583180764,20625.78583180764,20000.0,1
2023-02-13,0.0,211.30812112319842,21033.610570061534,21033.610570061534,20000.0,1
2023-02-14,0.0,211.30812112319842,21067.419031121677,21067.419031121677,20000.0,1
2023-02-15,0.0,211.30812112319842,21375.930306656202,21375.930306656202,20000.0,1
2023-02-16,0.0,211.30812112319842,20739.892410672528,20739.892410672528,20000.0,1
2023-02-17,0.0,211.30812112319842,20539.14872831368,20539.14872831368,20000.0,1
2023-02-21,0.0,211.30812112319842,19985.522482748827,19985.522482748827,20000.0,1
2023-02-22,0.0,211.30812112319842,20241.205115849538,20241.205115849538,20000.0,1
2023-02-23,0.0,211.30812112319842,20247.54410153875,20247.54410153875,20000.0,1
