date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,69.80902482015425,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,69.80902482015425,5943.540330579885,9943.540330579886,10000.0,0
2023-01-05,4000.0,69.80902482015425,5802.526334787434,9802.526334787435,10000.0,0
2023-01-06,4000.0,69.80902482015425,6009.16098434302,10009.16098434302,10000.0,0
2023-01-09,4000.0,69.80902482015425,6098.516450896723,10098.516450896723,10000.0,0
2023-01-10,4000.0,69.80902482015425,6273.737252323475,10273.737252323475,10000.0,0
2023-01-11,4000.0,69.80902482015425,6638.139914500183,10638.139914500183,10000.0,0
2023-01-12,4000.0,69.80902482015425,6650.705560271835,10650.705560271836,10000.0,0
2023-01-13,4000.0,69.80902482015425,6849.661707089749,10849.661707089748,10000.0,0
2023-01-17,4000.0,69.80902482015425,6705.157047016051,10705.157047016051,10000.0,0
2023-01-18,4000.0,69.80902482015425,6663.969445419853,10663.969445419854,10000.0,0
2023-01-19,4000.0,69.80902482015425,6539.709466456074,10539.709466456074,10000.0,0
2023-01-20,4000.0,69.80902482015425,6788.9276637600005,10788.927663760001,10000.0,0
2023-01-23,4000.0,69.80902482015425,6807.775866117182,10807.775866117183,10000.0,0
2023-01-24,4000.0,69.80902482015425,6724.005249373234,10724.005249373233,10000.0,0
2023-01-25,4000.0,69.80902482015425,6784.041053326614,10784.041053326615,10000.0,0
2023-01-26,4000.0,69.80902482015425,6926.451527871799,10926.451527871799,10000.0,0
2023-01-27,4000.0,69.80902482015425,7137.274548484404,11137.274548484404,10000.0,0
2023-01-30,4000.0,69.80902482015425,7019.297658706746,11019.297658706746,10000.0,0
2023-01-31,4000.0,69.80902482015425,7199.404537966294,11199.404537966293,10000.0,0
2023-02-01,8000.0,126.78487267391907,13331.429555120953,21331.42955512095,20000.0,0
2023-02-02,8000.0,126.78487267391907,14315.280437912274,22315.280437912275,20000.0,0
2023-02-03,8000.0,126.78487267391907,13108.287908373148,21108.287908373146,20000.0,0
2023-02-06,8000.0,126.78487267391907,12954.878328512723,20954.87832851272,20000.0,0
2023-02-07,8000.0,126.78487267391907,12946.00342611722,20946.00342611722,20000.0,0
2023-02-08,8000.0,126.78487267391907,12684.826897942326,20684.826897942326,20000.0,0
2023-02-09,8000.0,126.78487267391907,12455.345620644099,20455.345620644097,20000.0,0
2023-02-10,8000.0,126.78487267391907,12375.471499084586,20375.471499084586,20000.0,0
2023-02-13,8000.0,126.78487267391907,12620.166342036922,20620.166342036922,20000.0,0
2023-02-14,8000.0,126.78487267391907,12640.451418673007,20640.45141867301,20000.0,0
2023-02-15,8000.0,126.78487267391907,12825.558183993724,20825.558183993722,20000.0,0
2023-02-16,8000.0,126.78487267391907,12443.935446403519,20443.93544640352,20000.0,0
2023-02-17,8000.0,126.78487267391907,12323.489236988209,20323.489236988207,20000.0,0
2023-02-21,8000.0,126.78487267391907,11991.3134896493,19991.3134896493,20000.0,0
2023-02-22,8000.0,126.78487267391907,12144.723069509726,20144.723069509724,20000.0,0
2023-02-23,8000.0,126.78487267391907,12148.526460923253,20148.526460923254,20000.0,0
2023-02-24,8000.0,126.78487267391907,11854.385595011432,19854.38559501143,20000.0,0
2023-02-27,8000.0,126.78487267391907,11887.349932748362,19887.349932748362,20000.0,0
2023-02-28,8000.0,126.78487267391907,11946.938977671793,19946.938977671794,20000.0,0
2023-03-01,12000.0,191.7844452873441,17676.771970966704,29676.771970966704,30000.0,0
2023-03-02,12000.0,191.7844452873441,17669.1004175713,29669.1004175713,30000.0,0
2023-03-03,12000.0,191.7844452873441,18200.344150408797,30200.344150408797,30000.0,0
2023-03-06,12000.0,191.7844452873441,17979.79174568851,29979.79174568851,30000.0,0
2023-03-07,12000.0,191.7844452873441,17941.43544191072,29941.43544191072,30000.0,0
2023-03-08,12000.0,191.7844452873441,18012.394750219555,30012.394750219555,30000.0,0
2023-03-09,12000.0,191.7844452873441,17692.115077757495,29692.115077757495,30000.0,0
2023-03-10,12000.0,191.7844452873441,17400.60336472838,29400.60336472838,30000.0,0
2023-03-13,12000.0,191.7844452873441,17726.636336437183,29726.636336437183,30000.0,0
2023-03-14,12000.0,191.7844452873441,18196.507642111494,30196.507642111494,30000.0,0
2023-03-15,12000.0,191.7844452873441,18449.663051362826,30449.663051362826,30000.0,0
2023-03-16,12000.0,191.7844452873441,19186.116082129807,31186.116082129807,30000.0,0
2023-03-17,12000.0,191.7844452873441,18977.070275903025,30977.070275903025,30000.0,0
2023-03-20,12000.0,191.7844452873441,18739.25797344249,30739.25797344249,30000.0,0
2023-03-21,12000.0,191.7844452873441,19295.433157415628,31295.433157415628,30000.0,0
2023-03-22,12000.0,191.7844452873441,18929.124164581186,30929.124164581186,30000.0,0
2023-03-23,12000.0,191.7844452873441,18931.042418729834,30931.042418729834,30000.0,0
2023-03-24,12000.0,191.7844452873441,18819.807089295362,30819.807089295362,30000.0,0
2023-03-27,12000.0,191.7844452873441,18802.54719155512,30802.54719155512,30000.0,0
2023-03-28,12000.0,191.7844452873441,18649.119050045563,30649.119050045563,30000.0,0
2023-03-29,12000.0,191.7844452873441,19226.39064005625,31226.39064005625,30000.0,0
2023-03-30,12000.0,191.7844452873441,19562.0134193091,31562.0134193091,30000.0,0
2023-03-31,12000.0,191.7844452873441,19809.415529313676,31809.415529313676,30000.0,0
