date,cash,shares,position_value,equity,total_contributed,technical_state
2023-09-14,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-15,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-21,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-22,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-28,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-29,10000.0,0.0,0.0,10000.0,10000.0,0
2023-10-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-04,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-05,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-11,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-12,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-13,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-16,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-17,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-18,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-19,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-20,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-23,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-24,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-25,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-26,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-27,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-30,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-31,20000.0,0.0,0.0,20000.0,20000.0,0
2023-11-01,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-02,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-03,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-06,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-07,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-08,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-09,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-10,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-13,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-14,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-15,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-16,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-17,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-20,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-21,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-22,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-24,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-27,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-28,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-29,30000.0,0.0,0.0,30000.0,30000.0,0
2023-11-30,30000.0,0.0,0.0,30000.0,30000.0,0
2023-12-01,40000.0,0.0,0.0,40000.0,40000.0,0
2023-12-04,40000.0,0.0,0.0,40000.0,40000.0,0
2023-12-05,40000.0,0.0,0.0,40000.0,40000.0,0
2023-12-06,40000.0,0.0,0.0,40000.0,40000.0,0
2023-12-07,40000.0,0.0,0.0,40000.0,40000.0,0
