date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,18.738590257980047,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,18.738590257980047,10371.285887336746,10371.285887336746,10000.0,1
2023-01-05,0.0,18.738590257980047,10271.174419901352,10271.174419901352,10000.0,1
2023-01-06,0.0,18.738590257980047,10825.867114297624,10825.867114297624,10000.0,1
2023-01-09,0.0,18.738590257980047,11288.807737998952,11288.807737998952,10000.0,1
2023-01-10,0.0,18.738590257980047,11507.924808066387,11507.924808066387,10000.0,1
2023-01-11,0.0,18.738590257980047,11713.04969593069,11713.04969593069,10000.0,1
2023-01-12,0.0,18.738590257980047,11856.21966226943,11856.21966226943,10000.0,1
2023-01-13,0.0,18.738590257980047,11985.763434496015,11985.763434496015,10000.0,1
2023-01-17,0.0,18.738590257980047,11958.511046271702,11958.511046271702,10000.0,1
2023-01-18,0.0,18.738590257980047,11851.314278137566,11851.314278137566,10000.0,1
2023-01-19,0.0,18.738590257980047,11450.875270672692,11450.875270672692,10000.0,1
2023-01-20,0.0,18.738590257980047,11788.813805613894,11788.813805613894,10000.0,1
2023-01-23,0.0,18.738590257980047,12282.641536768044,12282.641536768044,10000.0,1
2023-01-24,0.0,18.738590257980047,12173.263708354247,12173.263708354247,10000.0,1
2023-01-25,0.0,18.738590257980047,12382.57229758352,12382.57229758352,10000.0,1
2023-01-26,0.0,18.738590257980047,12425.627365348513,12425.627365348513,10000.0,1
2023-01-27,0.0,18.738590257980047,12125.664669697226,12125.664669697226,10000.0,1
2023-01-30,0.0,18.738590257980047,11815.339936220176,11815.339936220176,10000.0,1
2023-01-31,0.0,18.738590257980047,12006.659067065186,12006.659067065186,10000.0,1
2023-02-01,0.0,33.915759618695276,22313.083858691465,22313.083858691465,20000.0,1
2023-02-02,0.0,33.915759618695276,22905.655357268617,22905.655357268617,20000.0,1
2023-02-03,0.0,33.915759618695276,22348.92476823969,22348.92476823969,20000.0,1
2023-02-06,0.0,33.915759618695276,21815.761740444817,21815.761740444817,20000.0,1
2023-02-07,0.0,33.915759618695276,22367.772607065872,22367.772607065872,20000.0,1
2023-02-08,0.0,33.915759618695276,21842.78422128359,21842.78422128359,20000.0,1
2023-02-09,0.0,33.915759618695276,21886.94881670991,21886.94881670991,20000.0,1
2023-02-10,0.0,33.915759618695276,21630.545756794723,21630.545756794723,20000.0,1
2023-02-13,0.0,33.915759618695276,22038.872126901297,22038.872126901297,20000.0,1
2023-02-14,0.0,33.915759618695276,22326.90767721769,22326.90767721769,20000.0,1
2023-02-15,0.0,33.915759618695276,22304.82641453137,22304.82641453137,20000.0,1
2023-02-16,0.0,33.915759618695276,21628.245927147727,21628.245927147727,20000.0,1
2023-02-17,0.0,33.915759618695276,21484.8884991159,21484.8884991159,20000.0,1
2023-02-21,0.0,33.915759618695276,20754.913046912636,20754.913046912636,20000.0,1
2023-02-22,0.0,33.915759618695276,20571.3489661053,20571.3489661053,20000.0,1
2023-02-23,0.0,33.915759618695276,21028.779079736963,21028.779079736963,20000.0,1
2023-02-24,0.0,33.915759618695276,20379.219003138405,20379.219003138405,20000.0,1
2023-02-27,0.0,33.915759618695276,20830.71220279385,20830.71220279385,20000.0,1
2023-02-28,0.0,33.915759618695276,20357.798087578452,20357.798087578452,20000.0,1
2023-03-01,0.0,50.625839874004136,30251.19499263178,30251.19499263178,30000.0,1
2023-03-02,0.0,50.625839874004136,30704.751101034235,30704.751101034235,30000.0,1
2023-03-03,0.0,50.625839874004136,31354.596667322196,31354.596667322196,30000.0,1
2023-03-06,0.0,50.625839874004136,30547.336380176002,30547.336380176002,30000.0,1
2023-03-07,0.0,50.625839874004136,29963.906329162204,29963.906329162204,30000.0,1
2023-03-08,0.0,50.625839874004136,30470.1091086934,30470.1091086934,30000.0,1
2023-03-09,0.0,50.625839874004136,29748.934997016553,29748.934997016553,30000.0,1
2023-03-10,0.0,50.625839874004136,29575.29182699949,29575.29182699949,30000.0,1
2023-03-13,0.0,50.625839874004136,29750.909478930582,29750.909478930582,30000.0,1
2023-03-14,0.0,50.625839874004136,30514.381998934776,30514.381998934776,30000.0,1
2023-03-15,0.0,50.625839874004136,29844.86577245163,29844.86577245163,30000.0,1
2023-03-16,0.0,50.625839874004136,31019.10468951946,31019.10468951946,30000.0,1
2023-03-17,0.0,50.625839874004136,31173.07410938529,31173.07410938529,30000.0,1
2023-03-20,0.0,50.625839874004136,31794.8752345907,31794.8752345907,30000.0,1
2023-03-21,0.0,50.625839874004136,31588.265323508225,31588.265323508225,30000.0,1
2023-03-22,0.0,50.625839874004136,31501.68475507136,31501.68475507136,30000.0,1
2023-03-23,0.0,50.625839874004136,32671.98088822322,32671.98088822322,30000.0,1
2023-03-24,0.0,50.625839874004136,31853.90266495649,31853.90266495649,30000.0,1
2023-03-27,0.0,50.625839874004136,31682.712920040747,31682.712920040747,30000.0,1
2023-03-28,0.0,50.625839874004136,31469.21549692951,31469.21549692951,30000.0,1
2023-03-29,0.0,50.625839874004136,32424.055174836343,32424.055174836343,30000.0,1
2023-03-30,0.0,50.625839874004136,33287.880197378865,33287.880197378865,30000.0,1
2023-03-31,0.0,50.625839874004136,33486.128687398166,33486.128687398166,30000.0,1
2023-04-03,0.0,65.87215308896619,43140.567220979516,43140.567220979516,40000.0,1
2023-04-04,0.0,65.87215308896619,42800.684762136625,42800.684762136625,40000.0,1
2023-04-05,0.0,65.87215308896619,42494.731447575825,42494.731447575825,40000.0,1
2023-04-06,0.0,65.87215308896619,42060.76084624099,42060.76084624099,40000.0,1
2023-04-10,0.0,65.87215308896619,42350.069219774676,42350.069219774676,40000.0,1
2023-04-11,0.0,65.87215308896619,42230.382444548515,42230.382444548515,40000.0,1
2023-04-12,0.0,65.87215308896619,41903.29729181415,41903.29729181415,40000.0,1
2023-04-13,0.0,65.87215308896619,42591.38065949634,42591.38065949634,40000.0,1
2023-04-14,0.0,65.87215308896619,42641.94670377124,42641.94670377124,40000.0,1
2023-04-17,0.0,65.87215308896619,40903.49920848617,40903.49920848617,40000.0,1
2023-04-18,0.0,65.87215308896619,41178.100530262076,41178.100530262076,40000.0,1
2023-04-19,0.0,65.87215308896619,39915.21990681102,39915.21990681102,40000.0,1
2023-04-20,0.0,65.87215308896619,40553.37247192901,40553.37247192901,40000.0,1
2023-04-21,0.0,65.87215308896619,40610.974421227445,40610.974421227445,40000.0,1
2023-04-24,0.0,65.87215308896619,40157.174629277695,40157.174629277695,40000.0,1
2023-04-25,0.0,65.87215308896619,38773.3166445933,38773.3166445933,40000.0,1
2023-04-26,0.0,65.87215308896619,38987.11568541435,38987.11568541435,40000.0,1
2023-04-27,0.0,65.87215308896619,40276.222142276005,40276.222142276005,40000.0,1
2023-04-28,0.0,65.87215308896619,40763.95911954216,40763.95911954216,40000.0,1
2023-05-01,0.0,82.00232024323019,50761.693496576925,50761.693496576925,50000.0,1
2023-05-02,0.0,82.00232024323019,50669.79123801331,50669.79123801331,50000.0,1
2023-05-03,0.0,82.00232024323019,50724.9315921466,50724.9315921466,50000.0,1
2023-05-04,0.0,82.00232024323019,50749.70145804526,50749.70145804526,50000.0,1
2023-05-05,0.0,82.00232024323019,51969.99648415506,51969.99648415506,50000.0,1
2023-05-08,0.0,82.00232024323019,52343.206140745446,52343.206140745446,50000.0,1
2023-05-09,0.0,82.00232024323019,51389.01825347183,51389.01825347183,50000.0,1
2023-05-10,0.0,82.00232024323019,52515.00860929215,52515.00860929215,50000.0,1
2023-05-11,0.0,82.00232024323019,51959.60605344064,51959.60605344064,50000.0,1
2023-05-12,0.0,82.00232024323019,51745.436053103236,51745.436053103236,50000.0,1
2023-05-15,0.0,82.00232024323019,52399.142293762925,52399.142293762925,50000.0,1
2023-05-16,0.0,82.00232024323019,52108.24526893035,52108.24526893035,50000.0,1
2023-05-17,0.0,82.00232024323019,53582.670410417966,53582.670410417966,50000.0,1
2023-05-18,0.0,82.00232024323019,55614.91052953181,55614.91052953181,50000.0,1
2023-05-19,0.0,82.00232024323019,55460.67569673057,55460.67569673057,50000.0,1
2023-05-22,0.0,82.00232024323019,55831.47293154623,55831.47293154623,50000.0,1
2023-05-23,0.0,82.00232024323019,54457.738871519396,54457.738871519396,50000.0,1
2023-05-24,0.0,82.00232024323019,53286.18277329831,53286.18277329831,50000.0,1
2023-05-25,0.0,82.00232024323019,56617.82232962084,56617.82232962084,50000.0,1
2023-05-26,0.0,82.00232024323019,58811.46948154254,58811.46948154254,50000.0,1
2023-05-30,0.0,82.00232024323019,58198.52916485631,58198.52916485631,50000.0,1
2023-05-31,0.0,82.00232024323019,57772.58156585851,57772.58156585851,50000.0,1
2023-06-01,0.0,96.10015702438274,68064.46710491308,68064.46710491308,60000.0,1
2023-06-02,0.0,96.10015702438274,67865.93206371671,67865.93206371671,60000.0,1
2023-06-05,0.0,96.10015702438274,67636.48003474718,67636.48003474718,60000.0,1
2023-06-06,0.0,96.10015702438274,67114.83871609444,67114.83871609444,60000.0,1
2023-06-07,0.0,96.10015702438274,66513.57339648918,66513.57339648918,60000.0,1
2023-06-08,0.0,96.10015702438274,67435.11782828679,67435.11782828679,60000.0,1
2023-06-09,0.0,96.10015702438274,67042.72253990946,67042.72253990946,60000.0,1
2023-06-12,0.0,96.10015702438274,68382.88685737785,68382.88685737785,60000.0,1
2023-06-13,0.0,96.10015702438274,69047.8396467689,69047.8396467689,60000.0,1
2023-06-14,0.0,96.10015702438274,69323.17738914187,69323.17738914187,60000.0,1
2023-06-15,0.0,96.10015702438274,69180.82785845188,69180.82785845188,60000.0,1
2023-06-16,0.0,96.10015702438274,67606.51325604615,67606.51325604615,60000.0,1
2023-06-20,0.0,96.10015702438274,67468.84438485968,67468.84438485968,60000.0,1
2023-06-21,0.0,96.10015702438274,66241.03935742786,66241.03935742786,60000.0,1
2023-06-22,0.0,96.10015702438274,67187.88163939917,67187.88163939917,60000.0,1
2023-06-23,0.0,96.10015702438274,65359.76736692233,65359.76736692233,60000.0,1
2023-06-26,0.0,96.10015702438274,65579.85221139675,65579.85221139675,60000.0,1
2023-06-27,0.0,96.10015702438274,67906.21037049689,67906.21037049689,60000.0,1
2023-06-28,0.0,96.10015702438274,67822.8441881368,67822.8441881368,60000.0,1
2023-06-29,0.0,96.10015702438274,67744.18212723263,67744.18212723263,60000.0,1
2023-06-30,0.0,96.10015702438274,67875.29338272373,67875.29338272373,60000.0,1
2023-07-03,0.0,110.06140868164277,78715.36998818134,78715.36998818134,70000.0,1
2023-07-05,0.0,110.06140868164277,76762.18975861401,76762.18975861401,70000.0,1
2023-07-06,0.0,110.06140868164277,75007.42101383801,75007.42101383801,70000.0,1
2023-07-07,0.0,110.06140868164277,74731.75023575764,74731.75023575764,70000.0,1
2023-07-10,0.0,110.06140868164277,76135.77885174422,76135.77885174422,70000.0,1
2023-07-11,0.0,110.06140868164277,75617.723079276,75617.723079276,70000.0,1
2023-07-12,0.0,110.06140868164277,77747.89903613481,77747.89903613481,70000.0,1
2023-07-13,0.0,110.06140868164277,80523.77217332076,80523.77217332076,70000.0,1
2023-07-14,0.0,110.06140868164277,80875.58040293906,80875.58040293906,70000.0,1
2023-07-17,0.0,110.06140868164277,80925.97595273946,80925.97595273946,70000.0,1
2023-07-18,0.0,110.06140868164277,81198.42227548735,81198.42227548735,70000.0,1
2023-07-19,0.0,110.06140868164277,76773.98589103864,76773.98589103864,70000.0,1
2023-07-20,0.0,110.06140868164277,72521.15770643008,72521.15770643008,70000.0,1
2023-07-21,0.0,110.06140868164277,74369.24084500471,74369.24084500471,70000.0,1
2023-07-24,0.0,110.06140868164277,73416.77704548473,73416.77704548473,70000.0,1
2023-07-25,0.0,110.06140868164277,73719.23095567041,73719.23095567041,70000.0,1
2023-07-26,0.0,110.06140868164277,73397.45718395102,73397.45718395102,70000.0,1
2023-07-27,0.0,110.06140868164277,75952.3610842489,75952.3610842489,70000.0,1
2023-07-28,0.0,110.06140868164277,77051.76600031565,77051.76600031565,70000.0,1
2023-07-31,0.0,110.06140868164277,76841.55166548443,76841.55166548443,70000.0,1
2023-08-01,0.0,124.4863510538437,86170.07675867817,86170.07675867817,80000.0,1
2023-08-02,0.0,124.4863510538437,83051.37606654488,83051.37606654488,80000.0,1
2023-08-03,0.0,124.4863510538437,82802.11463876948,82802.11463876948,80000.0,1
2023-08-04,0.0,124.4863510538437,82441.01000496912,82441.01000496912,80000.0,1
2023-08-07,0.0,124.4863510538437,84311.01017440074,84311.01017440074,80000.0,1
2023-08-08,0.0,124.4863510538437,82602.70397694036,82602.70397694036,80000.0,1
