date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,0.0,16.574394359686437,9985.017481269357,9985.017481269357,10000.0,1
2023-01-10,0.0,16.574394359686437,10178.827830940145,10178.827830940145,10000.0,0
2023-01-11,0.0,16.574394359686437,10360.262012361638,10360.262012361638,10000.0,0
2023-01-12,0.0,16.574394359686437,10486.896697783119,10486.896697783119,10000.0,1
2023-01-13,0.0,16.574394359686437,10601.478933595146,10601.478933595146,10000.0,0
2023-01-17,0.0,16.574394359686437,10577.374034376237,10577.374034376237,10000.0,0
2023-01-18,0.0,16.574394359686437,10482.557856388546,10482.557856388546,10000.0,0
2023-01-19,0.0,16.574394359686437,10128.367176334705,10128.367176334705,10000.0,0
2023-01-20,0.0,16.574394359686437,10427.275817291025,10427.275817291025,10000.0,0
2023-01-23,0.0,16.574394359686437,10864.069378023933,10864.069378023933,10000.0,0
2023-01-24,0.0,16.574394359686437,10767.32403926696,10767.32403926696,10000.0,0
2023-01-25,0.0,16.574394359686437,10952.458729390099,10952.458729390099,10000.0,1
2023-01-26,0.0,16.574394359686437,10990.541192504747,10990.541192504747,10000.0,1
2023-01-27,0.0,16.574394359686437,10725.222406914578,10725.222406914578,10000.0,0
2023-01-30,0.0,16.574394359686437,10450.738337334005,10450.738337334005,10000.0,0
2023-01-31,0.0,16.574394359686437,10619.961244688375,10619.961244688375,10000.0,0
2023-02-01,10000.0,16.574394359686437,10904.24791933153,20904.24791933153,20000.0,0
2023-02-02,10000.0,16.574394359686437,11193.833463460527,21193.833463460527,20000.0,0
2023-02-03,10000.0,16.574394359686437,10921.763120988244,20921.763120988246,20000.0,0
2023-02-06,10000.0,16.574394359686437,10661.210080748935,20661.210080748933,20000.0,0
2023-02-07,10000.0,16.574394359686437,10930.973927912375,20930.973927912375,20000.0,0
2023-02-08,10000.0,16.574394359686437,10674.415778012812,20674.41577801281,20000.0,0
2023-02-09,10000.0,16.574394359686437,10695.998706703236,20695.998706703234,20000.0,0
2023-02-10,10000.0,16.574394359686437,10570.696325808836,20570.696325808836,20000.0,0
2023-02-13,10000.0,16.574394359686437,10770.242565129245,20770.242565129243,20000.0,0
2023-02-14,10000.0,16.574394359686437,10911.003522696641,20911.003522696643,20000.0,0
2023-02-15,10000.0,16.574394359686437,10900.212564161804,20900.212564161804,20000.0,0
2023-02-16,10000.0,16.574394359686437,10569.57241515615,20569.57241515615,20000.0,0
2023-02-17,10000.0,16.574394359686437,10499.51464339154,20499.51464339154,20000.0,0
2023-02-21,10000.0,16.574394359686437,10142.780748773475,20142.780748773475,20000.0,0
2023-02-22,10000.0,16.574394359686437,10053.07426719147,20053.07426719147,20000.0,0
2023-02-23,10000.0,16.574394359686437,10276.617162310593,20276.61716231059,20000.0,0
2023-02-24,10000.0,16.574394359686437,9959.181698948067,19959.181698948065,20000.0,0
2023-02-27,10000.0,16.574394359686437,10179.823265757645,20179.823265757645,20000.0,0
2023-02-28,10000.0,16.574394359686437,9948.713447432317,19948.713447432317,20000.0,0
2023-03-01,20000.0,16.574394359686437,9903.939113059776,29903.939113059776,30000.0,0
2023-03-02,20000.0,16.574394359686437,10052.428853153295,30052.428853153295,30000.0,0
2023-03-03,20000.0,16.574394359686437,10265.181801358329,30265.18180135833,30000.0,0
2023-03-06,20000.0,16.574394359686437,10000.892845691145,30000.892845691145,30000.0,0
2023-03-07,20000.0,16.574394359686437,9809.883673875704,29809.8836738757,30000.0,0
2023-03-08,20000.0,16.574394359686437,9975.609408299077,29975.609408299075,30000.0,0
2023-03-09,20000.0,16.574394359686437,9739.504206712754,29739.504206712754,30000.0,0
2023-03-10,20000.0,16.574394359686437,9682.65516707427,29682.65516707427,30000.0,0
2023-03-13,20000.0,16.574394359686437,9740.15063237168,29740.150632371682,30000.0,0
2023-03-14,20000.0,16.574394359686437,9990.103910397806,29990.103910397804,30000.0,0
2023-03-15,20000.0,16.574394359686437,9770.910984501501,29770.9109845015,30000.0,0
2023-03-16,20000.0,16.574394359686437,10155.345078482173,30155.345078482173,30000.0,0
2023-03-17,20000.0,16.574394359686437,10205.75312880864,30205.75312880864,30000.0,0
2023-03-20,20000.0,16.574394359686437,10409.32460709128,30409.32460709128,30000.0,0
2023-03-21,20000.0,16.574394359686437,10341.682585676457,30341.682585676455,30000.0,0
2023-03-22,20000.0,16.574394359686437,10313.336972275676,30313.336972275676,30000.0,0
2023-03-23,20000.0,16.574394359686437,10696.480238179995,30696.480238179996,30000.0,0
2023-03-24,20000.0,16.574394359686437,10428.649598268836,30428.649598268836,30000.0,0
2023-03-27,20000.0,16.574394359686437,10372.603785505447,30372.603785505446,30000.0,0
2023-03-28,20000.0,16.574394359686437,10302.706861440007,30302.706861440005,30000.0,0
2023-03-29,20000.0,16.574394359686437,10615.311835723707,30615.311835723707,30000.0,0
2023-03-30,20000.0,16.574394359686437,10898.119520831104,30898.119520831104,30000.0,0
2023-03-31,20000.0,16.574394359686437,10963.024096497798,30963.0240964978,30000.0,0
2023-04-03,30000.0,16.574394359686437,10854.795850613335,40854.79585061334,40000.0,0
2023-04-04,30000.0,16.574394359686437,10769.27646731348,40769.27646731348,40000.0,0
2023-04-05,30000.0,16.574394359686437,10692.294151518594,40692.294151518596,40000.0,0
2023-04-06,30000.0,16.574394359686437,10583.100819439114,40583.10081943912,40000.0,0
2023-04-10,30000.0,16.574394359686437,10655.895025331101,40655.895025331105,40000.0,0
2023-04-11,30000.0,16.574394359686437,10625.780087239456,40625.78008723946,40000.0,0
2023-04-12,30000.0,16.574394359686437,10543.480692785237,40543.48069278523,40000.0,0
2023-04-13,30000.0,16.574394359686437,10716.612502715647,40716.612502715645,40000.0,0
2023-04-14,30000.0,16.574394359686437,10729.335656882015,40729.335656882016,40000.0,0
2023-04-17,30000.0,16.574394359686437,10291.91691452592,40291.91691452592,40000.0,0
2023-04-18,30000.0,16.574394359686437,10361.010611716263,40361.010611716265,40000.0,0
2023-04-19,30000.0,16.574394359686437,10043.251429713899,40043.2514297139,40000.0,0
2023-04-20,30000.0,16.574394359686437,10203.819921556358,40203.81992155636,40000.0,0
2023-04-21,30000.0,16.574394359686437,10218.313412034338,40218.31341203434,40000.0,0
2023-04-24,30000.0,16.574394359686437,10104.13076641836,40104.13076641836,40000.0,0
2023-04-25,30000.0,16.574394359686437,9755.931916063764,39755.93191606377,40000.0,0
2023-04-26,30000.0,16.574394359686437,9809.726872659532,39809.726872659536,40000.0,0
2023-04-27,30000.0,16.574394359686437,10134.084856810836,40134.084856810834,40000.0,0
2023-04-28,30000.0,16.574394359686437,10256.80659317328,40256.80659317328,40000.0,0
2023-05-01,40000.0,16.574394359686437,10260.006349603926,50260.00634960392,50000.0,0
2023-05-02,40000.0,16.574394359686437,10241.430969401743,50241.43096940174,50000.0,0
2023-05-03,40000.0,16.574394359686437,10252.575995198902,50252.5759951989,50000.0,0
2023-05-04,40000.0,16.574394359686437,10257.582506288141,50257.58250628814,50000.0,0
2023-05-05,40000.0,16.574394359686437,10504.229807704925,50504.22980770493,50000.0,0
2023-05-08,40000.0,16.574394359686437,10579.663332132339,50579.66333213234,50000.0,0
2023-05-09,40000.0,16.574394359686437,10386.801882724576,50386.801882724576,50000.0,0
2023-05-10,40000.0,16.574394359686437,10614.38822597942,50614.38822597942,50000.0,0
2023-05-11,40000.0,16.574394359686437,10502.12968302898,50502.12968302898,50000.0,0
2023-05-12,40000.0,16.574394359686437,10458.841419537443,50458.84141953744,50000.0,0
2023-05-15,40000.0,16.574394359686437,10590.969205628668,50590.969205628666,50000.0,0
2023-05-16,40000.0,16.574394359686437,10532.172796047409,50532.17279604741,50000.0,0
2023-05-17,0.0,77.69823121676886,50770.255066097096,50770.255066097096,50000.0,1
2023-05-18,0.0,77.69823121676886,52695.828174206035,52695.828174206035,50000.0,1
2023-05-19,0.0,77.69823121676886,52549.68872760106,52549.68872760106,50000.0,0
2023-05-22,0.0,77.69823121676886,52901.02377763123,52901.02377763123,50000.0,0
2023-05-23,0.0,77.69823121676886,51599.39345412673,51599.39345412673,50000.0,0
2023-05-24,0.0,77.69823121676886,50489.32929578344,50489.32929578344,50000.0,0
2023-05-25,0.0,77.69823121676886,53646.09973606195,53646.09973606195,50000.0,1
2023-05-26,0.0,77.69823121676886,55724.60804061313,55724.60804061313,50000.0,1
2023-05-30,0.0,77.69823121676886,55143.839370815665,55143.839370815665,50000.0,0
2023-05-31,0.0,77.69823121676886,54740.24865612622,54740.24865612622,50000.0,0
2023-06-01,10000.0,77.69823121676886,55031.01000575772,65031.01000575772,60000.0,0
2023-06-02,10000.0,77.69823121676886,54870.491833746906,64870.491833746906,60000.0,0
2023-06-05,10000.0,77.69823121676886,54684.97687360477,64684.97687360477,60000.0,0
2023-06-06,10000.0,77.69823121676886,54263.223059210715,64263.223059210715,60000.0,0
2023-06-07,10000.0,77.69823121676886,53777.0922008245,63777.0922008245,60000.0,0
2023-06-08,10000.0,77.69823121676886,54522.17290157891,64522.17290157891,60000.0,0
2023-06-09,10000.0,77.69823121676886,54204.91618953236,64204.91618953236,60000.0,0
2023-06-12,10000.0,77.69823121676886,55288.45653151851,65288.45653151851,60000.0,0
2023-06-13,10000.0,77.69823121676886,55826.07954045109,65826.07954045109,60000.0,0
2023-06-14,10000.0,77.69823121676886,56048.69369876271,66048.69369876271,60000.0,0
2023-06-15,10000.0,77.69823121676886,55933.60224530813,65933.60224530814,60000.0,0
2023-06-16,10000.0,77.69823121676886,54660.74834191004,64660.74834191004,60000.0,0
2023-06-20,10000.0,77.69823121676886,54549.441262754226,64549.441262754226,60000.0,0
2023-06-21,10000.0,77.69823121676886,53556.7448732332,63556.7448732332,60000.0,0
2023-06-22,10000.0,77.69823121676886,54322.27921603093,64322.27921603093,60000.0,0
2023-06-23,10000.0,77.69823121676886,52844.224966883965,62844.224966883965,60000.0,0
2023-06-26,10000.0,77.69823121676886,53022.16643610488,63022.16643610488,60000.0,0
2023-06-27,10000.0,77.69823121676886,54903.05737047576,64903.05737047576,60000.0,0
2023-06-28,10000.0,77.69823121676886,54835.654723974054,64835.654723974054,60000.0,0
2023-06-29,10000.0,77.69823121676886,54772.055421065845,64772.055421065845,60000.0,0
2023-06-30,10000.0,77.69823121676886,54878.060582344435,64878.060582344435,60000.0,0
2023-07-03,20000.0,77.69823121676886,55569.38704415585,75569.38704415585,70000.0,0
2023-07-05,20000.0,77.69823121676886,54190.53272180284,74190.53272180284,70000.0,0
2023-07-06,20000.0,77.69823121676886,52951.747671741,72951.747671741,70000.0,0
2023-07-07,20000.0,77.69823121676886,52757.13693477552,72757.13693477551,70000.0,0
2023-07-10,20000.0,77.69823121676886,53748.3157807181,73748.3157807181,70000.0,0
2023-07-11,20000.0,77.69823121676886,53382.592520634724,73382.59252063473,70000.0,0
2023-07-12,20000.0,77.69823121676886,54886.39758737856,74886.39758737857,70000.0,0
2023-07-13,0.0,104.99365119123063,76816.06976903879,76816.06976903879,70000.0,1
2023-07-14,0.0,104.99365119123063,77151.67905288498,77151.67905288498,70000.0,1
2023-07-17,0.0,104.99365119123063,77199.75414878565,77199.75414878565,70000.0,0
2023-07-18,0.0,104.99365119123063,77459.65573028973,77459.65573028973,70000.0,0
2023-07-19,0.0,104.99365119123063,73238.941712261,73238.941712261,70000.0,0
2023-07-20,0.0,104.99365119123063,69181.93422580766,69181.93422580766,70000.0,0
2023-07-21,0.0,104.99365119123063,70944.92271330884,70944.92271330884,70000.0,0
2023-07-24,0.0,104.99365119123063,70036.31493573317,70036.31493573317,70000.0,0
2023-07-25,0.0,104.99365119123063,70324.84241078408,70324.84241078408,70000.0,0
2023-07-26,0.0,104.99365119123063,70017.88465370034,70017.88465370034,70000.0,0
2023-07-27,0.0,104.99365119123063,72455.14846985693,72455.14846985693,70000.0,0
2023-07-28,0.0,104.99365119123063,73503.9314870662,73503.9314870662,70000.0,0
2023-07-31,0.0,104.99365119123063,73303.39643294468,73303.39643294468,70000.0,0
2023-08-01,10000.0,104.99365119123063,72677.13211715089,82677.13211715089,80000.0,0
2023-08-02,10000.0,104.99365119123063,70046.7732877073,80046.7732877073,80000.0,0
2023-08-03,10000.0,104.99365119123063,69836.54246977642,79836.54246977642,80000.0,0
2023-08-04,10000.0,104.99365119123063,69531.98141835342,79531.98141835342,80000.0,0
2023-08-07,10000.0,104.99365119123063,71109.16754241232,81109.16754241232,80000.0,0
2023-08-08,10000.0,104.99365119123063,69668.35653377094,79668.35653377094,80000.0,0
2023-08-09,10000.0,104.99365119123063,68962.82790696737,78962.82790696737,80000.0,0
2023-08-10,10000.0,104.99365119123063,69508.3988599804,79508.3988599804,80000.0,0
2023-08-11,10000.0,104.99365119123063,67864.54074208645,77864.54074208645,80000.0,0
2023-08-14,10000.0,104.99365119123063,68353.69298751355,78353.69298751355,80000.0,0
2023-08-15,10000.0,104.99365119123063,66830.84287227121,76830.84287227121,80000.0,0
2023-08-16,10000.0,104.99365119123063,66291.44311591939,76291.44311591939,80000.0,0
2023-08-17,10000.0,104.99365119123063,66076.09206316785,76076.09206316785,80000.0,0
2023-08-18,10000.0,104.99365119123063,67203.10124615418,77203.10124615418,80000.0,0
2023-08-21,10000.0,104.99365119123063,67940.42146863401,77940.42146863401,80000.0,0
2023-08-22,10000.0,104.99365119123063,68453.16268073807,78453.16268073807,80000.0,0
2023-08-23,10000.0,104.99365119123063,69437.61914334177,79437.61914334177,80000.0,0
2023-08-24,10000.0,104.99365119123063,66432.9640993732,76432.9640993732,80000.0,0
2023-08-25,10000.0,104.99365119123063,66760.08238054432,76760.08238054432,80000.0,0
2023-08-28,10000.0,104.99365119123063,67578.4227893041,77578.4227893041,80000.0,0
2023-08-29,10000.0,104.99365119123063,68452.14376041705,78452.14376041705,80000.0,0
2023-08-30,10000.0,104.99365119123063,68662.36176174012,78662.36176174012,80000.0,0
2023-08-31,10000.0,104.99365119123063,67736.35543906043,77736.35543906043,80000.0,0
2023-09-01,20000.0,104.99365119123063,67940.42146863401,87940.42146863401,90000.0,0
2023-09-05,20000.0,104.99365119123063,68047.06846223291,88047.06846223291,90000.0,0
2023-09-06,20000.0,104.99365119123063,68301.39481933902,88301.39481933902,90000.0,0
2023-09-07,20000.0,104.99365119123063,65404.39287268255,85404.39287268254,90000.0,0
2023-09-08,20000.0,104.99365119123063,64386.08774884885,84386.08774884885,90000.0,0
2023-09-11,20000.0,104.99365119123063,64370.70781947514,84370.70781947514,90000.0,0
2023-09-12,20000.0,104.99365119123063,63456.99262368661,83456.99262368662,90000.0,0
2023-09-13,20000.0,104.99365119123063,63277.54088941488,83277.54088941487,90000.0,0
2023-09-14,20000.0,104.99365119123063,63774.91498875302,83774.91498875302,90000.0,0
2023-09-15,20000.0,104.99365119123063,61186.575408019205,81186.57540801921,90000.0,0
2023-09-18,20000.0,104.99365119123063,61296.304795796765,81296.30479579676,90000.0,0
2023-09-19,20000.0,104.99365119123063,60890.223393899425,80890.22339389942,90000.0,0
2023-09-20,20000.0,104.99365119123063,60491.30006746478,80491.30006746478,90000.0,0
2023-09-21,20000.0,104.99365119123063,59695.52329675703,79695.52329675702,90000.0,0
2023-09-22,20000.0,104.99365119123063,60206.22025991515,80206.22025991515,90000.0,0
2023-09-25,20000.0,104.99365119123063,60106.74415838674,80106.74415838675,90000.0,0
2023-09-26,20000.0,104.99365119123063,58730.54807802669,78730.54807802668,90000.0,0
2023-09-27,20000.0,104.99365119123063,58917.18352097672,78917.18352097672,90000.0,0
2023-09-28,20000.0,104.99365119123063,59544.774355678994,79544.774355679,90000.0,0
2023-09-29,20000.0,104.99365119123063,60366.184342009605,80366.1843420096,90000.0,0
2023-10-02,30000.0,104.99365119123063,59701.68167681042,89701.68167681042,100000.0,0
2023-10-03,30000.0,104.99365119123063,58514.158880042414,88514.1588800424,100000.0,0
2023-10-04,30000.0,104.99365119123063,60591.7950893142,90591.7950893142,100000.0,0
2023-10-05,30000.0,104.99365119123063,59651.44057418961,89651.44057418962,100000.0,0
2023-10-06,30000.0,104.99365119123063,61258.35482006712,91258.35482006712,100000.0,0
2023-10-09,30000.0,104.99365119123063,60644.08684918483,90644.08684918482,100000.0,0
2023-10-10,30000.0,104.99365119123063,61749.56413104797,91749.56413104797,100000.0,0
2023-10-11,30000.0,104.99365119123063,62163.87379516024,92163.87379516024,100000.0,0
2023-10-12,30000.0,104.99365119123063,63247.80635929236,93247.80635929236,100000.0,0
2023-10-13,30000.0,104.99365119123063,61503.45321954899,91503.45321954899,100000.0,0
2023-10-16,30000.0,104.99365119123063,61918.76898737446,91918.76898737447,100000.0,0
2023-10-17,30000.0,104.99365119123063,62414.086021158866,92414.08602115887,100000.0,0
2023-10-18,30000.0,104.99365119123063,59811.40465628407,89811.40465628407,100000.0,0
2023-10-19,30000.0,104.99365119123063,60270.80955498085,90270.80955498085,100000.0,0
2023-10-20,30000.0,104.99365119123063,59488.3812813087,89488.3812813087,100000.0,0
2023-10-23,30000.0,104.99365119123063,60276.96793503424,90276.96793503425,100000.0,0
2023-10-24,30000.0,104.99365119123063,61605.998898648235,91605.99889864823,100000.0,0
2023-10-25,30000.0,104.99365119123063,59820.632613908296,89820.6326139083,100000.0,0
2023-10-26,30000.0,104.99365119123063,60319.019225263546,90319.01922526355,100000.0,0
2023-10-27,30000.0,104.99365119123063,60503.604010963754,90503.60401096375,100000.0,0
2023-10-30,30000.0,104.99365119123063,60388.74798006163,90388.74798006163,100000.0,0
2023-10-31,30000.0,104.99365119123063,61407.05310389533,91407.05310389533,100000.0,0
2023-11-01,40000.0,104.99365119123063,62536.95884024705,102536.95884024704,110000.0,0
2023-11-02,0.0,169.5938618846477,104854.0032583361,104854.0032583361,110000.0,1
2023-11-03,0.0,169.5938618846477,106684.09327183742,106684.09327183742,110000.0,0
2023-11-06,0.0,169.5938618846477,105858.73095669861,105858.73095669861,110000.0,0
2023-11-07,0.0,169.5938618846477,105671.0742719997,105671.0742719997,110000.0,0
2023-11-08,0.0,169.5938618846477,106165.95421235879,106165.95421235879,110000.0,0
2023-11-09,0.0,169.5938618846477,105330.65475687517,105330.65475687517,110000.0,0
2023-11-10,0.0,169.5938618846477,109817.81188432267,109817.81188432267,110000.0,0
2023-11-13,0.0,169.5938618846477,108708.47508145537,108708.47508145537,110000.0,0
2023-11-14,0.0,169.5938618846477,112164.36406486944,112164.36406486944,110000.0,0
2023-11-15,0.0,169.5938618846477,112594.46627160582,112594.46627160582,110000.0,0
2023-11-16,0.0,169.5938618846477,113071.0970677692,113071.0970677692,110000.0,0
2023-11-17,0.0,169.5938618846477,113937.96764622327,113937.96764622327,110000.0,0
2023-11-20,0.0,169.5938618846477,115303.06159871495,115303.06159871495,110000.0,0
2023-11-21,0.0,169.5938618846477,113660.64897228824,113660.64897228824,110000.0,0
2023-11-22,0.0,169.5938618846477,113723.74981347774,113723.74981347774,110000.0,0
2023-11-24,0.0,169.5938618846477,114783.24564680313,114783.24564680313,110000.0,0
2023-11-27,0.0,169.5938618846477,114318.28063935705,114318.28063935705,110000.0,0
2023-11-28,0.0,169.5938618846477,112260.69221908688,112260.69221908688,110000.0,0
2023-11-29,0.0,169.5938618846477,114190.40206454486,114190.40206454486,110000.0,0
2023-11-30,0.0,169.5938618846477,113551.02989285963,113551.02989285963,110000.0,0
2023-12-01,10000.0,169.5938618846477,114952.6531873063,124952.6531873063,120000.0,0
2023-12-04,10000.0,169.5938618846477,114640.440659098,124640.440659098,120000.0,0
2023-12-05,10000.0,169.5938618846477,115339.5805894821,125339.5805894821,120000.0,0
2023-12-06,10000.0,169.5938618846477,114932.71679948954,124932.71679948954,120000.0,0
2023-12-07,10000.0,169.5938618846477,116189.8685649858,126189.8685649858,120000.0,0
2023-12-08,10000.0,169.5938618846477,115655.12620018105,125655.12620018105,120000.0,0
2023-12-11,0.0,183.95095261713544,127933.54251234033,127933.54251234033,120000.0,1
2023-12-12,0.0,183.95095261713544,129792.46434302066,129792.46434302066,120000.0,0
2023-12-13,0.0,183.95095261713544,132445.7300395251,132445.7300395251,120000.0,1
2023-12-14,0.0,183.95095261713544,135763.67349151583,135763.67349151583,120000.0,1
2023-12-15,0.0,183.95095261713544,135628.57328321246,135628.57328321246,120000.0,0
2023-12-18,0.0,183.95095261713544,133665.20225134824,133665.20225134824,120000.0,0
2023-12-19,0.0,183.95095261713544,134144.3459802233,134144.3459802233,120000.0,0
2023-12-20,0.0,183.95095261713544,131422.6039128685,131422.6039128685,120000.0,0
2023-12-21,0.0,183.95095261713544,136044.69719415295,136044.69719415295,120000.0,0
2023-12-22,0.0,183.95095261713544,135551.13738720416,135551.13738720416,120000.0,0
2023-12-26,0.0,183.95095261713544,137379.4306657153,137379.4306657153,120000.0,0
2023-12-27,0.0,183.95095261713544,137622.60654967127,137622.60654967127,120000.0,0
2023-12-28,0.0,183.95095261713544,136509.41361747912,136509.41361747912,120000.0,0
2023-12-29,0.0,183.95095261713544,136341.8996884601,136341.8996884601,120000.0,0
2024-01-02,10000.0,183.95095261713544,129136.79102259292,139136.79102259292,130000.0,0
2024-01-03,10000.0,183.95095261713544,126696.06143040014,136696.06143040012,130000.0,0
2024-01-04,10000.0,183.95095261713544,126141.26697406328,136141.2669740633,130000.0,0
2024-01-05,10000.0,183.95095261713544,126690.66101486004,136690.66101486003,130000.0,0
2024-01-08,10000.0,183.95095261713544,129842.89816132853,139842.8981613285,130000.0,0
2024-01-09,10000.0,183.95095261713544,128962.08028201216,138962.08028201218,130000.0,0
2024-01-10,10000.0,183.95095261713544,129293.49289305662,139293.49289305662,130000.0,0
2024-01-11,10000.0,183.95095261713544,129426.79670533832,139426.79670533832,130000.0,0
2024-01-12,10000.0,183.95095261713544,128470.32809856013,138470.32809856013,130000.0,0
2024-01-16,10000.0,183.95095261713544,127259.87154927067,137259.87154927067,130000.0,0
2024-01-17,10000.0,183.95095261713544,128299.23260497295,138299.23260497296,130000.0,0
2024-01-18,0.0,197.64681480579046,144095.1196623299,144095.1196623299,130000.0,1
2024-01-19,0.0,197.64681480579046,146669.19679223985,146669.19679223985,130000.0,1
2024-01-22,0.0,197.64681480579046,148382.01924098254,148382.01924098254,130000.0,1
2024-01-23,0.0,197.64681480579046,150648.33480233018,150648.33480233018,130000.0,1
2024-01-24,0.0,197.64681480579046,163986.99767704666,163986.99767704666,130000.0,1
2024-01-25,0.0,197.64681480579046,168200.33461674143,168200.33461674143,130000.0,1
2024-01-26,0.0,197.64681480579046,167942.92569741,167942.92569741,130000.0,0
2024-01-29,0.0,197.64681480579046,170820.8317261053,170820.8317261053,130000.0,0
2024-01-30,0.0,197.64681480579046,167997.11450918418,167997.11450918418,130000.0,0
2024-01-31,0.0,197.64681480579046,168343.52722488015,168343.52722488015,130000.0,0
2024-02-01,10000.0,197.64681480579046,172353.68024723034,182353.68024723034,140000.0,0
2024-02-02,10000.0,197.64681480579046,172376.87817355306,182376.87817355306,140000.0,0
2024-02-05,10000.0,197.64681480579046,174206.28136071636,184206.28136071636,140000.0,0
2024-02-06,10000.0,197.64681480579046,175437.4362056037,185437.4362056037,140000.0,0
2024-02-07,10000.0,197.64681480579046,178799.26569474416,188799.26569474416,140000.0,0
2024-02-08,10000.0,197.64681480579046,178936.9212003441,188936.9212003441,140000.0,0
2024-02-09,10000.0,197.64681480579046,184105.67975457857,194105.67975457857,140000.0,0
2024-02-12,10000.0,197.64681480579046,180152.52631718674,190152.52631718674,140000.0,0
2024-02-13,10000.0,197.64681480579046,175133.0523902241,185133.0523902241,140000.0,0
2024-02-14,10000.0,197.64681480579046,179227.7216225675,189227.7216225675,140000.0,0
2024-02-15,10000.0,197.64681480579046,180274.68034835882,190274.68034835882,140000.0,0
2024-02-16,10000.0,197.64681480579046,180100.18320625884,190100.18320625884,140000.0,0
2024-02-20,10000.0,197.64681480579046,176344.78515431084,186344.78515431084,140000.0,0
2024-02-21,10000.0,197.64681480579046,176081.11532818715,186081.11532818715,140000.0,0
2024-02-22,10000.0,197.64681480579046,184541.90451472215,194541.90451472215,140000.0,0
2024-02-23,10000.0,197.64681480579046,180935.79109004597,190935.79109004597,140000.0,0
2024-02-26,10000.0,197.64681480579046,183715.99560793117,193715.99560793117,140000.0,0
2024-02-27,10000.0,197.64681480579046,182510.0894680846,192510.0894680846,140000.0,0
2024-02-28,10000.0,197.64681480579046,182147.51179072846,192147.51179072846,140000.0,0
