date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,189.0810166312398,9985.017481269355,9985.017481269355,10000.0,1
2023-01-04,0.0,189.0810166312398,10106.97121711674,10106.97121711674,10000.0,1
2023-01-05,0.0,189.0810166312398,10012.799286374891,10012.799286374891,10000.0,1
2023-01-06,0.0,189.0810166312398,10615.530369941987,10615.530369941987,10000.0,1
2023-01-09,0.0,189.0810166312398,10407.343907568986,10407.343907568986,10000.0,1
2023-01-10,0.0,189.0810166312398,10371.984984239454,10371.984984239454,10000.0,1
2023-01-11,0.0,189.0810166312398,10429.894219244856,10429.894219244856,10000.0,1
2023-01-12,0.0,189.0810166312398,10498.450369253054,10498.450369253054,10000.0,1
2023-01-13,0.0,189.0810166312398,10445.40909911141,10445.40909911141,10000.0,1
2023-01-17,0.0,189.0810166312398,10449.738262707833,10449.738262707833,10000.0,1
2023-01-18,0.0,189.0810166312398,10360.439345837598,10360.439345837598,10000.0,1
2023-01-19,0.0,189.0810166312398,10160.730888948161,10160.730888948161,10000.0,1
2023-01-20,0.0,189.0810166312398,10297.117574406413,10297.117574406413,10000.0,1
2023-01-23,0.0,189.0810166312398,10492.85462597064,10492.85462597064,10000.0,1
2023-01-24,0.0,189.0810166312398,10554.192137312895,10554.192137312895,10000.0,1
2023-01-25,0.0,189.0810166312398,10565.91881871087,10565.91881871087,10000.0,1
2023-01-26,0.0,189.0810166312398,10798.641295422345,10798.641295422345,10000.0,1
2023-01-27,0.0,189.0810166312398,10661.715087409924,10661.715087409924,10000.0,1
2023-01-30,0.0,189.0810166312398,10489.609556490415,10489.609556490415,10000.0,1
2023-01-31,0.0,189.0810166312398,10553.831493894333,10553.831493894333,10000.0,1
2023-02-01,0.0,362.7061606040995,20858.887551230142,20858.887551230142,20000.0,1
2023-02-02,0.0,362.7061606040995,20963.39884975779,20963.39884975779,20000.0,1
2023-02-03,0.0,362.7061606040995,20681.35878057436,20681.35878057436,20000.0,1
2023-02-06,0.0,362.7061606040995,20808.705247843645,20808.705247843645,20000.0,1
2023-02-07,0.0,362.7061606040995,21263.780108764247,21263.780108764247,20000.0,1
2023-02-08,0.0,362.7061606040995,20822.896978683628,20822.896978683628,20000.0,1
2023-02-09,0.0,362.7061606040995,20743.305955495645,20743.305955495645,20000.0,1
2023-02-10,0.0,362.7061606040995,20530.128365000517,20530.128365000517,20000.0,1
2023-02-13,0.0,362.7061606040995,20802.478983947778,20802.478983947778,20000.0,1
2023-02-14,0.0,362.7061606040995,20843.66226058345,20843.66226058345,20000.0,1
2023-02-15,0.0,362.7061606040995,21029.842770826097,21029.842770826097,20000.0,1
2023-02-16,0.0,362.7061606040995,20782.406892761697,20782.406892761697,20000.0,1
2023-02-17,0.0,362.7061606040995,20611.107153230176,20611.107153230176,20000.0,1
2023-02-21,0.0,362.7061606040995,20124.889903916643,20124.889903916643,20000.0,1
2023-02-22,0.0,362.7061606040995,19939.056680837966,19939.056680837966,20000.0,1
2023-02-23,0.0,362.7061606040995,20203.100080133943,20203.100080133943,20000.0,1
2023-02-24,0.0,362.7061606040995,19993.73157952888,19993.73157952888,20000.0,1
2023-02-27,0.0,362.7061606040995,20260.197687287447,20260.197687287447,20000.0,1
2023-02-28,0.0,362.7061606040995,20566.12032116123,20566.12032116123,20000.0,1
2023-03-01,0.0,539.0165682782961,30526.21752709093,30526.21752709093,30000.0,1
