date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-10,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-11,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-12,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-13,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-17,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-23,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-24,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-30,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-31,10000.0,0.0,0.0,10000.0,10000.0,0
2023-02-01,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-07,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-08,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-13,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-14,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-15,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-16,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-17,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-21,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-22,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-23,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-24,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-27,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-28,20000.0,0.0,0.0,20000.0,20000.0,0
2023-03-01,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-02,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-03,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-06,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-07,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-08,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-09,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-10,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-13,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-14,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-15,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-16,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-17,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-20,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-21,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-22,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-23,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-24,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-27,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-28,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-29,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-30,30000.0,0.0,0.0,30000.0,30000.0,0
2023-03-31,30000.0,0.0,0.0,30000.0,30000.0,0
2023-04-03,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-04,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-05,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-06,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-10,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-11,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-12,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-13,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-14,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-17,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-18,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-19,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-20,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-21,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-24,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-25,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-26,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-27,40000.0,0.0,0.0,40000.0,40000.0,0
2023-04-28,40000.0,0.0,0.0,40000.0,40000.0,0
2023-05-01,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-02,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-03,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-04,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-05,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-08,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-09,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-10,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-11,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-12,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-15,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-16,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-17,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-18,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-19,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-22,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-23,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-24,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-25,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-26,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-30,50000.0,0.0,0.0,50000.0,50000.0,0
2023-05-31,50000.0,0.0,0.0,50000.0,50000.0,0
2023-06-01,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-02,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-05,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-06,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-07,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-08,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-09,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-12,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-13,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-14,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-15,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-16,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-20,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-21,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-22,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-23,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-26,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-27,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-28,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-29,60000.0,0.0,0.0,60000.0,60000.0,0
2023-06-30,60000.0,0.0,0.0,60000.0,60000.0,0
2023-07-03,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-05,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-06,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-07,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-10,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-11,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-12,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-13,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-14,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-17,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-18,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-19,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-20,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-21,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-24,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-25,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-26,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-27,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-28,70000.0,0.0,0.0,70000.0,70000.0,0
2023-07-31,70000.0,0.0,0.0,70000.0,70000.0,0
2023-08-01,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-02,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-03,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-04,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-07,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-08,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-09,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-10,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-11,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-14,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-15,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-16,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-17,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-18,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-21,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-22,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-23,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-24,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-25,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-28,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-29,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-30,80000.0,0.0,0.0,80000.0,80000.0,0
2023-08-31,80000.0,0.0,0.0,80000.0,80000.0,0
2023-09-01,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-05,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-06,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-07,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-08,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-11,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-12,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-13,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-14,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-15,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-18,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-19,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-20,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-21,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-22,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-25,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-26,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-27,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-28,90000.0,0.0,0.0,90000.0,90000.0,0
2023-09-29,90000.0,0.0,0.0,90000.0,90000.0,0
2023-10-02,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-03,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-04,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-05,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-06,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-09,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-10,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-11,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-12,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-13,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-16,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-17,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-18,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-19,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-20,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-23,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-24,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-25,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-26,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-27,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-30,100000.0,0.0,0.0,100000.0,100000.0,0
2023-10-31,100000.0,0.0,0.0,100000.0,100000.0,0
2023-11-01,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-02,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-03,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-06,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-07,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-08,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-09,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-10,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-13,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-14,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-15,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-16,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-17,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-20,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-21,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-22,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-24,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-27,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-28,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-29,110000.0,0.0,0.0,110000.0,110000.0,0
2023-11-30,110000.0,0.0,0.0,110000.0,110000.0,0
2023-12-01,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-04,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-05,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-06,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-07,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-08,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-11,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-12,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-13,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-14,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-15,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-18,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-19,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-20,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-21,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-22,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-26,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-27,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-28,120000.0,0.0,0.0,120000.0,120000.0,0
2023-12-29,120000.0,0.0,0.0,120000.0,120000.0,0
2024-01-02,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-03,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-04,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-05,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-08,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-09,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-10,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-11,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-12,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-16,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-17,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-18,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-19,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-22,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-23,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-24,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-25,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-26,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-29,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-30,130000.0,0.0,0.0,130000.0,130000.0,0
2024-01-31,130000.0,0.0,0.0,130000.0,130000.0,0
2024-02-01,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-02,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-05,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-06,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-07,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-08,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-09,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-12,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-13,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-14,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-15,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-16,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-20,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-21,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-22,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-23,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-26,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-27,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-28,140000.0,0.0,0.0,140000.0,140000.0,0
2024-02-29,140000.0,0.0,0.0,140000.0,140000.0,0
2024-03-01,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-04,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-05,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-06,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-07,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-08,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-11,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-12,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-13,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-14,150000.0,0.0,0.0,150000.0,150000.0,0
2024-03-15,0.0,1242.2950808717403,149775.26221904036,149775.26221904036,150000.0,1
2024-03-18,0.0,1242.2950808717403,149986.17524725874,149986.17524725874,150000.0,1
2024-03-19,0.0,1242.2950808717403,150079.5331463263,150079.5331463263,150000.0,1
2024-03-20,0.0,1242.2950808717403,155343.66756311108,155343.66756311108,150000.0,0
2024-03-21,0.0,1242.2950808717403,164109.15918105794,164109.15918105794,150000.0,0
2024-03-22,0.0,1242.2950808717403,164775.08060120908,164775.08060120908,150000.0,0
2024-03-25,0.0,1242.2950808717403,164544.99366133448,164544.99366133448,150000.0,0
2024-03-26,0.0,1242.2950808717403,162099.20626494964,162099.20626494964,150000.0,0
2024-03-27,0.0,1242.2950808717403,160545.73082446502,160545.73082446502,150000.0,0
2024-03-28,0.0,1242.2950808717403,161358.99659983488,161358.99659983488,150000.0,0
2024-04-01,10000.0,1242.2950808717403,164384.3043394267,174384.3043394267,160000.0,0
2024-04-02,10000.0,1242.2950808717403,162984.25810402897,172984.25810402897,160000.0,0
2024-04-03,10000.0,1242.2950808717403,165960.86808875686,175960.86808875686,160000.0,0
2024-04-04,10000.0,1242.2950808717403,160395.99802350363,170395.99802350363,160000.0,0
2024-04-05,10000.0,1242.2950808717403,163065.78750989487,173065.78750989487,160000.0,0
2024-04-08,10000.0,1242.2950808717403,162660.41519079634,172660.41519079634,160000.0,0
2024-04-09,10000.0,1242.2950808717403,162414.4811029785,172414.4811029785,160000.0,0
2024-04-10,10000.0,1242.2950808717403,160988.9012452368,170988.9012452368,160000.0,0
2024-04-11,10000.0,1242.2950808717403,168304.40726025426,178304.40726025426,160000.0,0
2024-04-12,10000.0,1242.2950808717403,163630.6928398671,173630.6928398671,160000.0,0
2024-04-15,10000.0,1242.2950808717403,159566.94196794627,169566.94196794627,160000.0,0
2024-04-16,10000.0,1242.2950808717403,161803.36124347802,171803.36124347802,160000.0,0
2024-04-17,0.0,1321.7332585849767,166135.85649192287,166135.85649192287,160000.0,1
2024-04-18,0.0,1321.7332585849767,163073.82228602195,163073.82228602195,160000.0,1
2024-04-19,0.0,1321.7332585849767,156043.0689798174,156043.0689798174,160000.0,1
2024-04-22,0.0,1321.7332585849767,158601.22464976116,158601.22464976116,160000.0,1
2024-04-23,0.0,1321.7332585849767,161804.43519858958,161804.43519858958,160000.0,1
2024-04-24,0.0,1321.7332585849767,162792.73010322885,162792.73010322885,160000.0,1
2024-04-25,0.0,1321.7332585849767,167662.9811614183,167662.9811614183,160000.0,0
2024-04-26,0.0,1321.7332585849767,174094.00727884247,174094.00727884247,160000.0,0
2024-04-29,0.0,1321.7332585849767,173388.08522810714,173388.08522810714,160000.0,0
2024-04-30,0.0,1321.7332585849767,168420.69476195908,168420.69476195908,160000.0,0
2024-05-01,0.0,1403.7133579080505,170969.57106830762,170969.57106830762,170000.0,1
2024-05-02,0.0,1403.7133579080505,170379.42500669628,170379.42500669628,170000.0,1
2024-05-03,0.0,1403.7133579080505,175818.58936944665,175818.58936944665,170000.0,0
2024-05-06,0.0,1403.7133579080505,180248.07438290643,180248.07438290643,170000.0,0
2024-05-07,0.0,1403.7133579080505,179257.63997459607,179257.63997459607,170000.0,0
2024-05-08,0.0,1403.7133579080505,182319.738196539,182319.738196539,170000.0,0
2024-05-09,0.0,1403.7133579080505,179609.810614103,179609.810614103,170000.0,0
2024-05-10,0.0,1403.7133579080505,183341.82983664543,183341.82983664543,170000.0,0
2024-05-13,0.0,1403.7133579080505,183989.75355912952,183989.75355912952,170000.0,0
2024-05-14,0.0,1403.7133579080505,189838.88764122556,189838.88764122556,170000.0,0
2024-05-15,0.0,1403.7133579080505,197561.56010115327,197561.56010115327,170000.0,0
2024-05-16,0.0,1403.7133579080505,194254.55742159436,194254.55742159436,170000.0,0
2024-05-17,0.0,1403.7133579080505,191938.07482620995,191938.07482620995,170000.0,0
2024-05-20,0.0,1403.7133579080505,194515.9544830554,194515.9544830554,170000.0,0
2024-05-21,0.0,1403.7133579080505,192475.90506328683,192475.90506328683,170000.0,0
2024-05-22,0.0,1403.7133579080505,191518.4558626666,191518.4558626666,170000.0,0
2024-05-23,0.0,1403.7133579080505,191662.90536959,191662.90536959,170000.0,0
2024-05-24,0.0,1403.7133579080505,193664.44348843207,193664.44348843207,170000.0,0
2024-05-28,0.0,1403.7133579080505,194298.5733967912,194298.5733967912,170000.0,0
2024-05-29,0.0,1403.7133579080505,191302.48842816058,191302.48842816058,170000.0,0
2024-05-30,0.0,1403.7133579080505,187644.771598785,187644.771598785,170000.0,0
2024-05-31,0.0,1403.7133579080505,182757.1777398214,182757.1777398214,170000.0,0
2024-06-03,0.0,1480.7916473644348,191827.43401977338,191827.43401977338,180000.0,1
2024-06-04,0.0,1480.7916473644348,193121.86138632326,193121.86138632326,180000.0,0
2024-06-05,0.0,1480.7916473644348,205060.4503070629,205060.4503070629,180000.0,0
2024-06-06,0.0,1480.7916473644348,203345.2120329124,203345.2120329124,180000.0,0
2024-06-07,0.0,1480.7916473644348,204124.47140690996,204124.47140690996,180000.0,0
2024-06-10,0.0,1480.7916473644348,209033.7286397975,209033.7286397975,180000.0,0
2024-06-11,0.0,1480.7916473644348,212017.25176438462,212017.25176438462,180000.0,0
2024-06-12,0.0,1480.7916473644348,217020.8208920491,217020.8208920491,180000.0,0
2024-06-13,0.0,1480.7916473644348,243646.5103541446,243646.5103541446,180000.0,0
