date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,113.44860997874389,5991.0104887616135,9991.010488761614,10000.0,0
2023-01-04,4000.0,113.44860997874389,6064.182730270045,10064.182730270044,10000.0,0
2023-01-05,4000.0,113.44860997874389,6007.679571824935,10007.679571824934,10000.0,0
2023-01-06,4000.0,113.44860997874389,6369.318221965193,10369.318221965194,10000.0,0
2023-01-09,4000.0,113.44860997874389,6244.406344541392,10244.406344541392,10000.0,0
2023-01-10,4000.0,113.44860997874389,6223.190990543673,10223.190990543673,10000.0,0
2023-01-11,4000.0,113.44860997874389,6257.936531546913,10257.936531546913,10000.0,0
2023-01-12,4000.0,113.44860997874389,6299.070221551833,10299.070221551832,10000.0,0
2023-01-13,4000.0,113.44860997874389,6267.245459466846,10267.245459466845,10000.0,0
2023-01-17,4000.0,113.44860997874389,6269.8429576247,10269.8429576247,10000.0,0
2023-01-18,4000.0,113.44860997874389,6216.263607502559,10216.263607502558,10000.0,0
2023-01-19,4000.0,113.44860997874389,6096.438533368898,10096.438533368899,10000.0,0
2023-01-20,4000.0,113.44860997874389,6178.270544643849,10178.270544643849,10000.0,0
2023-01-23,4000.0,113.44860997874389,6295.712775582384,10295.712775582384,10000.0,0
2023-01-24,4000.0,113.44860997874389,6332.515282387738,10332.515282387738,10000.0,0
2023-01-25,4000.0,113.44860997874389,6339.551291226522,10339.551291226522,10000.0,0
2023-01-26,4000.0,113.44860997874389,6479.184777253407,10479.184777253407,10000.0,0
2023-01-27,4000.0,113.44860997874389,6397.029052445955,10397.029052445956,10000.0,0
2023-01-30,4000.0,113.44860997874389,6293.76573389425,10293.76573389425,10000.0,0
2023-01-31,4000.0,113.44860997874389,6332.2988963366,10332.2988963366,10000.0,0
2023-02-01,8000.0,217.62369636245973,12515.332530738087,20515.332530738087,20000.0,0
2023-02-02,8000.0,217.62369636245973,12578.039309854674,20578.039309854674,20000.0,0
2023-02-03,8000.0,217.62369636245973,12408.815268344615,20408.815268344617,20000.0,0
2023-02-06,8000.0,217.62369636245973,12485.223148706189,20485.223148706187,20000.0,0
2023-02-07,8000.0,217.62369636245973,12758.26806525855,20758.268065258548,20000.0,0
2023-02-08,8000.0,217.62369636245973,12493.738187210178,20493.738187210176,20000.0,0
2023-02-09,8000.0,217.62369636245973,12445.983573297388,20445.983573297388,20000.0,0
2023-02-10,8000.0,217.62369636245973,12318.07701900031,20318.07701900031,20000.0,0
2023-02-13,8000.0,217.62369636245973,12481.487390368668,20481.487390368668,20000.0,0
2023-02-14,8000.0,217.62369636245973,12506.197356350069,20506.19735635007,20000.0,0
2023-02-15,8000.0,217.62369636245973,12617.90566249566,20617.905662495657,20000.0,0
2023-02-16,8000.0,217.62369636245973,12469.444135657019,20469.444135657017,20000.0,0
2023-02-17,8000.0,217.62369636245973,12366.664291938107,20366.664291938105,20000.0,0
2023-02-21,8000.0,217.62369636245973,12074.933942349986,20074.933942349984,20000.0,0
2023-02-22,8000.0,217.62369636245973,11963.43400850278,19963.43400850278,20000.0,0
2023-02-23,8000.0,217.62369636245973,12121.860048080365,20121.860048080365,20000.0,0
2023-02-24,8000.0,217.62369636245973,11996.23894771733,19996.238947717327,20000.0,0
2023-02-27,8000.0,217.62369636245973,12156.11861237247,20156.11861237247,20000.0,0
2023-02-28,8000.0,217.62369636245973,12339.672192696738,20339.672192696737,20000.0,0
2023-03-01,12000.0,323.4099409669776,18315.730516254556,30315.730516254556,30000.0,0
2023-03-02,12000.0,323.4099409669776,18472.485838135904,30472.485838135904,30000.0,0
2023-03-03,12000.0,323.4099409669776,19525.01528930209,31525.01528930209,30000.0,0
2023-03-06,12000.0,323.4099409669776,19529.950133372018,31529.950133372018,30000.0,0
2023-03-07,12000.0,323.4099409669776,19290.19320165647,31290.19320165647,30000.0,0
2023-03-08,12000.0,323.4099409669776,19509.58526560643,31509.58526560643,30000.0,0
2023-03-09,12000.0,323.4099409669776,19209.037223504427,31209.037223504427,30000.0,0
2023-03-10,12000.0,323.4099409669776,18971.75018124588,30971.75018124588,30000.0,0
2023-03-13,12000.0,323.4099409669776,19022.355773472,31022.355773472,30000.0,0
2023-03-14,12000.0,323.4099409669776,19515.757521826898,31515.757521826898,30000.0,0
2023-03-15,12000.0,323.4099409669776,19317.65931003869,31317.65931003869,30000.0,0
2023-03-16,12000.0,323.4099409669776,19640.417851588434,31640.417851588434,30000.0,0
2023-03-17,12000.0,323.4099409669776,19469.78081333837,31469.78081333837,30000.0,0
2023-03-20,12000.0,323.4099409669776,19862.89666050414,31862.89666050414,30000.0,0
2023-03-21,12000.0,323.4099409669776,19789.551306803776,31789.551306803776,30000.0,0
2023-03-22,12000.0,323.4099409669776,19608.361104510164,31608.361104510164,30000.0,0
2023-03-23,12000.0,323.4099409669776,19866.628636332025,31866.628636332025,30000.0,0
2023-03-24,12000.0,323.4099409669776,19771.525555127337,31771.525555127337,30000.0,0
2023-03-27,12000.0,323.4099409669776,19481.556585000242,31481.556585000242,30000.0,0
2023-03-28,12000.0,323.4099409669776,19415.049691469787,31415.049691469787,30000.0,0
2023-03-29,12000.0,323.4099409669776,19439.911435894097,31439.911435894097,30000.0,0
2023-03-30,12000.0,323.4099409669776,19696.312362946504,31696.312362946504,30000.0,0
2023-03-31,12000.0,323.4099409669776,19938.420747861375,31938.420747861375,30000.0,0
2023-04-03,16000.0,420.4461074236479,25958.332150918537,41958.33215091853,40000.0,0
2023-04-04,16000.0,420.4461074236479,25632.67663719471,41632.67663719471,40000.0,0
2023-04-05,16000.0,420.4461074236479,25414.496761511262,41414.49676151126,40000.0,0
2023-04-06,16000.0,420.4461074236479,25157.12300182852,41157.12300182852,40000.0,0
2023-04-10,16000.0,420.4461074236479,25349.039430669534,41349.03943066954,40000.0,0
2023-04-11,16000.0,420.4461074236479,25113.89216541992,41113.89216541992,40000.0,0
2023-04-12,16000.0,420.4461074236479,24917.11920424065,40917.11920424065,40000.0,0
2023-04-13,16000.0,420.4461074236479,25221.770375989003,41221.770375989,40000.0,0
2023-04-14,16000.0,420.4461074236479,25031.871621415332,41031.87162141533,40000.0,0
2023-04-17,16000.0,420.4461074236479,25347.830109208822,41347.83010920882,40000.0,0
2023-04-18,16000.0,420.4461074236479,25548.23103477023,41548.23103477023,40000.0,0
2023-04-19,16000.0,420.4461074236479,25636.31422482455,41636.31422482455,40000.0,0
2023-04-20,16000.0,420.4461074236479,25576.512155880006,41576.51215588,40000.0,0
2023-04-21,16000.0,420.4461074236479,25571.663642914835,41571.663642914835,40000.0,0
