date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,23.01632510171342,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,23.01632510171342,10057.27011437445,10057.27011437445,10000.0,1
2023-01-05,0.0,23.01632510171342,9916.949059853438,9916.949059853438,10000.0,1
2023-01-06,0.0,23.01632510171342,10636.837869518982,10636.837869518982,10000.0,1
2023-01-09,0.0,23.01632510171342,10546.081144968588,10546.081144968588,10000.0,1
2023-01-10,0.0,23.01632510171342,10604.45570948971,10604.45570948971,10000.0,1
2023-01-11,0.0,23.01632510171342,10668.55766399128,10668.55766399128,10000.0,1
2023-01-12,0.0,23.01632510171342,10627.144012624183,10627.144012624183,10000.0,1
2023-01-13,0.0,23.01632510171342,10689.264489674828,10689.264489674828,10000.0,1
2023-01-17,0.0,23.01632510171342,10722.746612018227,10722.746612018227,10000.0,1
2023-01-18,0.0,23.01632510171342,10561.939988600989,10561.939988600989,10000.0,1
2023-01-19,0.0,23.01632510171342,10342.096435105655,10342.096435105655,10000.0,1
2023-01-20,0.0,23.01632510171342,10576.038611569787,10576.038611569787,10000.0,1
2023-01-23,0.0,23.01632510171342,10851.393034596016,10851.393034596016,10000.0,1
2023-01-24,0.0,23.01632510171342,10840.378661002267,10840.378661002267,10000.0,1
2023-01-25,0.0,23.01632510171342,10813.284889391294,10813.284889391294,10000.0,1
2023-01-26,0.0,23.01632510171342,10976.733248608933,10976.733248608933,10000.0,1
2023-01-27,0.0,23.01632510171342,11086.656430161598,11086.656430161598,10000.0,1
2023-01-30,0.0,23.01632510171342,11086.434470971775,11086.434470971775,10000.0,1
2023-01-31,0.0,23.01632510171342,11259.58090149921,11259.58090149921,10000.0,1
2023-02-01,0.0,43.16043745705725,21393.73107664508,21393.73107664508,20000.0,1
2023-02-02,0.0,43.16043745705725,21659.383516507187,21659.383516507187,20000.0,1
2023-02-03,0.0,43.16043745705725,21302.277260301213,21302.277260301213,20000.0,1
2023-02-06,0.0,43.16043745705725,21334.970290639398,21334.970290639398,20000.0,1
2023-02-07,0.0,43.16043745705725,21373.867107001224,21373.867107001224,20000.0,1
2023-02-08,0.0,43.16043745705725,20847.513401727727,20847.513401727727,20000.0,1
2023-02-09,0.0,43.16043745705725,20715.927280425392,20715.927280425392,20000.0,1
2023-02-10,0.0,43.16043745705725,20689.443304718938,20689.443304718938,20000.0,1
2023-02-13,0.0,43.16043745705725,20956.756673280794,20956.756673280794,20000.0,1
2023-02-14,0.0,43.16043745705725,20823.101306151886,20823.101306151886,20000.0,1
2023-02-15,0.0,43.16043745705725,21156.62132109982,21156.62132109982,20000.0,1
2023-02-16,0.0,43.16043745705725,20859.515290952237,20859.515290952237,20000.0,1
2023-02-17,0.0,43.16043745705725,20999.37971271287,20999.37971271287,20000.0,1
2023-02-21,0.0,43.16043745705725,20761.857688584725,20761.857688584725,20000.0,1
2023-02-22,0.0,43.16043745705725,20581.857010409556,20581.857010409556,20000.0,1
2023-02-23,0.0,43.16043745705725,20405.994823887522,20405.994823887522,20000.0,1
2023-02-24,0.0,43.16043745705725,20218.544333875892,20218.544333875892,20000.0,1
2023-02-27,0.0,43.16043745705725,20153.16354180761,20153.16354180761,20000.0,1
2023-02-28,0.0,43.16043745705725,20035.23101836538,20035.23101836538,20000.0,1
2023-03-01,0.0,64.91803631837819,29792.24553316962,29792.24553316962,30000.0,1
2023-03-02,0.0,64.91803631837819,30229.17236678058,30229.17236678058,30000.0,1
2023-03-03,0.0,64.91803631837819,29580.009833868004,29580.009833868004,30000.0,1
2023-03-06,0.0,64.91803631837819,30066.72274696752,30066.72274696752,30000.0,1
2023-03-07,0.0,64.91803631837819,30195.556362134274,30195.556362134274,30000.0,1
2023-03-08,0.0,64.91803631837819,30250.95105248761,30250.95105248761,30000.0,1
2023-03-09,0.0,64.91803631837819,29845.149928977906,29845.149928977906,30000.0,1
2023-03-10,0.0,64.91803631837819,29323.582797953914,29323.582797953914,30000.0,1
2023-03-13,0.0,64.91803631837819,29377.1112532544,29377.1112532544,30000.0,1
2023-03-14,0.0,64.91803631837819,29994.52599771476,29994.52599771476,30000.0,1
2023-03-15,0.0,64.91803631837819,30227.306131727728,30227.306131727728,30000.0,1
2023-03-16,0.0,64.91803631837819,30326.884234128564,30326.884234128564,30000.0,1
2023-03-17,0.0,64.91803631837819,30313.812664193607,30313.812664193607,30000.0,1
2023-03-20,0.0,64.91803631837819,30453.22953589151,30453.22953589151,30000.0,1
2023-03-21,0.0,64.91803631837819,30550.32526831228,30550.32526831228,30000.0,1
2023-03-22,0.0,64.91803631837819,30343.064214677033,30343.064214677033,30000.0,1
2023-03-23,0.0,64.91803631837819,30358.005981947328,30358.005981947328,30000.0,1
2023-03-24,0.0,64.91803631837819,30825.420598178644,30825.420598178644,30000.0,1
2023-03-27,0.0,64.91803631837819,30697.831139713795,30697.831139713795,30000.0,1
2023-03-28,0.0,64.91803631837819,30296.382583519502,30296.382583519502,30000.0,1
2023-03-29,0.0,64.91803631837819,30551.569425014182,30551.569425014182,30000.0,1
2023-03-30,0.0,64.91803631837819,30589.53799697591,30589.53799697591,30000.0,1
2023-03-31,0.0,64.91803631837819,30925.006625144462,30925.006625144462,30000.0,1
2023-04-03,0.0,85.87192167951397,40919.98330345277,40919.98330345277,40000.0,1
2023-04-04,0.0,85.87192167951397,40977.61560635731,40977.61560635731,40000.0,1
2023-04-05,0.0,85.87192167951397,40928.21723832572,40928.21723832572,40000.0,1
2023-04-06,0.0,85.87192167951397,40010.24880652656,40010.24880652656,40000.0,1
2023-04-10,0.0,85.87192167951397,40656.53145535819,40656.53145535819,40000.0,1
2023-04-11,0.0,85.87192167951397,41053.36151774112,41053.36151774112,40000.0,1
2023-04-12,0.0,85.87192167951397,40287.69729566393,40287.69729566393,40000.0,1
2023-04-13,0.0,85.87192167951397,40990.7919986365,40990.7919986365,40000.0,1
2023-04-14,0.0,85.87192167951397,40448.235440258875,40448.235440258875,40000.0,1
2023-04-17,0.0,85.87192167951397,40665.59088020091,40665.59088020091,40000.0,1
2023-04-18,0.0,85.87192167951397,40909.27551927362,40909.27551927362,40000.0,1
2023-04-19,0.0,85.87192167951397,40837.65443713553,40837.65443713553,40000.0,1
2023-04-20,0.0,85.87192167951397,41623.89563458587,41623.89563458587,40000.0,1
2023-04-21,0.0,85.87192167951397,41687.28802305716,41687.28802305716,40000.0,1
2023-04-24,0.0,85.87192167951397,42104.7003020194,42104.7003020194,40000.0,1
2023-04-25,0.0,85.87192167951397,41425.48191369594,41425.48191369594,40000.0,1
2023-04-26,0.0,85.87192167951397,40724.86630123573,40724.86630123573,40000.0,1
2023-04-27,0.0,85.87192167951397,41269.0581159344,41269.0581159344,40000.0,1
2023-04-28,0.0,85.87192167951397,41429.601501735495,41429.601501735495,40000.0,1
2023-05-01,0.0,106.97184164457117,50621.78958941491,50621.78958941491,50000.0,1
2023-05-02,0.0,106.97184164457117,50746.908906270124,50746.908906270124,50000.0,1
2023-05-03,0.0,106.97184164457117,50259.75415123184,50259.75415123184,50000.0,1
2023-05-04,0.0,106.97184164457117,50393.36775311998,50393.36775311998,50000.0,1
2023-05-05,0.0,106.97184164457117,51289.54094026677,51289.54094026677,50000.0,1
2023-05-08,0.0,106.97184164457117,51289.54094026677,51289.54094026677,50000.0,1
2023-05-09,0.0,106.97184164457117,51467.33004756063,51467.33004756063,50000.0,1
2023-05-10,0.0,106.97184164457117,51351.204487533134,51351.204487533134,50000.0,1
2023-05-11,0.0,106.97184164457117,51580.386957345625,51580.386957345625,50000.0,1
2023-05-12,0.0,106.97184164457117,51804.42780574117,51804.42780574117,50000.0,1
2023-05-15,0.0,106.97184164457117,51595.80202803183,51595.80202803183,50000.0,1
2023-05-16,0.0,106.97184164457117,50990.47159344236,50990.47159344236,50000.0,1
2023-05-17,0.0,106.97184164457117,50872.27959128349,50872.27959128349,50000.0,1
2023-05-18,0.0,106.97184164457117,51190.87404140613,51190.87404140613,50000.0,1
2023-05-19,0.0,106.97184164457117,51028.493475755415,51028.493475755415,50000.0,1
2023-05-22,0.0,106.97184164457117,50550.60669735376,50550.60669735376,50000.0,1
2023-05-23,0.0,106.97184164457117,49831.20082226051,49831.20082226051,50000.0,1
2023-05-24,0.0,106.97184164457117,49614.35497932714,49614.35497932714,50000.0,1
2023-05-25,0.0,106.97184164457117,50003.858101702026,50003.858101702026,50000.0,1
2023-05-26,0.0,106.97184164457117,52132.26738084969,52132.26738084969,50000.0,1
2023-05-30,0.0,106.97184164457117,52211.40591189058,52211.40591189058,50000.0,1
2023-05-31,0.0,106.97184164457117,52574.195454548135,52574.195454548135,50000.0,1
2023-06-01,0.0,127.24697378598394,62666.090106337564,62666.090106337564,60000.0,1
2023-06-02,0.0,127.24697378598394,62664.874642995426,62664.874642995426,60000.0,1
2023-06-05,0.0,127.24697378598394,63356.81112911243,63356.81112911243,60000.0,1
