date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,229.8247670294624,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,229.8247670294624,9982.920386379774,9982.920386379774,10000.0,1
2023-01-05,0.0,229.8247670294624,9842.256343922034,9842.256343922034,10000.0,1
2023-01-06,0.0,229.8247670294624,10144.579048954913,10144.579048954913,10000.0,1
2023-01-09,0.0,229.8247670294624,10199.163132493937,10199.163132493937,10000.0,1
2023-01-10,0.0,229.8247670294624,10247.450671092756,10247.450671092756,10000.0,1
2023-01-11,0.0,229.8247670294624,10331.430028274248,10331.430028274248,10000.0,1
2023-01-12,0.0,229.8247670294624,10287.341939726055,10287.341939726055,10000.0,1
2023-01-13,0.0,229.8247670294624,10262.147869558034,10262.147869558034,10000.0,1
2023-01-17,0.0,229.8247670294624,10094.19090861887,10094.19090861887,10000.0,1
2023-01-18,0.0,229.8247670294624,9846.45491726075,9846.45491726075,10000.0,1
2023-01-19,0.0,229.8247670294624,9754.078413401827,9754.078413401827,10000.0,1
2023-01-20,0.0,229.8247670294624,9821.260847092728,9821.260847092728,10000.0,1
2023-01-23,0.0,229.8247670294624,9972.422637965123,9972.422637965123,10000.0,1
2023-01-24,0.0,229.8247670294624,10037.507976766443,10037.507976766443,10000.0,1
2023-01-25,0.0,229.8247670294624,10073.196288501473,10073.196288501473,10000.0,1
2023-01-26,0.0,229.8247670294624,10148.776745581716,10148.776745581716,10000.0,1
2023-01-27,0.0,229.8247670294624,10184.46856416439,10184.46856416439,10000.0,1
2023-01-30,0.0,229.8247670294624,10123.583552125607,10123.583552125607,10000.0,1
2023-01-31,0.0,229.8247670294624,10218.05890429793,10218.05890429793,10000.0,1
2023-02-01,0.0,454.87035392234293,20182.08176544989,20182.08176544989,20000.0,1
2023-02-02,0.0,454.87035392234293,20493.724108722316,20493.724108722316,20000.0,1
2023-02-03,0.0,454.87035392234293,20207.01648448166,20207.01648448166,20000.0,1
2023-02-06,0.0,454.87035392234293,19766.55690589396,19766.55690589396,20000.0,1
2023-02-07,0.0,454.87035392234293,19878.747524802664,19878.747524802664,20000.0,1
2023-02-08,0.0,454.87035392234293,19513.083427346795,19513.083427346795,20000.0,1
2023-02-09,0.0,454.87035392234293,19417.51595445927,19417.51595445927,20000.0,1
2023-02-10,0.0,454.87035392234293,19637.743140964078,19637.743140964078,20000.0,1
2023-02-13,0.0,454.87035392234293,19887.059097813257,19887.059097813257,20000.0,1
2023-02-14,0.0,454.87035392234293,19820.575189692012,19820.575189692012,20000.0,1
2023-02-15,0.0,454.87035392234293,20132.217532964438,20132.217532964438,20000.0,1
2023-02-16,0.0,454.87035392234293,21187.651960279094,21187.651960279094,20000.0,1
2023-02-17,0.0,454.87035392234293,21096.240273896863,21096.240273896863,20000.0,1
2023-02-21,0.0,454.87035392234293,20647.46912229858,20647.46912229858,20000.0,1
2023-02-22,0.0,454.87035392234293,20489.573527795106,20489.573527795106,20000.0,1
2023-02-23,0.0,454.87035392234293,20448.01913312755,20448.01913312755,20000.0,1
2023-02-24,0.0,454.87035392234293,20144.68315728763,20144.68315728763,20000.0,1
2023-02-27,0.0,454.87035392234293,20248.567408763825,20248.567408763825,20000.0,1
2023-02-28,0.0,454.87035392234293,20119.757114219337,20119.757114219337,20000.0,1
2023-03-01,0.0,680.9867001526297,30071.528303446332,30071.528303446332,30000.0,1
