date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-10,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-11,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-12,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-13,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-17,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-23,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-24,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-30,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-31,10000.0,0.0,0.0,10000.0,10000.0,0
2023-02-01,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-07,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-08,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-13,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-14,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-15,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-16,0.0,428.7297567602621,19970.03496253871,19970.03496253871,20000.0,1
2023-02-17,0.0,428.7297567602621,19883.876544585648,19883.876544585648,20000.0,0
2023-02-21,0.0,428.7297567602621,19460.89547974667,19460.89547974667,20000.0,0
2023-02-22,0.0,428.7297567602621,19312.073866640298,19312.073866640298,20000.0,0
2023-02-23,0.0,428.7297567602621,19272.907529760967,19272.907529760967,20000.0,0
2023-02-24,0.0,428.7297567602621,18987.003737576946,18987.003737576946,20000.0,0
2023-02-27,0.0,428.7297567602621,19084.917944301036,19084.917944301036,20000.0,0
2023-02-28,0.0,428.7297567602621,18963.51015025143,18963.51015025143,20000.0,0
2023-03-01,10000.0,428.7297567602621,18932.17446398919,28932.17446398919,30000.0,0
2023-03-02,10000.0,428.7297567602621,19006.58527054238,29006.58527054238,30000.0,0
2023-03-03,10000.0,428.7297567602621,19300.321348817728,29300.321348817728,30000.0,0
2023-03-06,10000.0,428.7297567602621,19355.152257879712,29355.152257879712,30000.0,0
2023-03-07,10000.0,428.7297567602621,19155.411790071445,29155.411790071445,30000.0,0
2023-03-08,10000.0,428.7297567602621,19233.74119288164,29233.74119288164,30000.0,0
2023-03-09,10000.0,428.7297567602621,19116.247088666347,29116.247088666347,30000.0,0
2023-03-10,10000.0,428.7297567602621,19018.33778836495,29018.33778836495,30000.0,0
2023-03-13,10000.0,428.7297567602621,18959.589918520185,28959.589918520185,30000.0,0
2023-03-14,10000.0,428.7297567602621,19210.242699133425,29210.242699133425,30000.0,0
2023-03-15,10000.0,428.7297567602621,19214.161295390437,29214.161295390437,30000.0,0
2023-03-16,10000.0,428.7297567602621,19629.30843866386,29629.30843866386,30000.0,0
2023-03-17,10000.0,428.7297567602621,19656.72225772062,29656.72225772062,30000.0,0
2023-03-20,10000.0,428.7297567602621,19950.453429573277,29950.453429573277,30000.0,0
2023-03-21,10000.0,428.7297567602621,19844.71020770632,29844.71020770632,30000.0,0
2023-03-22,10000.0,428.7297567602621,19370.820101010828,29370.820101010828,30000.0,0
2023-03-23,10000.0,428.7297567602621,19476.56332287778,29476.56332287778,30000.0,0
2023-03-24,10000.0,428.7297567602621,19782.04374160455,29782.04374160455,30000.0,0
2023-03-27,10000.0,428.7297567602621,19793.79789490135,29793.79789490135,30000.0,0
2023-03-28,10000.0,428.7297567602621,19735.051660530815,29735.051660530815,30000.0,0
2023-03-29,10000.0,428.7297567602621,20040.53207925758,30040.53207925758,30000.0,0
2023-03-30,0.0,641.2606332788965,30127.380728033808,30127.380728033808,30000.0,1
2023-03-31,0.0,641.2606332788965,30625.302936372173,30625.302936372173,30000.0,1
2023-04-03,10000.0,641.2606332788965,30642.876546256342,40642.876546256346,40000.0,0
2023-04-04,10000.0,641.2606332788965,30583.85426628902,40583.854266289025,40000.0,0
2023-04-05,10000.0,641.2606332788965,30583.85426628902,40583.854266289025,40000.0,0
2023-04-06,10000.0,641.2606332788965,30259.251296190236,40259.25129619024,40000.0,0
2023-04-10,10000.0,641.2606332788965,30294.657814768107,40294.65781476811,40000.0,0
2023-04-11,10000.0,641.2606332788965,29875.623599908944,39875.62359990894,40000.0,0
2023-04-12,10000.0,641.2606332788965,29574.626606338865,39574.62660633886,40000.0,0
2023-04-13,10000.0,641.2606332788965,29981.860279148863,39981.86027914887,40000.0,0
2023-04-14,10000.0,641.2606332788965,29828.409200636346,39828.40920063635,40000.0,0
2023-04-17,10000.0,641.2606332788965,29674.955675908644,39674.95567590864,40000.0,0
2023-04-18,10000.0,641.2606332788965,29692.663827627952,39692.663827627955,40000.0,0
2023-04-19,10000.0,641.2606332788965,28352.925587908867,38352.92558790887,40000.0,0
2023-04-20,10000.0,641.2606332788965,27491.241396801088,37491.24139680109,40000.0,0
2023-04-21,10000.0,641.2606332788965,27756.829425578107,37756.82942557811,40000.0,0
2023-04-24,10000.0,641.2606332788965,27969.297891627575,37969.297891627575,40000.0,0
2023-04-25,10000.0,641.2606332788965,27792.238390371163,37792.23839037116,40000.0,0
2023-04-26,10000.0,641.2606332788965,27467.628081626826,37467.628081626826,40000.0,0
2023-04-27,10000.0,641.2606332788965,27479.435962321546,37479.43596232154,40000.0,0
2023-04-28,10000.0,641.2606332788965,27886.669635131548,37886.66963513155,40000.0,0
2023-05-01,20000.0,641.2606332788965,27939.7891978591,47939.7891978591,50000.0,0
2023-05-02,20000.0,641.2606332788965,27361.393848602092,47361.39384860209,50000.0,0
2023-05-03,20000.0,641.2606332788965,27125.314513593556,47125.314513593556,50000.0,0
2023-05-04,20000.0,641.2606332788965,26971.8683275114,46971.8683275114,50000.0,0
2023-05-05,20000.0,641.2606332788965,27296.476190040557,47296.47619004056,50000.0,0
2023-05-08,20000.0,641.2606332788965,27349.59086033774,47349.59086033774,50000.0,0
2023-05-09,20000.0,641.2606332788965,27426.318845809183,47426.31884580918,50000.0,0
2023-05-10,20000.0,641.2606332788965,27567.962043626976,47567.962043626976,50000.0,0
2023-05-11,20000.0,641.2606332788965,27367.299012057047,47367.29901205705,50000.0,0
2023-05-12,20000.0,641.2606332788965,27567.962043626976,47567.962043626976,50000.0,0
2023-05-15,20000.0,641.2606332788965,27798.136215180566,47798.136215180566,50000.0,0
2023-05-16,20000.0,641.2606332788965,27691.904428371017,47691.90442837102,50000.0,0
2023-05-17,20000.0,641.2606332788965,28110.941089445365,48110.94108944536,50000.0,0
2023-05-18,0.0,1091.4254603454592,48417.386902777595,48417.386902777595,50000.0,1
2023-05-19,0.0,1091.4254603454592,49351.59187273012,49351.59187273012,50000.0,1
2023-05-22,0.0,1091.4254603454592,49040.194379536995,49040.194379536995,50000.0,0
2023-05-23,0.0,1091.4254603454592,49130.58721007884,49130.58721007884,50000.0,0
2023-05-24,0.0,1091.4254603454592,48628.33681503698,48628.33681503698,50000.0,0
2023-05-25,0.0,1091.4254603454592,49251.1276379655,49251.1276379655,50000.0,0
2023-05-26,0.0,1091.4254603454592,50084.88086352657,50084.88086352657,50000.0,1
2023-05-30,0.0,1091.4254603454592,50396.270029804255,50396.270029804255,50000.0,1
2023-05-31,0.0,1091.4254603454592,49894.02379822011,49894.02379822011,50000.0,0
2023-06-01,10000.0,1091.4254603454592,49964.332108724455,59964.332108724455,60000.0,0
2023-06-02,10000.0,1091.4254603454592,50245.598658403644,60245.598658403644,60000.0,0
2023-06-05,10000.0,1091.4254603454592,50436.45988716782,60436.45988716782,60000.0,0
2023-06-06,10000.0,1091.4254603454592,50034.65290960198,60034.65290960198,60000.0,0
2023-06-07,10000.0,1091.4254603454592,50004.51780263031,60004.51780263031,60000.0,0
2023-06-08,10000.0,1091.4254603454592,49904.06605823885,59904.06605823885,60000.0,0
2023-06-09,10000.0,1091.4254603454592,49883.96904782821,59883.96904782821,60000.0,0
2023-06-12,10000.0,1091.4254603454592,50707.67168645509,60707.67168645509,60000.0,0
2023-06-13,0.0,1304.9878802128035,61014.13724785175,61014.13724785175,60000.0,1
2023-06-14,0.0,1304.9878802128035,61206.29818674066,61206.29818674066,60000.0,1
2023-06-15,0.0,1304.9878802128035,62371.34575055995,62371.34575055995,60000.0,1
2023-06-16,0.0,1304.9878802128035,62539.482216220764,62539.482216220764,60000.0,0
2023-06-20,0.0,1304.9878802128035,61914.93551869674,61914.93551869674,60000.0,0
2023-06-21,0.0,1304.9878802128035,61074.18349652091,61074.18349652091,60000.0,0
2023-06-22,0.0,1304.9878802128035,61398.47903816437,61398.47903816437,60000.0,0
2023-06-23,0.0,1304.9878802128035,60449.641777130586,60449.641777130586,60000.0,0
2023-06-26,0.0,1304.9878802128035,60305.50987216308,60305.50987216308,60000.0,0
2023-06-27,0.0,1304.9878802128035,61086.19075500126,61086.19075500126,60000.0,0
2023-06-28,0.0,1304.9878802128035,61098.20299161531,61098.20299161531,60000.0,0
2023-06-29,0.0,1304.9878802128035,61506.56925515602,61506.56925515602,60000.0,0
2023-06-30,0.0,1304.9878802128035,62143.1381455615,62143.1381455615,60000.0,0
2023-07-03,10000.0,1304.9878802128035,62239.2161259391,72239.2161259391,70000.0,0
2023-07-05,10000.0,1304.9878802128035,62336.02589197035,72336.02589197035,70000.0,0
2023-07-06,10000.0,1304.9878802128035,61851.957149279275,71851.95714927927,70000.0,0
2023-07-07,10000.0,1304.9878802128035,61706.74001116554,71706.74001116553,70000.0,0
2023-07-10,10000.0,1304.9878802128035,62202.91557501094,72202.91557501093,70000.0,0
2023-07-11,0.0,1511.5750248952459,73059.2557974975,73059.2557974975,70000.0,1
2023-07-12,0.0,1511.5750248952459,71124.83371249173,71124.83371249173,70000.0,0
2023-07-13,0.0,1511.5750248952459,72232.21533788105,72232.21533788105,70000.0,0
2023-07-14,0.0,1511.5750248952459,70620.21615437993,70620.21615437993,70000.0,0
2023-07-17,0.0,1511.5750248952459,71222.96868925523,71222.96868925523,70000.0,0
2023-07-18,0.0,1511.5750248952459,71825.72122413052,71825.72122413052,70000.0,0
2023-07-19,0.0,1511.5750248952459,73493.79671346776,73493.79671346776,70000.0,1
2023-07-20,0.0,1511.5750248952459,73409.69090401524,73409.69090401524,70000.0,0
2023-07-21,0.0,1511.5750248952459,73774.15517784396,73774.15517784396,70000.0,0
2023-07-24,0.0,1511.5750248952459,74446.9901210619,74446.9901210619,70000.0,1
2023-07-25,0.0,1511.5750248952459,75133.84269918861,75133.84269918861,70000.0,1
2023-07-26,0.0,1511.5750248952459,74601.18987125931,74601.18987125931,70000.0,0
2023-07-27,0.0,1511.5750248952459,74292.80190326672,74292.80190326672,70000.0,0
2023-07-28,0.0,1511.5750248952459,73017.20865897236,73017.20865897236,70000.0,0
2023-07-31,0.0,1511.5750248952459,72947.1204844286,72947.1204844286,70000.0,0
2023-08-01,10000.0,1511.5750248952459,73816.2023163691,83816.2023163691,80000.0,0
2023-08-02,10000.0,1511.5750248952459,73704.05547089796,83704.05547089796,80000.0,0
2023-08-03,10000.0,1511.5750248952459,74503.06642689803,84503.06642689803,80000.0,0
2023-08-04,10000.0,1511.5750248952459,73774.15517784396,83774.15517784396,80000.0,0
2023-08-07,10000.0,1511.5750248952459,74306.81377197437,84306.81377197437,80000.0,0
2023-08-08,10000.0,1511.5750248952459,74376.89618031701,84376.89618031701,80000.0,0
2023-08-09,10000.0,1511.5750248952459,74278.78426835798,84278.78426835798,80000.0,0
2023-08-10,10000.0,1511.5750248952459,74811.4486286895,84811.4486286895,80000.0,0
2023-08-11,10000.0,1511.5750248952459,75400.17776245493,85400.17776245493,80000.0,0
2023-08-14,10000.0,1511.5750248952459,75526.34224283483,85526.34224283483,80000.0,0
2023-08-15,10000.0,1511.5750248952459,74783.40182646977,84783.40182646977,80000.0,0
2023-08-16,10000.0,1511.5750248952459,74236.73136363171,84236.73136363171,80000.0,0
2023-08-17,0.0,1708.3103111469138,86702.84139274491,86702.84139274491,80000.0,1
2023-08-18,0.0,1708.3103111469138,87193.9519337783,87193.9519337783,80000.0,0
2023-08-21,0.0,1708.3103111469138,87827.60847909187,87827.60847909187,80000.0,0
2023-08-22,0.0,1708.3103111469138,87859.30564306823,87859.30564306823,80000.0,0
2023-08-23,0.0,1708.3103111469138,88683.0865220599,88683.0865220599,80000.0,1
2023-08-24,0.0,1708.3103111469138,87510.78020643508,87510.78020643508,80000.0,0
2023-08-25,0.0,1708.3103111469138,88239.51521030438,88239.51521030438,80000.0,0
2023-08-28,0.0,1708.3103111469138,89031.61195869304,89031.61195869304,80000.0,0
2023-08-29,0.0,1708.3103111469138,89601.9197928606,89601.9197928606,80000.0,1
2023-08-30,0.0,1708.3103111469138,89997.9649087116,89997.9649087116,80000.0,1
2023-08-31,0.0,1708.3103111469138,90853.41688493294,90853.41688493294,80000.0,1
2023-09-01,0.0,1894.4673366519676,101614.69556597612,101614.69556597612,90000.0,1
2023-09-05,0.0,1894.4673366519676,100595.73571541338,100595.73571541338,90000.0,0
2023-09-06,0.0,1894.4673366519676,100420.05896337378,100420.05896337378,90000.0,0
2023-09-07,0.0,1894.4673366519676,99770.03546841489,99770.03546841489,90000.0,0
2023-09-08,0.0,1894.4673366519676,99559.21469378412,99559.21469378412,90000.0,0
2023-09-11,0.0,1894.4673366519676,99857.87745784438,99857.87745784438,90000.0,0
2023-09-12,0.0,1894.4673366519676,99067.3140066177,99067.3140066177,90000.0,0
2023-09-13,0.0,1894.4673366519676,98874.05440305345,98874.05440305345,90000.0,0
2023-09-14,0.0,1894.4673366519676,99032.16275720716,99032.16275720716,90000.0,0
2023-09-15,0.0,1894.4673366519676,98452.42008061126,98452.42008061126,90000.0,0
2023-09-18,0.0,1894.4673366519676,98575.39886581255,98575.39886581255,90000.0,0
2023-09-19,0.0,1894.4673366519676,98101.05934971267,98101.05934971267,90000.0,0
2023-09-20,0.0,1894.4673366519676,97503.73382159212,97503.73382159212,90000.0,0
2023-09-21,0.0,1894.4673366519676,93709.00323915429,93709.00323915429,90000.0,0
2023-09-22,0.0,1894.4673366519676,94113.05471007184,94113.05471007184,90000.0,0
2023-09-25,0.0,1894.4673366519676,93954.94635591813,93954.94635591813,90000.0,0
2023-09-26,0.0,1894.4673366519676,92602.1941723427,92602.1941723427,90000.0,0
2023-09-27,0.0,1894.4673366519676,93463.03844193235,93463.03844193235,90000.0,0
2023-09-28,0.0,1894.4673366519676,94657.68227135406,94657.68227135406,90000.0,0
2023-09-29,0.0,1894.4673366519676,94446.85426990391,94446.85426990391,90000.0,0
2023-10-02,10000.0,1894.4673366519676,95553.66333671552,105553.66333671552,100000.0,0
2023-10-03,10000.0,1894.4673366519676,94934.32491679717,104934.32491679717,100000.0,0
2023-10-04,10000.0,1894.4673366519676,94580.4203454807,104580.4203454807,100000.0,0
2023-10-05,10000.0,1894.4673366519676,93908.00816411685,103908.00816411685,100000.0,0
2023-10-06,10000.0,1894.4673366519676,94580.4203454807,104580.4203454807,100000.0,0
2023-10-09,10000.0,1894.4673366519676,95412.0971720973,105412.0971720973,100000.0,0
2023-10-10,10000.0,1894.4673366519676,95323.62644938272,105323.62644938272,100000.0,0
2023-10-11,10000.0,1894.4673366519676,94952.03062425107,104952.03062425107,100000.0,0
2023-10-12,10000.0,1894.4673366519676,95288.22226129426,105288.22226129426,100000.0,0
2023-10-13,10000.0,1894.4673366519676,95146.66332349542,105146.66332349542,100000.0,0
2023-10-16,10000.0,1894.4673366519676,95836.78843913255,105836.78843913255,100000.0,0
2023-10-17,10000.0,1894.4673366519676,95447.48690654701,105447.48690654701,100000.0,0
2023-10-18,10000.0,1894.4673366519676,95146.66332349542,105146.66332349542,100000.0,0
2023-10-19,10000.0,1894.4673366519676,94350.39791178664,104350.39791178664,100000.0,0
2023-10-20,10000.0,1894.4673366519676,93660.29447660763,103660.29447660763,100000.0,0
2023-10-23,10000.0,1894.4673366519676,92368.52942168669,102368.52942168669,100000.0,0
2023-10-24,10000.0,1894.4673366519676,93801.85341440646,103801.85341440646,100000.0,0
2023-10-25,10000.0,1894.4673366519676,92722.4484466419,102722.4484466419,100000.0,0
2023-10-26,10000.0,1894.4673366519676,90899.83737497532,100899.83737497532,100000.0,0
2023-10-27,10000.0,1894.4673366519676,91236.05069247661,101236.05069247661,100000.0,0
2023-10-30,10000.0,1894.4673366519676,91253.73471947241,101253.73471947241,100000.0,0
2023-10-31,10000.0,1894.4673366519676,92244.67619134176,102244.67619134176,100000.0,0
2023-11-01,20000.0,1894.4673366519676,92350.83094105215,112350.83094105215,110000.0,0
2023-11-02,20000.0,1894.4673366519676,93341.76518610213,113341.76518610213,110000.0,0
2023-11-03,20000.0,1894.4673366519676,93801.85341440646,113801.85341440646,110000.0,0
2023-11-06,20000.0,1894.4673366519676,94297.31692352176,114297.31692352176,110000.0,0
2023-11-07,20000.0,1894.4673366519676,94014.19182110472,114014.19182110472,110000.0,0
2023-11-08,20000.0,1894.4673366519676,93784.15493377193,113784.15493377193,110000.0,0
2023-11-09,20000.0,1894.4673366519676,92014.6320771896,112014.6320771896,110000.0,0
2023-11-10,20000.0,1894.4673366519676,93058.64008368508,113058.64008368508,110000.0,0
2023-11-13,20000.0,1894.4673366519676,92421.61040995157,112421.61040995157,110000.0,0
2023-11-14,20000.0,1894.4673366519676,94084.96406318477,114084.96406318477,110000.0,0
2023-11-15,20000.0,1894.4673366519676,94279.61844288722,114279.61844288722,110000.0,0
2023-11-16,20000.0,1894.4673366519676,85007.36348067592,105007.36348067592,110000.0,0
2023-11-17,20000.0,1894.4673366519676,84511.90719837998,104511.90719837998,110000.0,0
2023-11-20,20000.0,1894.4673366519676,85414.35626707663,105414.35626707663,110000.0,0
2023-11-21,20000.0,1894.4673366519676,84582.6866672794,104582.6866672794,110000.0,0
2023-11-22,20000.0,1894.4673366519676,85078.14294957534,105078.14294957534,110000.0,0
2023-11-24,20000.0,1894.4673366519676,85573.61368551,105573.61368551,110000.0,0
2023-11-27,20000.0,1894.4673366519676,84812.72355461218,104812.72355461218,110000.0,0
2023-11-28,20000.0,1894.4673366519676,84671.15738999401,104671.15738999401,110000.0,0
2023-11-29,20000.0,1894.4673366519676,85025.06196131046,105025.06196131046,110000.0,0
2023-11-30,20000.0,1894.4673366519676,85608.99619314035,105608.99619314035,110000.0,0
2023-12-01,30000.0,1894.4673366519676,85768.26806521247,115768.26806521247,120000.0,0
2023-12-04,30000.0,1894.4673366519676,85025.06196131046,115025.06196131046,120000.0,0
2023-12-05,30000.0,1894.4673366519676,84812.72355461218,114812.72355461218,120000.0,0
2023-12-06,30000.0,1894.4673366519676,84405.73076821149,114405.73076821149,120000.0,0
2023-12-07,30000.0,1894.4673366519676,85396.6577864421,115396.6577864421,120000.0,0
2023-12-08,30000.0,1894.4673366519676,85608.99619314035,115608.99619314035,120000.0,0
2023-12-11,30000.0,1894.4673366519676,87396.21030353785,117396.21030353785,120000.0,0
2023-12-12,30000.0,1894.4673366519676,87290.04110018873,117290.04110018873,120000.0,0
2023-12-13,30000.0,1894.4673366519676,87927.04909346413,117927.04909346413,120000.0,0
2023-12-14,30000.0,1894.4673366519676,87484.67379943308,117484.67379943308,120000.0,0
2023-12-15,30000.0,1894.4673366519676,88245.56393033089,118245.56393033089,120000.0,0
2023-12-18,0.0,2532.8102159804644,118855.344528507,118855.344528507,120000.0,1
2023-12-19,0.0,2532.8102159804644,118713.41115573191,118713.41115573191,120000.0,0
2023-12-20,0.0,2532.8102159804644,117814.41927895462,117814.41927895462,120000.0,0
2023-12-21,0.0,2532.8102159804644,117577.83789258494,117577.83789258494,120000.0,0
2023-12-22,0.0,2532.8102159804644,118500.47244895245,118500.47244895245,120000.0,0
2023-12-26,0.0,2532.8102159804644,118949.96355638899,118949.96355638899,120000.0,0
2023-12-27,0.0,2532.8102159804644,119328.48797743798,119328.48797743798,120000.0,0
2023-12-28,0.0,2532.8102159804644,119423.12632912838,119423.12632912838,120000.0,0
2023-12-29,0.0,2532.8102159804644,119517.76468081877,119517.76468081877,120000.0,0
2024-01-02,10000.0,2532.8102159804644,119494.08335361173,129494.08335361173,130000.0,0
2024-01-03,0.0,2742.8195985702414,130408.94317178571,130408.94317178571,130000.0,1
2024-01-04,0.0,2742.8195985702414,129298.742827145,129298.742827145,130000.0,0
2024-01-05,0.0,2742.8195985702414,129324.5655763564,129324.5655763564,130000.0,0
2024-01-08,0.0,2742.8195985702414,130279.83988875516,130279.83988875516,130000.0,0
2024-01-09,0.0,2742.8195985702414,128859.83979476271,128859.83979476271,130000.0,0
2024-01-10,0.0,2742.8195985702414,129711.85449939517,129711.85449939517,130000.0,0
2024-01-11,0.0,2742.8195985702414,130228.19439033238,130228.19439033238,130000.0,0
2024-01-12,0.0,2742.8195985702414,129970.04013940341,129970.04013940341,130000.0,0
2024-01-16,0.0,2742.8195985702414,130615.49377639758,130615.49377639758,130000.0,0
2024-01-17,0.0,2742.8195985702414,129866.77006861068,129866.77006861068,130000.0,0
2024-01-18,0.0,2742.8195985702414,131028.5845225949,131028.5845225949,130000.0,0
2024-01-19,0.0,2742.8195985702414,132371.13729500602,132371.13729500602,130000.0,1
2024-01-22,0.0,2742.8195985702414,133145.69421503073,133145.69421503073,130000.0,1
2024-01-23,0.0,2742.8195985702414,133636.2322828094,133636.2322828094,130000.0,0
2024-01-24,0.0,2742.8195985702414,132474.4178288252,132474.4178288252,130000.0,0
2024-01-25,0.0,2742.8195985702414,135107.88833825107,135107.88833825107,130000.0,1
2024-01-26,0.0,2742.8195985702414,134617.339807446,134617.339807446,130000.0,0
2024-01-29,0.0,2742.8195985702414,135004.62873048475,135004.62873048475,130000.0,0
2024-01-30,0.0,2742.8195985702414,134875.53591048066,134875.53591048066,130000.0,0
2024-01-31,0.0,2742.8195985702414,129556.91800412681,129556.91800412681,130000.0,0
2024-02-01,10000.0,2742.8195985702414,129556.91800412681,139556.9180041268,140000.0,0
2024-02-02,10000.0,2742.8195985702414,129556.91800412681,139556.9180041268,140000.0,0
2024-02-05,10000.0,2742.8195985702414,127827.07630867691,137827.07630867691,140000.0,0
2024-02-06,10000.0,2742.8195985702414,129040.56765016318,139040.5676501632,140000.0,0
2024-02-07,10000.0,2742.8195985702414,128498.3631579089,138498.3631579089,140000.0,0
2024-02-08,10000.0,2742.8195985702414,128963.10986555544,138963.10986555542,140000.0,0
2024-02-09,10000.0,2742.8195985702414,129427.8251841227,139427.82518412272,140000.0,0
2024-02-12,10000.0,2742.8195985702414,129066.39039937458,139066.3903993746,140000.0,0
2024-02-13,10000.0,2742.8195985702414,128162.7197332929,138162.7197332929,140000.0,0
2024-02-14,10000.0,2742.8195985702414,129815.10364413506,139815.10364413506,140000.0,0
2024-02-15,10000.0,2742.8195985702414,126665.27231771911,136665.27231771912,140000.0,0
2024-02-16,10000.0,2742.8195985702414,125064.51297924691,135064.5129792469,140000.0,0
2024-02-20,10000.0,2742.8195985702414,124651.42223304958,134651.42223304958,140000.0,0
2024-02-21,10000.0,2742.8195985702414,125167.79351306605,135167.79351306605,140000.0,0
2024-02-22,10000.0,2742.8195985702414,125400.14594083648,135400.14594083646,140000.0,0
2024-02-23,10000.0,2742.8195985702414,126148.89057467622,136148.89057467622,140000.0,0
2024-02-26,10000.0,2742.8195985702414,124961.2429084542,134961.2429084542,140000.0,0
2024-02-27,10000.0,2742.8195985702414,124728.89048068375,134728.89048068377,140000.0,0
2024-02-28,10000.0,2742.8195985702414,124083.41591763674,134083.41591763674,140000.0,0
2024-02-29,10000.0,2742.8195985702414,124883.77466082003,134883.77466082003,140000.0,0
2024-03-01,20000.0,2742.8195985702414,124961.2429084542,144961.2429084542,150000.0,0
2024-03-04,20000.0,2742.8195985702414,126846.0001731196,146846.0001731196,150000.0,0
