date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,113.03363487626963,9985.017481269355,9985.017481269355,10000.0,1
2023-01-04,0.0,113.03363487626963,9868.496388969383,9868.496388969383,10000.0,1
2023-01-05,0.0,113.03363487626963,9657.860514651993,9657.860514651993,10000.0,1
2023-01-06,0.0,113.03363487626963,9785.586486849636,9785.586486849636,10000.0,1
2023-01-09,0.0,113.03363487626963,9861.775013311533,9861.775013311533,10000.0,1
2023-01-10,0.0,113.03363487626963,9906.590221011234,9906.590221011234,10000.0,1
2023-01-11,0.0,113.03363487626963,10253.913901736732,10253.913901736732,10000.0,1
2023-01-12,0.0,113.03363487626963,10210.21892331334,10210.21892331334,10000.0,1
2023-01-13,0.0,113.03363487626963,10321.13886923177,10321.13886923177,10000.0,1
2023-01-17,0.0,113.03363487626963,10228.145178868861,10228.145178868861,10000.0,1
2023-01-18,0.0,113.03363487626963,10209.098694037031,10209.098694037031,10000.0,1
2023-01-19,0.0,113.03363487626963,10425.335714735962,10425.335714735962,10000.0,1
2023-01-20,0.0,113.03363487626963,10982.175040502541,10982.175040502541,10000.0,1
2023-01-23,0.0,113.03363487626963,11180.485805645952,11180.485805645952,10000.0,1
2023-01-24,0.0,113.03363487626963,10946.322529391502,10946.322529391502,10000.0,1
2023-01-25,0.0,113.03363487626963,10668.463412335464,10668.463412335464,10000.0,1
2023-01-26,0.0,113.03363487626963,10926.154090526976,10926.154090526976,10000.0,1
2023-01-27,0.0,113.03363487626963,11133.430139393635,11133.430139393635,10000.0,1
2023-01-30,0.0,113.03363487626963,10861.173031097334,10861.173031097334,10000.0,1
2023-01-31,0.0,113.03363487626963,11074.048501589146,11074.048501589146,10000.0,1
2023-02-01,0.0,213.33789246273702,21237.210033893778,21237.210033893778,20000.0,1
2023-02-02,0.0,213.33789246273702,22783.004786992384,22783.004786992384,20000.0,1
2023-02-03,0.0,213.33789246273702,22157.070186522225,22157.070186522225,20000.0,1
2023-02-06,0.0,213.33789246273702,21759.52100060814,21759.52100060814,20000.0,1
2023-02-07,0.0,213.33789246273702,22761.85687411421,22761.85687411421,20000.0,1
2023-02-08,0.0,213.33789246273702,21013.059735885767,21013.059735885767,20000.0,1
2023-02-09,0.0,213.33789246273702,20091.08202498329,20091.08202498329,20000.0,1
2023-02-10,0.0,213.33789246273702,19998.03967204185,19998.03967204185,20000.0,1
2023-02-13,0.0,213.33789246273702,20006.498511665333,20006.498511665333,20000.0,1
2023-02-14,0.0,213.33789246273702,20021.300260277214,20021.300260277214,20000.0,1
2023-02-15,0.0,213.33789246273702,20499.205981155937,20499.205981155937,20000.0,1
2023-02-16,0.0,213.33789246273702,20196.81507881837,20196.81507881837,20000.0,1
2023-02-17,0.0,213.33789246273702,19951.515240293233,19951.515240293233,20000.0,1
2023-02-21,0.0,213.33789246273702,19410.17066369683,19410.17066369683,20000.0,1
2023-02-22,0.0,213.33789246273702,19380.565538834122,19380.565538834122,20000.0,1
2023-02-23,0.0,213.33789246273702,19219.854096543793,19219.854096543793,20000.0,1
2023-02-24,0.0,213.33789246273702,18847.6798018612,18847.6798018612,20000.0,1
2023-02-27,0.0,213.33789246273702,19004.16101052031,19004.16101052031,20000.0,1
2023-02-28,0.0,213.33789246273702,19044.340905641584,19044.340905641584,20000.0,1
2023-03-01,0.0,324.8203677823111,29092.797242628618,29092.797242628618,30000.0,1
2023-03-02,0.0,324.8203677823111,29620.81868216293,29620.81868216293,30000.0,1
2023-03-03,0.0,324.8203677823111,30152.06423743886,30152.06423743886,30000.0,1
2023-03-06,0.0,324.8203677823111,30628.566736041266,30628.566736041266,30000.0,1
2023-03-07,0.0,324.8203677823111,30219.674018885977,30219.674018885977,30000.0,1
2023-03-08,0.0,324.8203677823111,30345.24353820002,30345.24353820002,30000.0,1
2023-03-09,0.0,324.8203677823111,29723.85160766126,29723.85160766126,30000.0,1
2023-03-10,0.0,324.8203677823111,29179.72198033257,29179.72198033257,30000.0,1
2023-03-13,0.0,324.8203677823111,29334.271368580074,29334.271368580074,30000.0,1
2023-03-14,0.0,324.8203677823111,30255.092206571713,30255.092206571713,30000.0,1
2023-03-15,0.0,324.8203677823111,30944.093918557584,30944.093918557584,30000.0,1
2023-03-16,0.0,324.8203677823111,32299.573139627322,32299.573139627322,30000.0,1
2023-03-17,0.0,324.8203677823111,32718.125813093764,32718.125813093764,30000.0,1
2023-03-20,0.0,324.8203677823111,32589.339612586322,32589.339612586322,30000.0,1
2023-03-21,0.0,324.8203677823111,33780.61196728014,33780.61196728014,30000.0,1
2023-03-22,0.0,324.8203677823111,33281.560483948335,33281.560483948335,30000.0,1
2023-03-23,0.0,324.8203677823111,33999.54702123314,33999.54702123314,30000.0,1
2023-03-24,0.0,324.8203677823111,33948.03303666672,33948.03303666672,30000.0,1
2023-03-27,0.0,324.8203677823111,32988.57732979593,32988.57732979593,30000.0,1
2023-03-28,0.0,324.8203677823111,32528.16814989148,32528.16814989148,30000.0,1
2023-03-29,0.0,324.8203677823111,32644.075234711632,32644.075234711632,30000.0,1
2023-03-30,0.0,324.8203677823111,32483.092484077333,32483.092484077333,30000.0,1
2023-03-31,0.0,324.8203677823111,33397.472525133955,33397.472525133955,30000.0,1
2023-04-03,0.0,421.3473676153257,43585.326785292884,43585.326785292884,40000.0,1
2023-04-04,0.0,421.3473676153257,43735.68445455461,43735.68445455461,40000.0,1
2023-04-05,0.0,421.3473676153257,43631.276639363125,43631.276639363125,40000.0,1
2023-04-06,0.0,421.3473676153257,45280.96769584304,45280.96769584304,40000.0,1
2023-04-10,0.0,421.3473676153257,44454.027839218674,44454.027839218674,40000.0,1
2023-04-11,0.0,421.3473676153257,43998.798320917726,43998.798320917726,40000.0,1
2023-04-12,0.0,421.3473676153257,43702.26842453781,43702.26842453781,40000.0,1
2023-04-13,0.0,421.3473676153257,44867.4961602182,44867.4961602182,40000.0,1
2023-04-14,0.0,421.3473676153257,45468.90433488796,45468.90433488796,40000.0,1
2023-04-17,0.0,421.3473676153257,44257.73960363854,44257.73960363854,40000.0,1
2023-04-18,0.0,421.3473676153257,43643.79760491535,43643.79760491535,40000.0,1
2023-04-19,0.0,421.3473676153257,43510.15598722529,43510.15598722529,40000.0,1
2023-04-20,0.0,421.3473676153257,43973.740316686766,43973.740316686766,40000.0,1
2023-04-21,0.0,421.3473676153257,44023.8627543993,44023.8627543993,40000.0,1
2023-04-24,0.0,421.3473676153257,44257.73960363854,44257.73960363854,40000.0,1
2023-04-25,0.0,421.3473676153257,43372.32892739171,43372.32892739171,40000.0,1
2023-04-26,0.0,421.3473676153257,43313.86132239455,43313.86132239455,40000.0,1
2023-04-27,0.0,421.3473676153257,44934.31857637589,44934.31857637589,40000.0,1
2023-04-28,0.0,421.3473676153257,44829.904331933794,44829.904331933794,40000.0,1
2023-05-01,0.0,515.3171201829181,54756.454208206,54756.454208206,50000.0,1
2023-05-02,0.0,515.3171201829181,53796.17912298233,53796.17912298233,50000.0,1
2023-05-03,0.0,515.3171201829181,53842.154757774035,53842.154757774035,50000.0,1
2023-05-04,0.0,515.3171201829181,53474.385063458925,53474.385063458925,50000.0,1
2023-05-05,0.0,515.3171201829181,53923.87218287629,53923.87218287629,50000.0,1
2023-05-08,0.0,515.3171201829181,55047.601776092546,55047.601776092546,50000.0,1
2023-05-09,0.0,515.3171201829181,54833.07240307695,54833.07240307695,50000.0,1
2023-05-10,0.0,515.3171201829181,57080.53945262471,57080.53945262471,50000.0,1
2023-05-11,0.0,515.3171201829181,59542.5398067457,59542.5398067457,50000.0,1
2023-05-12,0.0,515.3171201829181,60022.68521247278,60022.68521247278,50000.0,1
2023-05-15,0.0,515.3171201829181,59511.88545199361,59511.88545199361,50000.0,1
2023-05-16,0.0,515.3171201829181,61044.24541785492,61044.24541785492,50000.0,1
2023-05-17,0.0,515.3171201829181,61723.602848115595,61723.602848115595,50000.0,1
2023-05-18,0.0,515.3171201829181,62740.07168638167,62740.07168638167,50000.0,1
2023-05-19,0.0,515.3171201829181,62704.31416984066,62704.31416984066,50000.0,1
2023-05-22,0.0,515.3171201829181,63874.02332940626,63874.02332940626,50000.0,1
2023-05-23,0.0,515.3171201829181,62602.156576679394,62602.156576679394,50000.0,1
2023-05-24,0.0,515.3171201829181,61754.24933975245,61754.24933975245,50000.0,1
2023-05-25,0.0,515.3171201829181,63072.08386415577,63072.08386415577,50000.0,1
2023-05-26,0.0,515.3171201829181,63649.27583813996,63649.27583813996,50000.0,1
2023-05-30,0.0,515.3171201829181,63169.13043241289,63169.13043241289,50000.0,1
2023-05-31,0.0,515.3171201829181,62760.50399132546,62760.50399132546,50000.0,1
