date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-10,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-11,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-12,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-13,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-17,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-23,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-24,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-30,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-31,10000.0,0.0,0.0,10000.0,10000.0,0
2023-02-01,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-02,0.0,186.99751025587167,19970.03496253871,19970.03496253871,20000.0,1
2023-02-03,0.0,186.99751025587167,19421.38319458629,19421.38319458629,20000.0,0
2023-02-06,0.0,186.99751025587167,19072.91857298529,19072.91857298529,20000.0,0
2023-02-07,0.0,186.99751025587167,19951.498138115843,19951.498138115843,20000.0,0
2023-02-08,0.0,186.99751025587167,18418.621315268105,18418.621315268105,20000.0,0
2023-02-09,0.0,186.99751025587167,17610.478258917792,17610.478258917792,20000.0,0
2023-02-10,0.0,186.99751025587167,17528.923650181623,17528.923650181623,20000.0,0
2023-02-13,0.0,186.99751025587167,17536.338094615214,17536.338094615214,20000.0,0
2023-02-14,0.0,186.99751025587167,17549.312302365666,17549.312302365666,20000.0,0
2023-02-15,0.0,186.99751025587167,17968.212006069116,17968.212006069116,20000.0,0
2023-02-16,0.0,186.99751025587167,17703.156674321017,17703.156674321017,20000.0,0
2023-02-17,0.0,186.99751025587167,17488.143492457977,17488.143492457977,20000.0,0
2023-02-21,0.0,186.99751025587167,17013.63759551926,17013.63759551926,20000.0,0
2023-02-22,0.0,186.99751025587167,16987.68775334058,16987.68775334058,20000.0,0
2023-02-23,0.0,186.99751025587167,16846.81901581346,16846.81901581346,20000.0,0
2023-02-24,0.0,186.99751025587167,16520.596300835452,16520.596300835452,20000.0,0
2023-02-27,0.0,186.99751025587167,16657.757102806885,16657.757102806885,20000.0,0
2023-02-28,0.0,186.99751025587167,16692.97607053589,16692.97607053589,20000.0,0
2023-03-01,10000.0,186.99751025587167,16748.582263771157,26748.582263771157,30000.0,0
2023-03-02,10000.0,186.99751025587167,17052.56164544839,27052.56164544839,30000.0,0
2023-03-03,10000.0,186.99751025587167,17358.39713492014,27358.39713492014,30000.0,0
2023-03-06,10000.0,186.99751025587167,17632.717312185217,27632.717312185217,30000.0,0
2023-03-07,10000.0,186.99751025587167,17397.319758171485,27397.319758171485,30000.0,0
2023-03-08,10000.0,186.99751025587167,17469.60952139067,27469.60952139067,30000.0,0
2023-03-09,10000.0,186.99751025587167,17111.877200917126,27111.877200917126,30000.0,0
2023-03-10,10000.0,186.99751025587167,16798.62441365622,26798.62441365622,30000.0,0
2023-03-13,10000.0,186.99751025587167,16887.597746859326,26887.597746859326,30000.0,0
2023-03-14,10000.0,186.99751025587167,17417.709837033308,27417.709837033308,30000.0,0
2023-03-15,10000.0,186.99751025587167,17814.3647807582,27814.3647807582,30000.0,0
2023-03-16,10000.0,186.99751025587167,18594.70759384645,28594.70759384645,30000.0,0
2023-03-17,10000.0,186.99751025587167,18835.666337854822,28835.666337854822,30000.0,0
2023-03-20,10000.0,186.99751025587167,18761.524746874467,28761.524746874467,30000.0,0
2023-03-21,10000.0,186.99751025587167,19447.334463442756,29447.334463442756,30000.0,0
2023-03-22,10000.0,186.99751025587167,19160.03294503831,29160.03294503831,30000.0,0
2023-03-23,10000.0,186.99751025587167,19573.37431210269,29573.37431210269,30000.0,0
2023-03-24,10000.0,186.99751025587167,19543.717961046103,29543.717961046103,30000.0,0
2023-03-27,10000.0,186.99751025587167,18991.363964249125,28991.363964249125,30000.0,0
2023-03-28,10000.0,186.99751025587167,18726.308632501023,28726.308632501023,30000.0,0
2023-03-29,10000.0,186.99751025587167,18793.03577904779,28793.03577904779,30000.0,0
2023-03-30,10000.0,186.99751025587167,18700.358790322345,28700.358790322345,30000.0,0
2023-03-31,10000.0,186.99751025587167,19226.762944940638,29226.762944940638,30000.0,0
2023-04-03,20000.0,186.99751025587167,19343.535094728028,39343.535094728024,40000.0,0
2023-04-04,20000.0,186.99751025587167,19410.26509463036,39410.26509463036,40000.0,0
2023-04-05,20000.0,186.99751025587167,19363.928026945418,39363.92802694542,40000.0,0
2023-04-06,20000.0,186.99751025587167,20096.074811198647,40096.07481119865,40000.0,0
2023-04-10,20000.0,186.99751025587167,19729.071938496993,39729.07193849699,40000.0,0
2023-04-11,20000.0,186.99751025587167,19527.03724441775,39527.03724441775,40000.0,0
2023-04-12,20000.0,186.99751025587167,19395.434779085394,39395.43477908539,40000.0,0
2023-04-13,20000.0,186.99751025587167,19912.572661508926,39912.57266150892,40000.0,0
2023-04-14,20000.0,186.99751025587167,20179.482674373765,40179.482674373765,40000.0,0
2023-04-17,20000.0,186.99751025587167,19641.95756644397,39641.95756644397,40000.0,0
2023-04-18,20000.0,186.99751025587167,19369.484936906712,39369.48493690671,40000.0,0
2023-04-19,20000.0,186.99751025587167,19310.173661471323,39310.17366147132,40000.0,0
2023-04-20,20000.0,186.99751025587167,19515.916291106256,39515.91629110626,40000.0,0
2023-04-21,20000.0,186.99751025587167,19538.16105108481,39538.16105108481,40000.0,0
2023-04-24,20000.0,186.99751025587167,19641.95756644397,39641.95756644397,40000.0,0
2023-04-25,20000.0,186.99751025587167,19249.004851563634,39249.00485156363,40000.0,0
2023-04-26,20000.0,186.99751025587167,19223.056436062736,39223.05643606273,40000.0,0
2023-04-27,20000.0,186.99751025587167,19942.229012565513,39942.22901256551,40000.0,0
2023-04-28,20000.0,186.99751025587167,19895.88909152501,39895.88909152501,40000.0,0
2023-05-01,30000.0,186.99751025587167,19869.94067602411,49869.94067602411,50000.0,0
2023-05-02,30000.0,186.99751025587167,19521.477481100894,49521.4774811009,50000.0,0
2023-05-03,30000.0,186.99751025587167,19538.16105108481,49538.16105108481,50000.0,0
2023-05-04,30000.0,186.99751025587167,19404.7053313135,49404.7053313135,50000.0,0
2023-05-05,30000.0,186.99751025587167,19567.81454878583,49567.81454878583,50000.0,0
2023-05-08,30000.0,186.99751025587167,19975.591872500005,49975.59187250001,50000.0,0
2023-05-09,30000.0,186.99751025587167,19897.743772641745,49897.74377264174,50000.0,0
2023-05-10,0.0,457.42858025448663,50668.353717233724,50668.353717233724,50000.0,1
2023-05-11,0.0,457.42858025448663,52853.7833924051,52853.7833924051,50000.0,1
2023-05-12,0.0,457.42858025448663,53279.991299449786,53279.991299449786,50000.0,0
2023-05-15,0.0,457.42858025448663,52826.57261786711,52826.57261786711,50000.0,0
2023-05-16,0.0,457.42858025448663,54186.79376358403,54186.79376358403,50000.0,0
2023-05-17,0.0,457.42858025448663,54789.835061143036,54789.835061143036,50000.0,0
2023-05-18,0.0,457.42858025448663,55692.118100751606,55692.118100751606,50000.0,0
2023-05-19,0.0,457.42858025448663,55660.37743197861,55660.37743197861,50000.0,0
2023-05-22,0.0,457.42858025448663,56698.6864250523,56698.6864250523,50000.0,0
2023-05-23,0.0,457.42858025448663,55569.69578960394,55569.69578960394,50000.0,0
2023-05-24,0.0,457.42858025448663,54817.03885587482,54817.03885587482,50000.0,0
2023-05-25,0.0,457.42858025448663,55986.83343846928,55986.83343846928,50000.0,0
2023-05-26,0.0,457.42858025448663,56499.18611384741,56499.18611384741,50000.0,0
2023-05-30,0.0,457.42858025448663,56072.978206802734,56072.978206802734,50000.0,0
2023-05-31,0.0,457.42858025448663,55710.25512720717,55710.25512720717,50000.0,0
2023-06-01,10000.0,457.42858025448663,56095.65210729951,66095.65210729951,60000.0,0
2023-06-02,10000.0,457.42858025448663,56526.389908579185,66526.38990857918,60000.0,0
2023-06-05,10000.0,457.42858025448663,57133.954120566974,67133.95412056698,60000.0,0
2023-06-06,10000.0,457.42858025448663,57723.388285905436,67723.38828590544,60000.0,0
2023-06-07,10000.0,457.42858025448663,55542.491994872165,65542.49199487217,60000.0,0
2023-06-08,10000.0,457.42858025448663,55379.2692264815,65379.2692264815,60000.0,0
2023-06-09,10000.0,457.42858025448663,55420.0731736276,65420.0731736276,60000.0,0
2023-06-12,10000.0,457.42858025448663,56059.3780543884,66059.37805438839,60000.0,0
2023-06-13,10000.0,457.42858025448663,56145.52631262495,66145.52631262495,60000.0,0
2023-06-14,10000.0,457.42858025448663,56072.978206802734,66072.97820680274,60000.0,0
2023-06-15,10000.0,457.42858025448663,56716.81647170163,66716.81647170163,60000.0,0
2023-06-16,10000.0,457.42858025448663,56009.50733896606,66009.50733896607,60000.0,0
2023-06-20,10000.0,457.42858025448663,55814.53692199617,65814.53692199617,60000.0,0
2023-06-21,10000.0,457.42858025448663,54658.34598171915,64658.34598171915,60000.0,0
2023-06-22,10000.0,457.42858025448663,55837.21780229917,65837.21780229917,60000.0,0
2023-06-23,10000.0,457.42858025448663,55469.94388904994,65469.94388904994,60000.0,0
2023-06-26,10000.0,457.42858025448663,53656.31104155656,63656.31104155656,60000.0,0
2023-06-27,10000.0,457.42858025448663,53651.78463722468,63651.78463722468,60000.0,0
2023-06-28,10000.0,457.42858025448663,54490.58284938415,64490.58284938415,60000.0,0
2023-06-29,10000.0,457.42858025448663,54000.904074502796,64000.904074502796,60000.0,0
2023-06-30,10000.0,457.42858025448663,54272.95249152991,64272.95249152991,60000.0,0
2023-07-03,20000.0,457.42858025448663,54363.63413390458,74363.63413390459,70000.0,0
2023-07-05,20000.0,457.42858025448663,55202.43583596716,75202.43583596716,70000.0,0
2023-07-06,20000.0,457.42858025448663,54458.84916041736,74458.84916041736,70000.0,0
2023-07-07,20000.0,457.42858025448663,54173.207570782135,74173.20757078214,70000.0,0
2023-07-10,20000.0,457.42858025448663,52799.37580294155,72799.37580294155,70000.0,0
2023-07-11,20000.0,457.42858025448663,53112.22467721166,73112.22467721166,70000.0,0
2023-07-12,20000.0,457.42858025448663,53923.82258454247,73923.82258454247,70000.0,0
2023-07-13,20000.0,457.42858025448663,56467.448934977525,76467.44893497752,70000.0,0
2023-07-14,20000.0,457.42858025448663,56866.44257758109,76866.4425775811,70000.0,0
2023-07-17,20000.0,457.42858025448663,56517.323140302964,76517.32314030296,70000.0,0
2023-07-18,20000.0,457.42858025448663,56113.78564385195,76113.78564385195,70000.0,0
2023-07-19,20000.0,457.42858025448663,55329.39851105916,75329.39851105916,70000.0,0
2023-07-20,20000.0,457.42858025448663,54046.244895690135,74046.24489569014,70000.0,0
2023-07-21,20000.0,457.42858025448663,54418.04172336814,74418.04172336814,70000.0,0
2023-07-24,20000.0,457.42858025448663,55102.68044551005,75102.68044551005,70000.0,0
2023-07-25,20000.0,457.42858025448663,55411.006405351385,75411.00640535139,70000.0,0
2023-07-26,0.0,613.281558071838,78582.09915583217,78582.09915583217,70000.0,1
2023-07-27,0.0,613.281558071838,78661.10819200771,78661.10819200771,70000.0,0
2023-07-28,0.0,613.281558071838,80594.22339370892,80594.22339370892,70000.0,0
2023-07-31,0.0,613.281558071838,80679.33380280717,80679.33380280717,70000.0,0
2023-08-01,10000.0,613.281558071838,79968.09339235045,89968.09339235045,80000.0,0
2023-08-02,10000.0,613.281558071838,78041.074884605,88041.074884605,80000.0,0
2023-08-03,10000.0,613.281558071838,78083.62541018716,88083.62541018716,80000.0,0
2023-08-04,10000.0,613.281558071838,77876.95076036423,87876.95076036423,80000.0,0
2023-08-07,10000.0,613.281558071838,79955.93743617467,89955.93743617467,80000.0,0
2023-08-08,10000.0,613.281558071838,79876.90968413127,89876.90968413127,80000.0,0
2023-08-09,10000.0,613.281558071838,78819.18241196239,88819.18241196239,80000.0,0
2023-08-10,10000.0,613.281558071838,78837.41166725908,88837.41166725908,80000.0,0
2023-08-11,10000.0,613.281558071838,78758.38391521567,88758.38391521567,80000.0,0
2023-08-14,10000.0,613.281558071838,79834.35915854911,89834.35915854911,80000.0,0
2023-08-15,10000.0,613.281558071838,78892.12750695094,88892.12750695094,80000.0,0
2023-08-16,10000.0,613.281558071838,78235.61229412002,88235.61229412002,80000.0,0
2023-08-17,10000.0,613.281558071838,78977.21920018134,88977.21920018134,80000.0,0
2023-08-18,10000.0,613.281558071838,77481.81667911416,87481.81667911416,80000.0,0
2023-08-21,10000.0,613.281558071838,78035.00626445103,88035.00626445103,80000.0,0
2023-08-22,10000.0,613.281558071838,78466.59417732753,88466.59417732753,80000.0,0
2023-08-23,10000.0,613.281558071838,80466.5624590285,90466.5624590285,80000.0,0
2023-08-24,10000.0,613.281558071838,78892.12750695094,88892.12750695094,80000.0,0
2023-08-25,10000.0,613.281558071838,78952.91664576373,88952.91664576373,80000.0,0
2023-08-28,10000.0,613.281558071838,79639.82642800105,89639.82642800105,80000.0,0
2023-08-29,0.0,688.1389257237786,91788.95035211305,91788.95035211305,80000.0,1
2023-08-30,0.0,688.1389257237786,92682.5040392494,92682.5040392494,80000.0,0
2023-08-31,0.0,688.1389257237786,92880.27467929467,92880.27467929467,80000.0,0
2023-09-01,10000.0,688.1389257237786,92532.41465624928,102532.41465624928,90000.0,0
2023-09-05,10000.0,688.1389257237786,92607.45934774933,102607.45934774933,90000.0,0
2023-09-06,10000.0,688.1389257237786,91713.92666094641,101713.92666094641,90000.0,0
2023-09-07,10000.0,688.1389257237786,92259.5678242038,102259.5678242038,90000.0,0
2023-09-08,10000.0,688.1389257237786,93023.52845376442,103023.52845376442,90000.0,0
2023-09-11,10000.0,688.1389257237786,93391.85330173407,103391.85330173407,90000.0,0
2023-09-12,10000.0,688.1389257237786,92314.14769077962,102314.14769077962,90000.0,0
2023-09-13,10000.0,688.1389257237786,93248.63102776447,103248.63102776447,90000.0,0
2023-09-14,10000.0,688.1389257237786,94196.7435811432,104196.7435811432,90000.0,0
2023-09-15,10000.0,688.1389257237786,93719.25900002194,103719.25900002194,90000.0,0
2023-09-18,10000.0,688.1389257237786,94271.73577180969,104271.73577180969,90000.0,0
2023-09-19,10000.0,688.1389257237786,94155.78243079456,104155.78243079456,90000.0,0
2023-09-20,10000.0,688.1389257237786,91222.80236326455,101222.80236326455,90000.0,0
2023-09-21,10000.0,688.1389257237786,88971.89212509803,98971.89212509803,90000.0,0
2023-09-22,10000.0,688.1389257237786,88842.30956768902,98842.30956768902,90000.0,0
2023-09-25,10000.0,688.1389257237786,89428.90138112834,99428.90138112834,90000.0,0
2023-09-26,10000.0,688.1389257237786,87696.40012384823,97696.40012384823,90000.0,0
2023-09-27,10000.0,688.1389257237786,89040.11170823444,99040.11170823444,90000.0,0
2023-09-28,10000.0,688.1389257237786,90247.42087693134,100247.42087693134,90000.0,0
2023-09-29,10000.0,688.1389257237786,89258.39967403754,99258.39967403754,90000.0,0
2023-10-02,20000.0,688.1389257237786,91516.10352006757,111516.10352006757,100000.0,0
2023-10-03,20000.0,688.1389257237786,90329.28017662835,110329.28017662835,100000.0,0
2023-10-04,20000.0,688.1389257237786,92245.93860780992,112245.93860780992,100000.0,0
2023-10-05,20000.0,688.1389257237786,92129.98526679479,112129.98526679479,100000.0,0
2023-10-06,20000.0,688.1389257237786,93842.03744940071,113842.03744940071,100000.0,0
2023-10-09,20000.0,688.1389257237786,94415.01054661286,114415.01054661286,100000.0,0
2023-10-10,20000.0,688.1389257237786,94169.45364785529,114169.45364785529,100000.0,0
2023-10-11,20000.0,688.1389257237786,95867.8451135672,115867.8451135672,100000.0,0
2023-10-12,20000.0,688.1389257237786,94790.15000277945,114790.15000277945,100000.0,0
2023-10-13,20000.0,688.1389257237786,93691.97956690074,113691.97956690074,100000.0,0
2023-10-16,20000.0,688.1389257237786,94878.8239106734,114878.8239106734,100000.0,0
2023-10-17,20000.0,688.1389257237786,95301.71812505212,115301.71812505212,100000.0,0
2023-10-18,20000.0,688.1389257237786,94101.23406471888,114101.23406471888,100000.0,0
2023-10-19,20000.0,688.1389257237786,93958.00129058256,113958.00129058256,100000.0,0
2023-10-20,20000.0,688.1389257237786,92491.52700706763,112491.52700706763,100000.0,0
2023-10-23,20000.0,688.1389257237786,93105.37725329472,113105.37725329472,100000.0,0
2023-10-24,20000.0,688.1389257237786,94681.01126996125,114681.01126996125,100000.0,0
2023-10-25,20000.0,688.1389257237786,85677.40706787868,105677.40706787868,100000.0,0
2023-10-26,20000.0,688.1389257237786,83406.04250495465,103406.04250495465,100000.0,0
2023-10-27,20000.0,688.1389257237786,83331.01881378802,103331.01881378802,100000.0,0
2023-10-30,20000.0,688.1389257237786,84893.0078638106,104893.0078638106,100000.0,0
2023-10-31,20000.0,688.1389257237786,84633.81124849243,104633.81124849243,100000.0,0
2023-11-01,30000.0,688.1389257237786,86250.37491500749,116250.37491500749,110000.0,0
2023-11-02,30000.0,688.1389257237786,86959.73992774222,116959.73992774222,110000.0,0
2023-11-03,30000.0,688.1389257237786,88057.91036362093,118057.91036362093,110000.0,0
2023-11-06,30000.0,688.1389257237786,88842.30956768902,118842.30956768902,110000.0,0
2023-11-07,30000.0,688.1389257237786,89333.39186470403,119333.39186470403,110000.0,0
2023-11-08,30000.0,688.1389257237786,89926.85078717385,119926.85078717385,110000.0,0
2023-11-09,30000.0,688.1389257237786,88835.49495949209,118835.49495949209,110000.0,0
2023-11-10,30000.0,688.1389257237786,90438.41890944654,120438.41890944654,110000.0,0
2023-11-13,30000.0,688.1389257237786,90097.34199409794,120097.34199409794,110000.0,0
2023-11-14,30000.0,688.1389257237786,91140.96406390099,121140.96406390099,110000.0,0
2023-11-15,30000.0,688.1389257237786,91823.05489359789,121823.05489359789,110000.0,0
2023-11-16,30000.0,688.1389257237786,93398.67841009772,123398.67841009772,110000.0,0
2023-11-17,30000.0,688.1389257237786,92293.68286585536,122293.68286585536,110000.0,0
2023-11-20,30000.0,688.1389257237786,92934.8650460372,122934.8650460372,110000.0,0
2023-11-21,30000.0,688.1389257237786,93425.96834338563,123425.96834338563,110000.0,0
2023-11-22,30000.0,688.1389257237786,94462.74430449159,124462.74430449159,110000.0,0
2023-11-24,30000.0,688.1389257237786,93234.97031087044,123234.97031087044,110000.0,0
2023-11-27,30000.0,688.1389257237786,93043.98277852197,123043.98277852197,110000.0,0
2023-11-28,30000.0,688.1389257237786,93582.83033391583,123582.83033391583,110000.0,0
2023-11-29,30000.0,688.1389257237786,92075.41590038569,122075.41590038569,110000.0,0
2023-11-30,30000.0,688.1389257237786,90397.46825926461,120397.46825926461,110000.0,0
2023-12-01,40000.0,688.1389257237786,89940.45900323431,129940.45900323431,120000.0,0
2023-12-04,40000.0,688.1389257237786,88173.85845455271,128173.85845455271,120000.0,0
2023-12-05,40000.0,688.1389257237786,89347.05258159805,129347.05258159805,120000.0,0
2023-12-06,40000.0,688.1389257237786,88685.4265768254,128685.4265768254,120000.0,0
2023-12-07,40000.0,688.1389257237786,93398.67841009772,133398.67841009772,120000.0,0
2023-12-08,40000.0,688.1389257237786,92075.41590038569,132075.4159003857,120000.0,0
2023-12-11,40000.0,688.1389257237786,90915.86148990094,130915.86148990094,120000.0,0
2023-12-12,40000.0,688.1389257237786,90390.66415123438,130390.66415123438,120000.0,0
2023-12-13,40000.0,688.1389257237786,90424.7476923858,130424.7476923858,120000.0,0
2023-12-14,40000.0,688.1389257237786,89995.03886981012,129995.03886981012,120000.0,0
2023-12-15,40000.0,688.1389257237786,90445.22301747676,130445.22301747676,120000.0,0
2023-12-18,40000.0,688.1389257237786,92627.9346728403,132627.9346728403,120000.0,0
2023-12-19,40000.0,688.1389257237786,93207.69087774925,133207.69087774924,120000.0,0
2023-12-20,40000.0,688.1389257237786,94360.43068003705,134360.43068003707,120000.0,0
2023-12-21,40000.0,688.1389257237786,95779.16070550654,135779.16070550654,120000.0,0
2023-12-22,40000.0,688.1389257237786,96509.01679358231,136509.0167935823,120000.0,0
2023-12-26,40000.0,688.1389257237786,96529.47111833986,136529.47111833986,120000.0,0
2023-12-27,40000.0,688.1389257237786,95745.07716435513,135745.07716435514,120000.0,0
2023-12-28,40000.0,688.1389257237786,95649.57814809753,135649.57814809753,120000.0,0
2023-12-29,40000.0,688.1389257237786,95281.26380029459,135281.2638002946,120000.0,0
2024-01-02,50000.0,688.1389257237786,94244.44583852179,144244.4458385218,130000.0,0
2024-01-03,50000.0,688.1389257237786,94756.0454612946,144756.0454612946,130000.0,0
2024-01-04,50000.0,688.1389257237786,93030.33256179465,143030.33256179467,130000.0,0
2024-01-05,50000.0,688.1389257237786,92580.16941446143,142580.16941446142,130000.0,0
2024-01-08,50000.0,688.1389257237786,94701.44459438536,144701.44459438536,130000.0,0
2024-01-09,50000.0,688.1389257237786,96140.68144544595,146140.68144544595,130000.0,0
2024-01-10,50000.0,688.1389257237786,97047.85384880948,147047.8538488095,130000.0,0
2024-01-11,50000.0,688.1389257237786,96911.4356828701,146911.4356828701,130000.0,0
2024-01-12,50000.0,688.1389257237786,97300.22535576399,147300.22535576398,130000.0,0
2024-01-16,50000.0,688.1389257237786,97191.10762327923,147191.1076232792,130000.0,0
2024-01-17,50000.0,688.1389257237786,96495.36657685501,146495.366576855,130000.0,0
2024-01-18,50000.0,688.1389257237786,97866.37334461248,147866.37334461248,130000.0,0
2024-01-19,50000.0,688.1389257237786,99844.43675073353,149844.43675073353,130000.0,0
2024-01-22,50000.0,688.1389257237786,99578.42552721841,149578.4255272184,130000.0,0
2024-01-23,50000.0,688.1389257237786,100294.61039823345,150294.61039823346,130000.0,0
2024-01-24,50000.0,688.1389257237786,101426.885375597,151426.885375597,130000.0,0
2024-01-25,50000.0,688.1389257237786,103589.10070553616,153589.10070553614,130000.0,0
2024-01-26,50000.0,688.1389257237786,103807.36767100582,153807.36767100584,130000.0,0
2024-01-29,50000.0,688.1389257237786,104707.73596633911,154707.73596633913,130000.0,0
2024-01-30,50000.0,688.1389257237786,103309.46026562716,153309.46026562716,130000.0,0
2024-01-31,50000.0,688.1389257237786,95560.90424020358,145560.90424020358,130000.0,0
2024-02-01,60000.0,688.1389257237786,96283.94572008243,156283.94572008244,140000.0,0
2024-02-02,60000.0,688.1389257237786,97116.06293177918,157116.0629317792,140000.0,0
2024-02-05,60000.0,688.1389257237786,98002.78101038515,158002.78101038514,140000.0,0
2024-02-06,60000.0,688.1389257237786,98289.26755899123,158289.2675589912,140000.0,0
2024-02-07,60000.0,688.1389257237786,99271.4846538548,159271.4846538548,140000.0,0
2024-02-08,60000.0,688.1389257237786,99523.86666097603,159523.86666097603,140000.0,0
2024-02-09,60000.0,688.1389257237786,101631.51262450608,161631.51262450608,140000.0,0
2024-02-12,60000.0,688.1389257237786,100628.84120488497,160628.841204885,140000.0,0
2024-02-13,60000.0,688.1389257237786,98998.6273216426,158998.6273216426,140000.0,0
2024-02-14,60000.0,688.1389257237786,99544.31048556685,159544.31048556685,140000.0,0
2024-02-15,60000.0,688.1389257237786,97382.08465546099,157382.084655461,140000.0,0
2024-02-16,60000.0,688.1389257237786,95847.39078880966,155847.39078880966,140000.0,0
2024-02-20,60000.0,688.1389257237786,96256.63478646109,156256.63478646107,140000.0,0
2024-02-21,60000.0,688.1389257237786,97232.02677296102,157232.02677296102,140000.0,0
2024-02-22,60000.0,688.1389257237786,98282.45295079428,158282.45295079428,140000.0,0
2024-02-23,60000.0,688.1389257237786,98193.78954306706,158193.78954306705,140000.0,0
2024-02-26,60000.0,688.1389257237786,93835.22284120378,153835.2228412038,140000.0,0
2024-02-27,60000.0,688.1389257237786,94728.74502783999,154728.74502784,140000.0,0
2024-02-28,60000.0,688.1389257237786,93023.52845376442,153023.52845376442,140000.0,0
2024-02-29,60000.0,688.1389257237786,94442.27947956734,154442.27947956734,140000.0,0
2024-03-01,70000.0,688.1389257237786,93541.91118423405,163541.91118423405,150000.0,0
2024-03-04,70000.0,688.1389257237786,90956.79113974945,160956.79113974946,150000.0,0
2024-03-05,70000.0,688.1389257237786,90492.97777568892,160492.97777568892,150000.0,0
