date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,67.82018092576178,5991.0104887616135,9991.010488761614,10000.0,0
2023-01-04,4000.0,67.82018092576178,5921.097833381629,9921.09783338163,10000.0,0
2023-01-05,4000.0,67.82018092576178,5794.716308791196,9794.716308791196,10000.0,0
2023-01-06,4000.0,67.82018092576178,5871.351892109781,9871.351892109782,10000.0,0
2023-01-09,4000.0,67.82018092576178,5917.06500798692,9917.06500798692,10000.0,0
2023-01-10,4000.0,67.82018092576178,5943.95413260674,9943.954132606741,10000.0,0
2023-01-11,4000.0,67.82018092576178,6152.348341042039,10152.348341042038,10000.0,0
2023-01-12,4000.0,67.82018092576178,6126.131353988004,10126.131353988003,10000.0,0
2023-01-13,4000.0,67.82018092576178,6192.6833215390625,10192.683321539062,10000.0,0
2023-01-17,4000.0,67.82018092576178,6136.887107321316,10136.887107321316,10000.0,0
2023-01-18,4000.0,67.82018092576178,6125.459216422219,10125.45921642222,10000.0,0
2023-01-19,4000.0,67.82018092576178,6255.201428841577,10255.201428841578,10000.0,0
2023-01-20,4000.0,67.82018092576178,6589.305024301524,10589.305024301524,10000.0,0
2023-01-23,4000.0,67.82018092576178,6708.291483387571,10708.291483387571,10000.0,0
2023-01-24,4000.0,67.82018092576178,6567.793517634901,10567.793517634902,10000.0,0
2023-01-25,4000.0,67.82018092576178,6401.078047401279,10401.078047401279,10000.0,0
2023-01-26,4000.0,67.82018092576178,6555.692454316185,10555.692454316184,10000.0,0
2023-01-27,4000.0,67.82018092576178,6680.058083636181,10680.05808363618,10000.0,0
2023-01-30,4000.0,67.82018092576178,6516.7038186584,10516.7038186584,10000.0,0
2023-01-31,4000.0,67.82018092576178,6644.429100953488,10644.429100953488,10000.0,0
2023-02-01,8000.0,128.0027354776422,12742.326020336266,20742.326020336266,20000.0,0
2023-02-02,0.0,202.80173957999088,21657.816857210917,21657.816857210917,20000.0,1
2023-02-03,0.0,202.80173957999088,21062.79538974785,21062.79538974785,20000.0,0
2023-02-06,0.0,202.80173957999088,20684.880029559,20684.880029559,20000.0,0
2023-02-07,0.0,202.80173957999088,21637.713379714864,21637.713379714864,20000.0,0
2023-02-08,0.0,202.80173957999088,19975.284367638702,19975.284367638702,20000.0,0
2023-02-09,0.0,202.80173957999088,19098.840518557092,19098.840518557092,20000.0,0
2023-02-10,0.0,202.80173957999088,19010.39326329776,19010.39326329776,20000.0,0
2023-02-13,0.0,202.80173957999088,19018.434344845286,19018.434344845286,20000.0,0
2023-02-14,0.0,202.80173957999088,19032.505077112597,19032.505077112597,20000.0,0
2023-02-15,0.0,202.80173957999088,19486.80839112121,19486.80839112121,20000.0,0
2023-02-16,0.0,202.80173957999088,19199.351717019428,19199.351717019428,20000.0,0
2023-02-17,0.0,202.80173957999088,18966.16654115913,18966.16654115913,20000.0,0
2023-02-21,0.0,202.80173957999088,18451.557436425803,18451.557436425803,20000.0,0
2023-02-22,0.0,202.80173957999088,18423.414424636703,18423.414424636703,20000.0,0
2023-02-23,0.0,202.80173957999088,18270.64006425166,18270.64006425166,20000.0,0
2023-02-24,0.0,202.80173957999088,17916.8464014509,17916.8464014509,20000.0,0
2023-02-27,0.0,202.80173957999088,18065.599447434943,18065.599447434943,20000.0,0
2023-02-28,0.0,202.80173957999088,18103.794971599305,18103.794971599305,20000.0,0
2023-03-01,4000.0,269.69122477173534,24155.111251085633,28155.111251085633,30000.0,0
2023-03-02,4000.0,269.69122477173534,24593.515867477116,28593.515867477116,30000.0,0
2023-03-03,4000.0,269.69122477173534,25034.59739643137,29034.59739643137,30000.0,0
2023-03-06,4000.0,269.69122477173534,25430.22696649885,29430.22696649885,30000.0,0
2023-03-07,4000.0,269.69122477173534,25090.73231460018,29090.73231460018,30000.0,0
2023-03-08,4000.0,269.69122477173534,25194.989931476277,29194.989931476277,30000.0,0
2023-03-09,4000.0,269.69122477173534,24679.06184496361,28679.06184496361,30000.0,0
2023-03-10,4000.0,269.69122477173534,24227.28295366203,28227.28295366203,30000.0,0
2023-03-13,4000.0,269.69122477173534,24355.601919891775,28355.601919891775,30000.0,0
2023-03-14,4000.0,269.69122477173534,25120.139258756353,29120.139258756353,30000.0,0
2023-03-15,4000.0,269.69122477173534,25692.20226343783,29692.20226343783,30000.0,0
2023-03-16,4000.0,269.69122477173534,26817.62692131497,30817.62692131497,30000.0,0
2023-03-17,4000.0,269.69122477173534,27165.142022998185,31165.142022998185,30000.0,0
2023-03-20,4000.0,269.69122477173534,27058.21366630158,31058.21366630158,30000.0,0
2023-03-21,4000.0,269.69122477173534,28047.300965745188,32047.300965745188,30000.0,0
2023-03-22,4000.0,269.69122477173534,27632.949468384322,31632.949468384322,30000.0,0
2023-03-23,4000.0,269.69122477173534,28229.07793758096,32229.07793758096,30000.0,0
2023-03-24,4000.0,269.69122477173534,28186.307006418472,32186.307006418472,30000.0,0
2023-03-27,4000.0,269.69122477173534,27389.69198357721,31389.69198357721,30000.0,0
2023-03-28,4000.0,269.69122477173534,27007.424342935297,31007.424342935297,30000.0,0
2023-03-29,4000.0,269.69122477173534,27103.659452446096,31103.659452446096,30000.0,0
2023-03-30,4000.0,269.69122477173534,26969.999006575337,30969.999006575337,30000.0,0
2023-03-31,4000.0,269.69122477173534,27729.18869305663,31729.18869305663,30000.0,0
2023-04-03,8000.0,327.6074246715441,33888.61010906694,41888.61010906694,40000.0,0
2023-04-04,8000.0,327.6074246715441,34005.51671058491,42005.51671058491,40000.0,0
2023-04-05,8000.0,327.6074246715441,33924.337194396045,41924.337194396045,40000.0,0
2023-04-06,8000.0,327.6074246715441,35207.010541985284,43207.010541985284,40000.0,0
2023-04-10,8000.0,327.6074246715441,34564.04547893,42564.04547893,40000.0,0
2023-04-11,8000.0,327.6074246715441,34210.09389031774,42210.09389031774,40000.0,0
2023-04-12,8000.0,327.6074246715441,33979.53496635685,41979.53496635685,40000.0,0
2023-04-13,8000.0,327.6074246715441,34885.526760734494,42885.526760734494,40000.0,0
2023-04-14,8000.0,327.6074246715441,35353.13567068228,43353.13567068228,40000.0,0
2023-04-17,8000.0,327.6074246715441,34411.42678876071,42411.42678876071,40000.0,0
2023-04-18,8000.0,327.6074246715441,33934.072537711894,41934.072537711894,40000.0,0
2023-04-19,8000.0,327.6074246715441,33830.1630569237,41830.1630569237,40000.0,0
2023-04-20,8000.0,327.6074246715441,34190.610706454565,42190.610706454565,40000.0,0
2023-04-21,8000.0,327.6074246715441,34229.58207307351,42229.58207307351,40000.0,0
2023-04-24,8000.0,327.6074246715441,34411.42678876071,42411.42678876071,40000.0,0
2023-04-25,8000.0,327.6074246715441,33722.99929706048,41722.99929706048,40000.0,0
2023-04-26,8000.0,327.6074246715441,33677.53936786183,41677.53936786183,40000.0,0
2023-04-27,8000.0,327.6074246715441,34937.48275085174,42937.48275085174,40000.0,0
2023-04-28,8000.0,327.6074246715441,34856.29823577028,42856.29823577028,40000.0,0
2023-05-01,12000.0,383.9892762120995,40801.848795333244,52801.848795333244,50000.0,0
2023-05-02,12000.0,383.9892762120995,40086.29846622975,52086.29846622975,50000.0,0
2023-05-03,12000.0,383.9892762120995,40120.55727509835,52120.55727509835,50000.0,0
2023-05-04,12000.0,383.9892762120995,39846.51317060075,51846.51317060075,50000.0,0
2023-05-05,12000.0,383.9892762120995,40181.44912924011,52181.44912924011,50000.0,0
2023-05-08,12000.0,383.9892762120995,41018.79781465553,53018.79781465553,50000.0,0
2023-05-09,12000.0,383.9892762120995,40858.94095090287,52858.94095090287,50000.0,0
2023-05-10,0.0,492.1617042115455,54515.66515846831,54515.66515846831,50000.0,1
2023-05-11,0.0,492.1617042115455,56867.037241009464,56867.037241009464,50000.0,1
2023-05-12,0.0,492.1617042115455,57325.60764726358,57325.60764726358,50000.0,0
2023-05-15,0.0,492.1617042115455,56837.76031834301,56837.76031834301,50000.0,0
2023-05-16,0.0,492.1617042115455,58301.264756146564,58301.264756146564,50000.0,0
2023-05-17,0.0,492.1617042115455,58950.095733326576,58950.095733326576,50000.0,0
2023-05-18,0.0,492.1617042115455,59920.89025212965,59920.89025212965,50000.0,0
2023-05-19,0.0,492.1617042115455,59886.73947469584,59886.73947469584,50000.0,0
2023-05-22,0.0,492.1617042115455,61003.888567664675,61003.888567664675,50000.0,0
2023-05-23,0.0,492.1617042115455,59789.17226184921,59789.17226184921,50000.0,0
2023-05-24,0.0,492.1617042115455,58979.365146201395,58979.365146201395,50000.0,0
2023-05-25,0.0,492.1617042115455,60237.98369388118,60237.98369388118,50000.0,0
2023-05-26,0.0,492.1617042115455,60789.23994842294,60789.23994842294,50000.0,0
2023-05-30,0.0,492.1617042115455,60330.66954216883,60330.66954216883,50000.0,0
2023-05-31,0.0,492.1617042115455,59940.40444567814,59940.40444567814,50000.0,0
2023-06-01,4000.0,541.0150345360067,66346.07558903791,70346.07558903791,60000.0,0
2023-06-02,4000.0,541.0150345360067,66855.52260764274,70855.52260764274,60000.0,0
2023-06-05,4000.0,541.0150345360067,67574.10773179162,71574.10773179162,60000.0,0
2023-06-06,4000.0,541.0150345360067,68271.24988486801,72271.24988486801,60000.0,0
2023-06-07,4000.0,541.0150345360067,65691.83588857511,69691.83588857511,60000.0,0
2023-06-08,4000.0,541.0150345360067,65498.78723466544,69498.78723466545,60000.0,0
2023-06-09,4000.0,541.0150345360067,65547.04733433427,69547.04733433427,60000.0,0
2023-06-12,4000.0,541.0150345360067,66303.17313642433,70303.17313642433,60000.0,0
2023-06-13,4000.0,541.0150345360067,66405.06336566871,70405.06336566871,60000.0,0
2023-06-14,4000.0,541.0150345360067,66319.25846044156,70319.25846044156,60000.0,0
2023-06-15,4000.0,541.0150345360067,67080.74603720402,71080.74603720402,60000.0,0
2023-06-16,4000.0,541.0150345360067,66244.18948741067,70244.18948741067,60000.0,0
2023-06-20,4000.0,541.0150345360067,66013.59190032553,70013.59190032553,60000.0,0
2023-06-21,4000.0,541.0150345360067,64646.128850386245,68646.12885038625,60000.0,0
2023-06-22,4000.0,541.0150345360067,66040.41728415617,70040.41728415617,60000.0,0
2023-06-23,4000.0,541.0150345360067,65606.03098334794,69606.03098334794,60000.0,0
2023-06-26,4000.0,541.0150345360067,63460.990905011815,67460.99090501181,60000.0,0
2023-06-27,4000.0,541.0150345360067,63455.637385573704,67455.6373855737,60000.0,0
2023-06-28,4000.0,541.0150345360067,64447.71016656987,68447.71016656987,60000.0,0
2023-06-29,4000.0,541.0150345360067,63868.5518219894,67868.5518219894,60000.0,0
2023-06-30,4000.0,541.0150345360067,64190.311961356965,68190.31196135696,60000.0,0
2023-07-03,8000.0,591.4248253055837,70288.57445403538,78288.57445403538,70000.0,0
2023-07-05,8000.0,591.4248253055837,71373.08943959311,79373.08943959311,70000.0,0
2023-07-06,8000.0,591.4248253055837,70411.68117025863,78411.68117025863,70000.0,0
2023-07-07,8000.0,591.4248253055837,70042.36553380225,78042.36553380225,70000.0,0
2023-07-10,8000.0,591.4248253055837,68266.09214738125,76266.09214738125,70000.0,0
2023-07-11,8000.0,591.4248253055837,68670.58499894141,76670.58499894141,70000.0,0
2023-07-12,8000.0,591.4248253055837,69719.92728160869,77719.92728160869,70000.0,0
2023-07-13,8000.0,591.4248253055837,73008.66750223897,81008.66750223897,70000.0,0
2023-07-14,8000.0,591.4248253055837,73524.53982758333,81524.53982758333,70000.0,0
2023-07-17,8000.0,591.4248253055837,73073.15154290701,81073.15154290701,70000.0,0
2023-07-18,8000.0,591.4248253055837,72551.40431580979,80551.40431580979,70000.0,0
2023-07-19,8000.0,591.4248253055837,71537.24376045965,79537.24376045965,70000.0,0
2023-07-20,8000.0,591.4248253055837,69878.21121293571,77878.21121293571,70000.0,0
