date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,67.82018092576178,5991.0104887616135,9991.010488761614,10000.0,0
2023-01-04,4000.0,67.82018092576178,5921.097833381629,9921.09783338163,10000.0,0
2023-01-05,4000.0,67.82018092576178,5794.716308791196,9794.716308791196,10000.0,0
2023-01-06,4000.0,67.82018092576178,5871.351892109781,9871.351892109782,10000.0,0
2023-01-09,4000.0,67.82018092576178,5917.06500798692,9917.06500798692,10000.0,0
2023-01-10,4000.0,67.82018092576178,5943.95413260674,9943.954132606741,10000.0,0
2023-01-11,4000.0,67.82018092576178,6152.348341042039,10152.348341042038,10000.0,0
2023-01-12,4000.0,67.82018092576178,6126.131353988004,10126.131353988003,10000.0,0
2023-01-13,4000.0,67.82018092576178,6192.6833215390625,10192.683321539062,10000.0,0
2023-01-17,4000.0,67.82018092576178,6136.887107321316,10136.887107321316,10000.0,0
2023-01-18,4000.0,67.82018092576178,6125.459216422219,10125.45921642222,10000.0,0
2023-01-19,4000.0,67.82018092576178,6255.201428841577,10255.201428841578,10000.0,0
2023-01-20,4000.0,67.82018092576178,6589.305024301524,10589.305024301524,10000.0,0
2023-01-23,4000.0,67.82018092576178,6708.291483387571,10708.291483387571,10000.0,0
2023-01-24,4000.0,67.82018092576178,6567.793517634901,10567.793517634902,10000.0,0
2023-01-25,4000.0,67.82018092576178,6401.078047401279,10401.078047401279,10000.0,0
2023-01-26,4000.0,67.82018092576178,6555.692454316185,10555.692454316184,10000.0,0
2023-01-27,4000.0,67.82018092576178,6680.058083636181,10680.05808363618,10000.0,0
2023-01-30,4000.0,67.82018092576178,6516.7038186584,10516.7038186584,10000.0,0
2023-01-31,4000.0,67.82018092576178,6644.429100953488,10644.429100953488,10000.0,0
2023-02-01,8000.0,128.0027354776422,12742.326020336266,20742.326020336266,20000.0,0
2023-02-02,8000.0,128.0027354776422,13669.80287219543,21669.802872195432,20000.0,0
2023-02-03,8000.0,128.0027354776422,13294.242111913334,21294.242111913336,20000.0,0
2023-02-06,8000.0,128.0027354776422,13055.712600364883,21055.71260036488,20000.0,0
2023-02-07,8000.0,128.0027354776422,13657.114124468526,21657.114124468528,20000.0,0
2023-02-08,8000.0,128.0027354776422,12607.83584153146,20607.835841531458,20000.0,0
2023-02-09,8000.0,128.0027354776422,12054.649214989973,20054.64921498997,20000.0,0
2023-02-10,8000.0,128.0027354776422,11998.82380322511,19998.82380322511,20000.0,0
2023-02-13,8000.0,128.0027354776422,12003.899106999199,20003.899106999197,20000.0,0
2023-02-14,8000.0,128.0027354776422,12012.780156166327,20012.78015616633,20000.0,0
2023-02-15,8000.0,128.0027354776422,12299.523588693562,20299.523588693562,20000.0,0
2023-02-16,8000.0,128.0027354776422,12118.089047291021,20118.08904729102,20000.0,0
2023-02-17,8000.0,128.0027354776422,11970.90914417594,19970.909144175937,20000.0,0
2023-02-21,8000.0,128.0027354776422,11646.102398218098,19646.1023982181,20000.0,0
2023-02-22,8000.0,128.0027354776422,11628.339323300472,19628.33932330047,20000.0,0
2023-02-23,8000.0,128.0027354776422,11531.912457926275,19531.912457926275,20000.0,0
2023-02-24,8000.0,128.0027354776422,11308.607881116717,19308.607881116717,20000.0,0
2023-02-27,8000.0,128.0027354776422,11402.496606312186,19402.496606312186,20000.0,0
2023-02-28,8000.0,128.0027354776422,11426.604543384949,19426.60454338495,20000.0,0
2023-03-01,12000.0,194.89222066938666,17455.67834557717,29455.67834557717,30000.0,0
2023-03-02,12000.0,194.89222066938666,17772.491209297757,29772.491209297757,30000.0,0
2023-03-03,12000.0,194.89222066938666,18091.238542463314,30091.238542463314,30000.0,0
2023-03-06,12000.0,194.89222066938666,18377.14004162476,30377.14004162476,30000.0,0
2023-03-07,12000.0,194.89222066938666,18131.80441133159,30131.80441133159,30000.0,0
2023-03-08,12000.0,194.89222066938666,18207.14612292001,30207.14612292001,30000.0,0
2023-03-09,12000.0,194.89222066938666,17834.310964596756,29834.310964596756,30000.0,0
2023-03-10,12000.0,194.89222066938666,17507.83318819954,29507.83318819954,30000.0,0
2023-03-13,12000.0,194.89222066938666,17600.562821148043,29600.562821148043,30000.0,0
2023-03-14,12000.0,194.89222066938666,18153.055323943026,30153.055323943026,30000.0,0
2023-03-15,12000.0,194.89222066938666,18566.45635113455,30566.45635113455,30000.0,0
2023-03-16,12000.0,194.89222066938666,19379.74388377639,31379.74388377639,30000.0,0
2023-03-17,12000.0,194.89222066938666,19630.875487856258,31630.875487856258,30000.0,0
2023-03-20,12000.0,194.89222066938666,19553.603767551795,31553.603767551795,30000.0,0
2023-03-21,12000.0,194.89222066938666,20268.367180368085,32268.367180368085,30000.0,0
2023-03-22,12000.0,194.89222066938666,19968.936290368998,31968.936290368998,30000.0,0
2023-03-23,12000.0,194.89222066938666,20399.728212739887,32399.728212739887,30000.0,0
2023-03-24,12000.0,194.89222066938666,20368.81982200003,32368.81982200003,30000.0,0
2023-03-27,12000.0,194.89222066938666,19793.14639787756,31793.14639787756,30000.0,0
2023-03-28,12000.0,194.89222066938666,19516.90088993489,31516.90088993489,30000.0,0
2023-03-29,12000.0,194.89222066938666,19586.445140826978,31586.445140826978,30000.0,0
2023-03-30,12000.0,194.89222066938666,19489.8554904464,31489.8554904464,30000.0,0
2023-03-31,12000.0,194.89222066938666,20038.483515080374,32038.483515080374,30000.0,0
2023-04-03,16000.0,252.80842056919542,26151.19607117573,42151.19607117573,40000.0,0
2023-04-04,16000.0,252.80842056919542,26241.410672732763,42241.41067273276,40000.0,0
2023-04-05,16000.0,252.80842056919542,26178.765983617875,42178.76598361788,40000.0,0
2023-04-06,16000.0,252.80842056919542,27168.580617505824,43168.580617505824,40000.0,0
2023-04-10,16000.0,252.80842056919542,26672.416703531202,42672.4167035312,40000.0,0
2023-04-11,16000.0,252.80842056919542,26399.278992550637,42399.27899255064,40000.0,0
2023-04-12,16000.0,252.80842056919542,26221.36105472269,42221.361054722685,40000.0,0
2023-04-13,16000.0,252.80842056919542,26920.49769613092,42920.497696130915,40000.0,0
2023-04-14,16000.0,252.80842056919542,27281.34260093277,43281.34260093277,40000.0,0
2023-04-17,16000.0,252.80842056919542,26554.64376218312,42554.64376218312,40000.0,0
2023-04-18,16000.0,252.80842056919542,26186.27856294921,42186.278562949214,40000.0,0
2023-04-19,16000.0,252.80842056919542,26106.09359233517,42106.09359233517,40000.0,0
2023-04-20,16000.0,252.80842056919542,26384.244190012058,42384.24419001206,40000.0,0
2023-04-21,16000.0,252.80842056919542,26414.31765263958,42414.317652639584,40000.0,0
2023-04-24,16000.0,252.80842056919542,26554.64376218312,42554.64376218312,40000.0,0
2023-04-25,16000.0,252.80842056919542,26023.397356435024,42023.39735643502,40000.0,0
2023-04-26,16000.0,252.80842056919542,25988.31679343673,41988.31679343673,40000.0,0
2023-04-27,16000.0,252.80842056919542,26960.591145825532,42960.59114582553,40000.0,0
2023-04-28,16000.0,252.80842056919542,26897.942599160277,42897.94259916028,40000.0,0
2023-05-01,20000.0,309.1902721097508,32853.872524923594,52853.872524923594,50000.0,0
2023-05-02,20000.0,309.1902721097508,32277.707473789393,52277.70747378939,50000.0,0
2023-05-03,20000.0,309.1902721097508,32305.292854664418,52305.29285466442,50000.0,0
2023-05-04,20000.0,309.1902721097508,32084.63103807535,52084.63103807535,50000.0,0
2023-05-05,20000.0,309.1902721097508,32354.32330972577,52354.32330972577,50000.0,0
2023-05-08,20000.0,309.1902721097508,33028.56106565553,53028.56106565553,50000.0,0
2023-05-09,20000.0,309.1902721097508,32899.84344184616,52899.84344184616,50000.0,0
2023-05-10,20000.0,309.1902721097508,34248.32367157483,54248.32367157483,50000.0,0
2023-05-11,20000.0,309.1902721097508,35725.52388404742,55725.52388404742,50000.0,0
2023-05-12,20000.0,309.1902721097508,36013.611127483666,56013.611127483666,50000.0,0
2023-05-15,20000.0,309.1902721097508,35707.131271196165,55707.131271196165,50000.0,0
2023-05-16,20000.0,309.1902721097508,36626.54725071295,56626.54725071295,50000.0,0
2023-05-17,20000.0,309.1902721097508,37034.16170886935,57034.16170886935,50000.0,0
2023-05-18,20000.0,309.1902721097508,37644.043011829,57644.043011829,50000.0,0
2023-05-19,20000.0,309.1902721097508,37622.58850190439,57622.58850190439,50000.0,0
2023-05-22,20000.0,309.1902721097508,38324.41399764375,58324.41399764375,50000.0,0
2023-05-23,20000.0,309.1902721097508,37561.29394600764,57561.29394600764,50000.0,0
2023-05-24,20000.0,309.1902721097508,37052.54960385147,57052.54960385147,50000.0,0
2023-05-25,20000.0,309.1902721097508,37843.25031849346,57843.25031849346,50000.0,0
2023-05-26,20000.0,309.1902721097508,38189.565502883976,58189.565502883976,50000.0,0
2023-05-30,20000.0,309.1902721097508,37901.47825944773,57901.47825944773,50000.0,0
2023-05-31,20000.0,309.1902721097508,37656.30239479527,57656.30239479527,50000.0,0
2023-06-01,24000.0,358.04360243421206,43907.8147461181,67907.81474611809,60000.0,0
2023-06-02,24000.0,358.04360243421206,44244.96664421106,68244.96664421106,60000.0,0
2023-06-05,24000.0,358.04360243421206,44720.52608356482,68720.52608356482,60000.0,0
2023-06-06,24000.0,358.04360243421206,45181.89457050583,69181.89457050583,60000.0,0
2023-06-07,24000.0,358.04360243421206,43474.839090626236,67474.83909062624,60000.0,0
2023-06-08,24000.0,358.04360243421206,43347.07954407283,67347.07954407283,60000.0,0
2023-06-09,24000.0,358.04360243421206,43379.018064883225,67379.01806488322,60000.0,0
2023-06-12,24000.0,358.04360243421206,43879.421914668965,67879.42191466896,60000.0,0
2023-06-13,24000.0,358.04360243421206,43946.85284061873,67946.85284061873,60000.0,0
2023-06-14,24000.0,358.04360243421206,43890.06717772046,67890.06717772046,60000.0,0
2023-06-15,24000.0,358.04360243421206,44394.019448523366,68394.01944852337,60000.0,0
2023-06-16,24000.0,358.04360243421206,43840.38655182423,67840.38655182422,60000.0,0
2023-06-20,24000.0,358.04360243421206,43687.77713152705,67687.77713152705,60000.0,0
2023-06-21,24000.0,358.04360243421206,42782.79045769859,66782.79045769859,60000.0,0
2023-06-22,24000.0,358.04360243421206,43705.5301632365,67705.5301632365,60000.0,0
2023-06-23,24000.0,358.04360243421206,43418.05342772796,67418.05342772795,60000.0,0
2023-06-26,24000.0,358.04360243421206,41998.46648838919,65998.46648838918,60000.0,0
2023-06-27,24000.0,358.04360243421206,41994.92353068383,65994.92353068382,60000.0,0
2023-06-28,24000.0,358.04360243421206,42651.47702681621,66651.47702681621,60000.0,0
2023-06-29,24000.0,358.04360243421206,42268.19019218828,66268.19019218828,60000.0,0
2023-06-30,24000.0,358.04360243421206,42481.130964744996,66481.130964745,60000.0,0
2023-07-03,28000.0,408.45339320378906,48543.12080047355,76543.12080047355,70000.0,0
2023-07-05,28000.0,408.45339320378906,49292.11510520625,77292.11510520625,70000.0,0
2023-07-06,28000.0,408.45339320378906,48628.14150609168,76628.14150609168,70000.0,0
2023-07-07,28000.0,408.45339320378906,48373.082505489394,76373.0825054894,70000.0,0
2023-07-10,28000.0,408.45339320378906,47146.34182620464,75146.34182620465,70000.0,0
2023-07-11,28000.0,408.45339320378906,47425.69512805676,75425.69512805676,70000.0,0
2023-07-12,28000.0,408.45339320378906,48150.398247791716,76150.39824779172,70000.0,0
2023-07-13,28000.0,408.45339320378906,50421.687928247964,78421.68792824796,70000.0,0
2023-07-14,28000.0,408.45339320378906,50777.9627965509,78777.9627965509,70000.0,0
2023-07-17,28000.0,408.45339320378906,50466.22228678583,78466.22228678584,70000.0,0
2023-07-18,28000.0,408.45339320378906,50105.89005826902,78105.89005826903,70000.0,0
2023-07-19,28000.0,408.45339320378906,49405.48435603598,77405.48435603597,70000.0,0
