date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,112.29711847218442,9985.017481269355,9985.017481269355,10000.0,1
2023-01-04,0.0,112.29711847218442,9874.81342508681,9874.81342508681,10000.0,1
2023-01-05,0.0,112.29711847218442,9658.860459633763,9658.860459633763,10000.0,1
2023-01-06,0.0,112.29711847218442,9813.591138925118,9813.591138925118,10000.0,1
2023-01-09,0.0,112.29711847218442,9884.834078602822,9884.834078602822,10000.0,1
2023-01-10,0.0,112.29711847218442,9933.810708069544,9933.810708069544,10000.0,1
2023-01-11,0.0,112.29711847218442,10269.984099426041,10269.984099426041,10000.0,1
2023-01-12,0.0,112.29711847218442,10231.024696439245,10231.024696439245,10000.0,1
2023-01-13,0.0,112.29711847218442,10330.095169136788,10330.095169136788,10000.0,1
2023-01-17,0.0,112.29711847218442,10258.853086218105,10258.853086218105,10000.0,1
2023-01-18,0.0,112.29711847218442,10216.552323047275,10216.552323047275,10000.0,1
2023-01-19,0.0,112.29711847218442,10453.65609846525,10453.65609846525,10000.0,1
2023-01-20,0.0,112.29711847218442,11051.421151593571,11051.421151593571,10000.0,1
2023-01-23,0.0,112.29711847218442,11266.260330318608,11266.260330318608,10000.0,1
2023-01-24,0.0,112.29711847218442,11043.6289282926,11043.6289282926,10000.0,1
2023-01-25,0.0,112.29711847218442,10767.56574988783,10767.56574988783,10000.0,1
2023-01-26,0.0,112.29711847218442,11038.062564929613,11038.062564929613,10000.0,1
2023-01-27,0.0,112.29711847218442,11210.602694001862,11210.602694001862,10000.0,1
2023-01-30,0.0,112.29711847218442,10903.370622393215,10903.370622393215,10000.0,1
2023-01-31,0.0,112.29711847218442,11117.096871149264,11117.096871149264,10000.0,1
2023-02-01,0.0,211.60750822121065,21275.766554700836,21275.766554700836,20000.0,1
2023-02-02,0.0,211.60750822121065,22821.683778496044,22821.683778496044,20000.0,1
2023-02-03,0.0,211.60750822121065,22070.75254729127,22070.75254729127,20000.0,1
2023-02-06,0.0,211.60750822121065,21703.67635442197,21703.67635442197,20000.0,1
2023-02-07,0.0,211.60750822121065,22662.2677949771,22662.2677949771,20000.0,1
2023-02-08,0.0,211.60750822121065,20975.815430319246,20975.815430319246,20000.0,1
2023-02-09,0.0,211.60750822121065,20023.51222252566,20023.51222252566,20000.0,1
2023-02-10,0.0,211.60750822121065,19897.65554437624,19897.65554437624,20000.0,1
2023-02-13,0.0,211.60750822121065,19927.02215642568,19927.02215642568,20000.0,1
2023-02-14,0.0,211.60750822121065,19916.53477259538,19916.53477259538,20000.0,1
2023-02-15,0.0,211.60750822121065,20367.51487941857,20367.51487941857,20000.0,1
2023-02-16,0.0,211.60750822121065,20090.634062139045,20090.634062139045,20000.0,1
2023-02-17,0.0,211.60750822121065,19841.021088593163,19841.021088593163,20000.0,1
2023-02-21,0.0,211.60750822121065,19308.235836131866,19308.235836131866,20000.0,1
2023-02-22,0.0,211.60750822121065,19255.795688106038,19255.795688106038,20000.0,1
2023-02-23,0.0,211.60750822121065,19102.674395097307,19102.674395097307,20000.0,1
