date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-04,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-05,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-06,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-09,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-10,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-11,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-12,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-13,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-17,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-23,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-24,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-30,10000.0,0.0,0.0,10000.0,10000.0,0
2023-01-31,10000.0,0.0,0.0,10000.0,10000.0,0
2023-02-01,20000.0,0.0,0.0,20000.0,20000.0,0
2023-02-02,0.0,185.16641359718972,19970.03496253871,19970.03496253871,20000.0,1
2023-02-03,0.0,185.16641359718972,19312.93520218922,19312.93520218922,20000.0,0
2023-02-06,0.0,185.16641359718972,18991.726457178793,18991.726457178793,20000.0,0
2023-02-07,0.0,185.16641359718972,19830.538560986577,19830.538560986577,20000.0,0
2023-02-08,0.0,185.16641359718972,18354.814288765818,18354.814288765818,20000.0,0
2023-02-09,0.0,185.16641359718972,17521.504681150665,17521.504681150665,20000.0,0
2023-02-10,0.0,185.16641359718972,17411.374232963437,17411.374232963437,20000.0,0
2023-02-13,0.0,185.16641359718972,17437.07138463071,17437.07138463071,20000.0,0
2023-02-14,0.0,185.16641359718972,17427.89443590995,17427.89443590995,20000.0,0
2023-02-15,0.0,185.16641359718972,17822.523008809323,17822.523008809323,20000.0,0
2023-02-16,0.0,185.16641359718972,17580.239413295723,17580.239413295723,20000.0,0
2023-02-17,0.0,185.16641359718972,17361.816449539143,17361.816449539143,20000.0,0
2023-02-21,0.0,185.16641359718972,16895.604568661078,16895.604568661078,20000.0,0
2023-02-22,0.0,185.16641359718972,16849.716999642038,16849.716999642038,20000.0,0
2023-02-23,0.0,185.16641359718972,16715.728745113032,16715.728745113032,20000.0,0
2023-02-24,0.0,185.16641359718972,16400.025321710487,16400.025321710487,20000.0,0
2023-02-27,0.0,185.16641359718972,16537.686616059993,16537.686616059993,20000.0,0
2023-02-28,0.0,185.16641359718972,16574.397236358276,16574.397236358276,20000.0,0
2023-03-01,10000.0,185.16641359718972,16612.942963859186,26612.942963859186,30000.0,0
2023-03-02,10000.0,185.16641359718972,16943.32724488275,26943.32724488275,30000.0,0
2023-03-03,10000.0,185.16641359718972,17257.195561082663,27257.195561082663,30000.0,0
2023-03-06,10000.0,185.16641359718972,17543.53020570506,27543.53020570506,30000.0,0
2023-03-07,10000.0,185.16641359718972,17284.724994537322,27284.724994537322,30000.0,0
2023-03-08,10000.0,185.16641359718972,17372.82991817015,27372.82991817015,30000.0,0
2023-03-09,10000.0,185.16641359718972,17007.571536758554,27007.571536758554,30000.0,0
2023-03-10,10000.0,185.16641359718972,16704.71668918965,26704.71668918965,30000.0,0
2023-03-13,10000.0,185.16641359718972,16824.021260682388,26824.021260682388,30000.0,0
2023-03-14,10000.0,185.16641359718972,17299.41150298883,27299.41150298883,30000.0,0
2023-03-15,10000.0,185.16641359718972,17721.5723347581,27721.5723347581,30000.0,0
2023-03-16,10000.0,185.16641359718972,18551.208902552757,28551.208902552757,30000.0,0
2023-03-17,10000.0,185.16641359718972,18806.341073899992,28806.341073899992,30000.0,0
2023-03-20,10000.0,185.16641359718972,18709.060614254027,28709.060614254027,30000.0,0
2023-03-21,10000.0,185.16641359718972,19426.734452074073,29426.734452074073,30000.0,0
2023-03-22,10000.0,185.16641359718972,19129.386338820674,29129.386338820674,30000.0,0
2023-03-23,10000.0,185.16641359718972,19503.82308166065,29503.82308166065,30000.0,0
2023-03-24,10000.0,185.16641359718972,19467.11387406999,29467.11387406999,30000.0,0
2023-03-27,10000.0,185.16641359718972,18916.46728396435,28916.46728396435,30000.0,0
2023-03-28,10000.0,185.16641359718972,18604.436900382305,28604.436900382305,30000.0,0
2023-03-29,10000.0,185.16641359718972,18703.55387993852,28703.55387993852,30000.0,0
2023-03-30,10000.0,185.16641359718972,18597.096471571796,28597.096471571796,30000.0,0
2023-03-31,10000.0,185.16641359718972,19089.004091409508,29089.004091409508,30000.0,0
2023-04-03,20000.0,185.16641359718972,19256.034164539164,39256.03416453916,40000.0,0
2023-04-04,20000.0,185.16641359718972,19294.581304747702,39294.5813047477,40000.0,0
2023-04-05,20000.0,185.16641359718972,19263.376006057293,39263.3760060573,40000.0,0
2023-04-06,20000.0,185.16641359718972,19988.38885998023,39988.38885998023,40000.0,0
2023-04-10,20000.0,185.16641359718972,19630.469494671517,39630.46949467152,40000.0,0
2023-04-11,20000.0,185.16641359718972,19478.125929993374,39478.12592999337,40000.0,0
2023-04-12,20000.0,185.16641359718972,19312.93520218922,39312.93520218922,40000.0,0
2023-04-13,20000.0,185.16641359718972,19858.07505797935,39858.07505797935,40000.0,0
2023-04-14,20000.0,185.16641359718972,20091.174641234073,40091.17464123407,40000.0,0
2023-04-17,20000.0,185.16641359718972,19533.193273148423,39533.19327314843,40000.0,0
2023-04-18,20000.0,185.16641359718972,19294.581304747702,39294.5813047477,40000.0,0
2023-04-19,20000.0,185.16641359718972,19276.22316918331,39276.223169183315,40000.0,0
2023-04-20,20000.0,185.16641359718972,19437.74650799746,39437.746507997465,40000.0,0
2023-04-21,20000.0,185.16641359718972,19439.578789784842,39439.57878978484,40000.0,0
2023-04-24,20000.0,185.16641359718972,19599.268434103986,39599.268434103986,40000.0,0
2023-04-25,20000.0,185.16641359718972,19200.968234091742,39200.96823409174,40000.0,0
2023-04-26,20000.0,185.16641359718972,19171.602280726835,39171.60228072683,40000.0,0
2023-04-27,20000.0,185.16641359718972,19891.111225749508,39891.11122574951,40000.0,0
2023-04-28,20000.0,185.16641359718972,19863.577554171985,39863.577554171985,40000.0,0
2023-05-01,30000.0,185.16641359718972,19769.968721638896,49769.9687216389,50000.0,0
2023-05-02,30000.0,185.16641359718972,19452.43019103372,49452.43019103372,50000.0,0
2023-05-03,30000.0,185.16641359718972,19478.125929993374,49478.12592999337,50000.0,0
2023-05-04,30000.0,185.16641359718972,19311.097269571343,49311.09726957134,50000.0,0
2023-05-05,30000.0,185.16641359718972,19495.561567479766,49495.56156747977,50000.0,0
2023-05-08,30000.0,185.16641359718972,19867.24776857724,49867.24776857724,50000.0,0
2023-05-09,30000.0,185.16641359718972,19812.18748896031,49812.187488960306,50000.0,0
2023-05-10,0.0,454.307443164265,50563.837507377626,50563.837507377626,50000.0,1
2023-05-11,0.0,454.307443164265,52644.3931243956,52644.3931243956,50000.0,1
2023-05-12,0.0,454.307443164265,53103.73333128878,53103.73333128878,50000.0,0
2023-05-15,0.0,454.307443164265,52671.407835485865,52671.407835485865,50000.0,0
2023-05-16,0.0,454.307443164265,54080.966415648334,54080.966415648334,50000.0,0
2023-05-17,0.0,454.307443164265,54706.935467929376,54706.935467929376,50000.0,0
2023-05-18,0.0,454.307443164265,55625.61934780643,55625.61934780643,50000.0,0
2023-05-19,0.0,454.307443164265,55504.02888526521,55504.02888526521,50000.0,0
2023-05-22,0.0,454.307443164265,56683.91736198109,56683.91736198109,50000.0,0
2023-05-23,0.0,454.307443164265,55522.052557021605,55522.052557021605,50000.0,0
2023-05-24,0.0,454.307443164265,54778.98509577556,54778.98509577556,50000.0,0
2023-05-25,0.0,454.307443164265,55999.399105217555,55999.399105217555,50000.0,0
2023-05-26,0.0,454.307443164265,56485.76442147315,56485.76442147315,50000.0,0
2023-05-30,0.0,454.307443164265,56130.00140363697,56130.00140363697,50000.0,0
2023-05-31,0.0,454.307443164265,55558.07217180862,55558.07217180862,50000.0,0
2023-06-01,10000.0,454.307443164265,56008.41440718647,66008.41440718647,60000.0,0
2023-06-02,10000.0,454.307443164265,56395.69458796128,66395.69458796128,60000.0,0
2023-06-05,10000.0,454.307443164265,57026.166092090694,67026.16609209069,60000.0,0
2023-06-06,10000.0,454.307443164265,57602.601241858145,67602.60124185815,60000.0,0
2023-06-07,10000.0,454.307443164265,55364.42861533049,65364.42861533049,60000.0,0
2023-06-08,10000.0,454.307443164265,55242.831220607826,65242.831220607826,60000.0,0
2023-06-09,10000.0,454.307443164265,55332.90452021041,65332.90452021041,60000.0,0
2023-06-12,10000.0,454.307443164265,55999.399105217555,65999.39910521756,60000.0,0
2023-06-13,10000.0,454.307443164265,56035.429118276734,66035.42911827673,60000.0,0
2023-06-14,10000.0,454.307443164265,56012.90992685341,66012.9099268534,60000.0,0
2023-06-15,10000.0,454.307443164265,56647.88041674047,66647.88041674046,60000.0,0
2023-06-16,10000.0,454.307443164265,55868.80027288885,65868.80027288885,60000.0,0
2023-06-20,10000.0,454.307443164265,55774.231453619344,65774.23145361934,60000.0,0
2023-06-21,10000.0,454.307443164265,54607.85726463004,64607.85726463004,60000.0,0
2023-06-22,10000.0,454.307443164265,55783.239823406824,65783.23982340682,60000.0,0
2023-06-23,10000.0,454.307443164265,55400.45169620822,65400.45169620822,60000.0,0
2023-06-26,10000.0,454.307443164265,53630.624180270475,63630.624180270475,60000.0,0
2023-06-27,10000.0,454.307443164265,53594.60456548347,63594.60456548347,60000.0,0
2023-06-28,10000.0,454.307443164265,54526.79580090565,64526.79580090565,60000.0,0
2023-06-29,10000.0,454.307443164265,54044.93986867988,64044.93986867988,60000.0,0
2023-06-30,10000.0,454.307443164265,54477.25843230134,64477.25843230134,60000.0,0
2023-07-03,20000.0,454.307443164265,54292.623245610695,74292.6232456107,70000.0,0
2023-07-05,20000.0,454.307443164265,55224.82141321432,75224.82141321432,70000.0,0
2023-07-06,20000.0,454.307443164265,54459.24515881711,74459.24515881711,70000.0,0
2023-07-07,20000.0,454.307443164265,54103.47867489021,74103.47867489021,70000.0,0
2023-07-10,20000.0,454.307443164265,52630.88230275976,72630.88230275977,70000.0,0
2023-07-11,20000.0,454.307443164265,53009.15757983782,73009.15757983782,70000.0,0
2023-07-12,20000.0,454.307443164265,53869.30958568598,73869.30958568599,70000.0,0
2023-07-13,20000.0,454.307443164265,56215.55838702828,76215.55838702829,70000.0,0
2023-07-14,20000.0,454.307443164265,56607.35488401436,76607.35488401436,70000.0,0
2023-07-17,20000.0,454.307443164265,56319.13904217599,76319.13904217599,70000.0,0
2023-07-18,20000.0,454.307443164265,55877.81210876706,75877.81210876706,70000.0,0
2023-07-19,20000.0,454.307443164265,55292.36512312141,75292.36512312142,70000.0,0
2023-07-20,20000.0,454.307443164265,53828.77365468771,73828.77365468771,70000.0,0
2023-07-21,20000.0,454.307443164265,54180.03768676623,74180.03768676623,70000.0,0
2023-07-24,20000.0,454.307443164265,54887.06820277164,74887.06820277164,70000.0,0
2023-07-25,20000.0,454.307443164265,55296.874507151224,75296.87450715122,70000.0,0
2023-07-26,0.0,609.683840038034,78360.72818412667,78360.72818412667,70000.0,1
2023-07-27,0.0,609.683840038034,78487.64021638068,78487.64021638068,70000.0,0
2023-07-28,0.0,609.683840038034,80385.3016351807,80385.3016351807,70000.0,0
2023-07-31,0.0,609.683840038034,80445.7527703212,80445.7527703212,70000.0,0
2023-08-01,10000.0,609.683840038034,79708.43126113457,89708.43126113457,80000.0,0
2023-08-02,10000.0,609.683840038034,77744.28103610969,87744.28103610969,80000.0,0
2023-08-03,10000.0,609.683840038034,77822.85448754039,87822.85448754039,80000.0,0
2023-08-04,10000.0,609.683840038034,77683.82990096921,87683.82990096921,80000.0,0
2023-08-07,10000.0,609.683840038034,79738.65682870481,89738.65682870481,80000.0,0
2023-08-08,10000.0,609.683840038034,79678.21499660143,89678.21499660143,80000.0,0
2023-08-09,10000.0,609.683840038034,78656.83455229944,88656.83455229944,80000.0,0
2023-08-10,10000.0,609.683840038034,78693.13500310248,88693.13500310248,80000.0,0
2023-08-11,10000.0,609.683840038034,78668.9564096537,88668.9564096537,80000.0,0
2023-08-14,10000.0,609.683840038034,79672.16802247996,89672.16802247996,80000.0,0
2023-08-15,10000.0,609.683840038034,78729.37033264576,88729.37033264576,80000.0,0
2023-08-16,10000.0,609.683840038034,78028.3167136323,88028.3167136323,80000.0,0
2023-08-17,10000.0,609.683840038034,78844.19771969394,88844.19771969394,80000.0,0
2023-08-18,10000.0,609.683840038034,77423.97746841393,87423.97746841393,80000.0,0
2023-08-21,10000.0,609.683840038034,77919.55025526126,87919.55025526126,80000.0,0
2023-08-22,10000.0,609.683840038034,78378.85050041685,88378.85050041685,80000.0,0
2023-08-23,10000.0,609.683840038034,80506.18529938746,90506.18529938746,80000.0,0
2023-08-24,10000.0,609.683840038034,78820.03773231938,88820.03773231938,80000.0,0
2023-08-25,10000.0,609.683840038034,78983.20370019089,88983.20370019089,80000.0,0
2023-08-28,10000.0,609.683840038034,79647.9894290312,89647.9894290312,80000.0,0
2023-08-29,0.0,684.029181574222,91869.15003130918,91869.15003130918,80000.0,1
2023-08-30,0.0,684.029181574222,92845.53238329195,92845.53238329195,80000.0,0
2023-08-31,0.0,684.029181574222,93130.31839737967,93130.31839737967,80000.0,0
2023-09-01,10000.0,684.029181574222,92757.39849643262,102757.39849643262,90000.0,0
2023-09-05,10000.0,684.029181574222,92696.36024793034,102696.36024793034,90000.0,0
2023-09-06,10000.0,684.029181574222,91787.76917912513,101787.76917912513,90000.0,0
2023-09-07,10000.0,684.029181574222,92350.54642279731,102350.54642279731,90000.0,0
2023-09-08,10000.0,684.029181574222,93028.59494151385,103028.59494151385,90000.0,0
2023-09-11,10000.0,684.029181574222,93394.76180778562,103394.76180778562,90000.0,0
2023-09-12,10000.0,684.029181574222,92262.412535938,102262.412535938,90000.0,0
2023-09-13,10000.0,684.029181574222,93232.03141578849,103232.03141578849,90000.0,0
2023-09-14,10000.0,684.029181574222,94242.30419063153,104242.30419063153,90000.0,0
2023-09-15,10000.0,684.029181574222,93774.46605577892,103774.46605577892,90000.0,0
2023-09-18,10000.0,684.029181574222,94221.99289932074,104221.99289932074,90000.0,0
2023-09-19,10000.0,684.029181574222,94133.81726263344,104133.81726263344,90000.0,0
2023-09-20,10000.0,684.029181574222,91258.87192085623,101258.87192085623,90000.0,0
2023-09-21,10000.0,684.029181574222,89068.79075721277,99068.79075721277,90000.0,0
2023-09-22,10000.0,684.029181574222,88994.19425207497,98994.19425207497,90000.0,0
2023-09-25,10000.0,684.029181574222,89618.00974424946,99618.00974424946,90000.0,0
2023-09-26,10000.0,684.029181574222,87773.70065591103,97773.70065591103,90000.0,0
2023-09-27,10000.0,684.029181574222,89136.58204039033,99136.58204039033,90000.0,0
2023-09-28,10000.0,684.029181574222,90268.93131223795,100268.93131223795,90000.0,0
2023-09-29,10000.0,684.029181574222,89401.0254507963,99401.0254507963,90000.0,0
2023-10-02,20000.0,684.029181574222,91652.14486294203,111652.14486294203,100000.0,0
2023-10-03,20000.0,684.029181574222,90384.1921498253,110384.1921498253,100000.0,0
2023-10-04,20000.0,684.029181574222,92398.00553975011,112398.00553975011,100000.0,0
2023-10-05,20000.0,684.029181574222,92208.17950939595,112208.17950939595,100000.0,0
2023-10-06,20000.0,684.029181574222,94066.01554199889,114066.01554199889,100000.0,0
2023-10-09,20000.0,684.029181574222,94588.11801576454,114588.11801576454,100000.0,0
2023-10-10,20000.0,684.029181574222,94384.6919789469,114384.6919789469,100000.0,0
2023-10-11,20000.0,684.029181574222,96079.83936938069,116079.83936938069,100000.0,0
2023-10-12,20000.0,684.029181574222,95123.75787125171,115123.75787125171,100000.0,0
2023-10-13,20000.0,684.029181574222,93964.31296104706,113964.31296104706,100000.0,0
2023-10-16,20000.0,684.029181574222,95259.38218743482,115259.38218743482,100000.0,0
2023-10-17,20000.0,684.029181574222,95598.41166552158,115598.41166552158,100000.0,0
2023-10-18,20000.0,684.029181574222,94438.93544294593,114438.93544294593,100000.0,0
2023-10-19,20000.0,684.029181574222,94235.53028104227,114235.53028104227,100000.0,0
2023-10-20,20000.0,684.029181574222,92716.6924141551,112716.6924141551,100000.0,0
2023-10-23,20000.0,684.029181574222,93503.21742341272,113503.21742341272,100000.0,0
2023-10-24,20000.0,684.029181574222,95008.51790857836,115008.51790857836,100000.0,0
2023-10-25,20000.0,684.029181574222,85888.71679766607,105888.71679766607,100000.0,0
2023-10-26,20000.0,684.029181574222,83698.61997783714,103698.61997783714,100000.0,0
2023-10-27,20000.0,684.029181574222,83671.48780838063,103671.48780838063,100000.0,0
2023-10-30,20000.0,684.029181574222,85264.91174294859,105264.91174294859,100000.0,0
2023-10-31,20000.0,684.029181574222,84959.78834390761,104959.78834390761,100000.0,0
2023-11-01,30000.0,684.029181574222,86498.96359574805,116498.96359574805,110000.0,0
2023-11-02,30000.0,684.029181574222,87183.78602405384,117183.78602405384,110000.0,0
2023-11-03,30000.0,684.029181574222,88397.51614808552,118397.51614808552,110000.0,0
2023-11-06,30000.0,684.029181574222,89129.81856825807,119129.81856825807,110000.0,0
2023-11-07,30000.0,684.029181574222,89773.93491428634,119773.93491428634,110000.0,0
2023-11-08,30000.0,684.029181574222,90357.07563655428,120357.07563655428,110000.0,0
2023-11-09,30000.0,684.029181574222,89292.5489602552,119292.5489602552,110000.0,0
2023-11-10,30000.0,684.029181574222,90899.5207140017,120899.5207140017,110000.0,0
2023-11-13,30000.0,684.029181574222,90614.74513737098,120614.74513737098,110000.0,0
2023-11-14,30000.0,684.029181574222,91828.43351157468,121828.43351157468,110000.0,0
2023-11-15,30000.0,684.029181574222,92472.6124823449,122472.6124823449,110000.0,0
2023-11-16,30000.0,684.029181574222,94045.67293831713,124045.67293831713,110000.0,0
2023-11-17,30000.0,684.029181574222,92852.2958554242,122852.2958554242,110000.0,0
2023-11-20,30000.0,684.029181574222,93516.78611750522,123516.78611750522,110000.0,0
2023-11-21,30000.0,684.029181574222,93991.41903686109,123991.41903686109,110000.0,0
2023-11-22,30000.0,684.029181574222,94940.68487557283,124940.68487557283,110000.0,0
2023-11-24,30000.0,684.029181574222,93720.21215432287,123720.21215432287,110000.0,0
2023-11-27,30000.0,684.029181574222,93604.94087927854,123604.94087927854,110000.0,0
2023-11-28,30000.0,684.029181574222,93991.41903686109,123991.41903686109,110000.0,0
2023-11-29,30000.0,684.029181574222,92486.13942660943,122486.13942660943,110000.0,0
2023-11-30,30000.0,684.029181574222,90804.59204263912,120804.59204263912,110000.0,0
2023-12-01,40000.0,684.029181574222,90397.76084391781,130397.76084391781,120000.0,0
2023-12-04,40000.0,684.029181574222,88573.81523417514,128573.81523417514,120000.0,0
2023-12-05,40000.0,684.029181574222,89767.17144215407,129767.17144215407,120000.0,0
2023-12-06,40000.0,684.029181574222,89116.22899925157,129116.22899925157,120000.0,0
2023-12-07,40000.0,684.029181574222,93876.15819927375,133876.15819927375,120000.0,0
2023-12-08,40000.0,684.029181574222,92648.88025606355,132648.88025606354,120000.0,0
2023-12-11,40000.0,684.029181574222,91333.45798853703,131333.45798853703,120000.0,0
2023-12-12,40000.0,684.029181574222,90614.74513737098,130614.74513737098,120000.0,0
2023-12-13,40000.0,684.029181574222,90838.4929029564,130838.4929029564,120000.0,0
2023-12-14,40000.0,684.029181574222,90316.37999173376,130316.37999173376,120000.0,0
2023-12-15,40000.0,684.029181574222,90750.33814118309,130750.33814118309,120000.0,0
2023-12-18,40000.0,684.029181574222,93021.82103192458,133021.82103192457,120000.0,0
2023-12-19,40000.0,684.029181574222,93638.84173959581,133638.8417395958,120000.0,0
2023-12-20,40000.0,684.029181574222,94696.61538121963,134696.61538121963,120000.0,0
2023-12-21,40000.0,684.029181574222,96147.62021510125,136147.62021510125,120000.0,0
2023-12-22,40000.0,684.029181574222,96771.43570727574,136771.43570727576,120000.0,0
2023-12-26,40000.0,684.029181574222,96839.26874028127,136839.2687402813,120000.0,0
2023-12-27,40000.0,684.029181574222,95903.54028329106,135903.54028329108,120000.0,0
2023-12-28,40000.0,684.029181574222,95795.04291783598,135795.042917836,120000.0,0
2023-12-29,40000.0,684.029181574222,95557.72645815805,135557.72645815805,120000.0,0
2024-01-02,50000.0,684.029181574222,94628.79278567107,144628.79278567107,130000.0,0
2024-01-03,50000.0,684.029181574222,95171.24830057549,145171.24830057548,130000.0,0
2024-01-04,50000.0,684.029181574222,93598.15653223229,143598.1565322323,130000.0,0
2024-01-05,50000.0,684.029181574222,93157.43491065069,143157.43491065069,130000.0,0
2024-01-08,50000.0,684.029181574222,95286.50913816283,145286.50913816283,130000.0,0
2024-01-09,50000.0,684.029181574222,96662.95921673464,146662.95921673463,130000.0,0
2024-01-10,50000.0,684.029181574222,97503.7276899913,147503.7276899913,130000.0,0
2024-01-11,50000.0,684.029181574222,97415.58336567499,147415.583365675,130000.0,0
2024-01-12,50000.0,684.029181574222,97802.08239817152,147802.08239817154,130000.0,0
2024-01-16,50000.0,684.029181574222,97693.58503271645,147693.58503271645,130000.0,0
2024-01-17,50000.0,684.029181574222,96886.69654486308,146886.69654486308,130000.0,0
2024-01-18,50000.0,684.029181574222,98310.60574038768,148310.6057403877,130000.0,0
2024-01-19,50000.0,684.029181574222,100331.19303990174,150331.19303990173,130000.0,0
2024-01-22,50000.0,684.029181574222,100154.91482872609,150154.9148287261,130000.0,0
2024-01-23,50000.0,684.029181574222,100812.62074376085,150812.62074376084,130000.0,0
2024-01-24,50000.0,684.029181574222,101944.98045306547,151944.98045306548,130000.0,0
2024-01-25,50000.0,684.029181574222,104175.74682407246,154175.74682407244,130000.0,0
2024-01-26,50000.0,684.029181574222,104277.4494050243,154277.4494050243,130000.0,0
2024-01-29,50000.0,684.029181574222,104989.41965897208,154989.41965897207,130000.0,0
2024-01-30,50000.0,684.029181574222,103775.7104098544,153775.7104098544,130000.0,0
2024-01-31,50000.0,684.029181574222,96147.62021510125,146147.62021510125,130000.0,0
2024-02-01,60000.0,684.029181574222,96764.67223514347,156764.6722351435,140000.0,0
2024-02-02,60000.0,684.029181574222,97327.43904135867,157327.43904135865,140000.0,0
2024-02-05,60000.0,684.029181574222,98269.93097048115,158269.93097048113,140000.0,0
2024-02-06,60000.0,684.029181574222,98595.40219193239,158595.40219193237,140000.0,0
2024-02-07,60000.0,684.029181574222,99456.5237063278,159456.5237063278,140000.0,0
2024-02-08,60000.0,684.029181574222,99822.66969768559,159822.66969768557,140000.0,0
2024-02-09,60000.0,684.029181574222,101856.81525383516,161856.81525383517,140000.0,0
2024-02-12,60000.0,684.029181574222,100846.52160407814,160846.52160407812,140000.0,0
2024-02-13,60000.0,684.029181574222,99246.33419737789,159246.3341973779,140000.0,0
2024-02-14,60000.0,684.029181574222,99768.43667114354,159768.43667114354,140000.0,0
2024-02-15,60000.0,684.029181574222,97598.66679881087,157598.66679881088,140000.0,0
2024-02-16,60000.0,684.029181574222,96120.48282691624,156120.48282691624,140000.0,0
2024-02-20,60000.0,684.029181574222,96418.85841001046,156418.85841001046,140000.0,0
2024-02-21,60000.0,684.029181574222,97530.84420326233,157530.84420326233,140000.0,0
2024-02-22,60000.0,684.029181574222,98534.3743808871,158534.37438088708,140000.0,0
2024-02-23,60000.0,684.029181574222,98514.03177720532,158514.03177720532,140000.0,0
2024-02-26,60000.0,684.029181574222,94079.5842360914,154079.5842360914,140000.0,0
2024-02-27,60000.0,684.029181574222,94994.95965194286,154994.95965194286,140000.0,0
2024-02-28,60000.0,684.029181574222,93184.56186137871,153184.56186137872,140000.0,0
2024-02-29,60000.0,684.029181574222,94777.96492103269,154777.9649210327,140000.0,0
2024-03-01,70000.0,684.029181574222,93625.28348296031,163625.2834829603,150000.0,0
2024-03-04,70000.0,684.029181574222,90994.44938536426,160994.44938536425,150000.0,0
2024-03-05,70000.0,684.029181574222,90709.66337127655,160709.66337127655,150000.0,0
2024-03-06,70000.0,684.029181574222,89882.44271719841,159882.4427171984,150000.0,0
2024-03-07,70000.0,684.029181574222,91699.61441735181,161699.6144173518,150000.0,0
2024-03-08,70000.0,684.029181574222,92411.56379638561,162411.5637963856,150000.0,0
2024-03-11,70000.0,684.029181574222,94208.40333031425,164208.40333031426,150000.0,0
