date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,67.37827108331066,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,67.37827108331066,5924.888055052087,9924.888055052088,10000.0,0
2023-01-05,4000.0,67.37827108331066,5795.316275780258,9795.316275780258,10000.0,0
2023-01-06,4000.0,67.37827108331066,5888.154683355072,9888.154683355071,10000.0,0
2023-01-09,4000.0,67.37827108331066,5930.900447161694,9930.900447161694,10000.0,0
2023-01-10,4000.0,67.37827108331066,5960.286424841728,9960.286424841728,10000.0,0
2023-01-11,4000.0,67.37827108331066,6161.990459655625,10161.990459655626,10000.0,0
2023-01-12,4000.0,67.37827108331066,6138.614817863548,10138.614817863549,10000.0,0
2023-01-13,4000.0,67.37827108331066,6198.057101482074,10198.057101482074,10000.0,0
2023-01-17,4000.0,67.37827108331066,6155.311851730864,10155.311851730865,10000.0,0
2023-01-18,4000.0,67.37827108331066,6129.931393828366,10129.931393828367,10000.0,0
2023-01-19,4000.0,67.37827108331066,6272.19365907915,10272.19365907915,10000.0,0
2023-01-20,4000.0,67.37827108331066,6630.852690956144,10630.852690956144,10000.0,0
2023-01-23,4000.0,67.37827108331066,6759.756198191166,10759.756198191166,10000.0,0
2023-01-24,4000.0,67.37827108331066,6626.177356975561,10626.17735697556,10000.0,0
2023-01-25,4000.0,67.37827108331066,6460.539449932699,10460.5394499327,10000.0,0
2023-01-26,4000.0,67.37827108331066,6622.837538957769,10622.837538957769,10000.0,0
2023-01-27,4000.0,67.37827108331066,6726.361616401118,10726.361616401118,10000.0,0
2023-01-30,4000.0,67.37827108331066,6542.02237343593,10542.02237343593,10000.0,0
2023-01-31,4000.0,67.37827108331066,6670.258122689559,10670.25812268956,10000.0,0
2023-02-01,8000.0,126.96450493272641,12765.459932820504,20765.459932820504,20000.0,0
2023-02-02,0.0,201.0310703716023,21681.024252113115,21681.024252113115,20000.0,1
2023-02-03,0.0,201.0310703716023,20967.62560925045,20967.62560925045,20000.0,0
2023-02-06,0.0,201.0310703716023,20618.8963955247,20618.8963955247,20000.0,0
2023-02-07,0.0,201.0310703716023,21529.57610138089,21529.57610138089,20000.0,0
2023-02-08,0.0,201.0310703716023,19927.41497369788,19927.41497369788,20000.0,0
2023-02-09,0.0,201.0310703716023,19022.709205975665,19022.709205975665,20000.0,0
2023-02-10,0.0,201.0310703716023,18903.143019811123,18903.143019811123,20000.0,0
2023-02-13,0.0,201.0310703716023,18931.041847707693,18931.041847707693,20000.0,0
2023-02-14,0.0,201.0310703716023,18921.07863792121,18921.07863792121,20000.0,0
2023-02-15,0.0,201.0310703716023,19349.518131174875,19349.518131174875,20000.0,0
2023-02-16,0.0,201.0310703716023,19086.47620260172,19086.47620260172,20000.0,0
2023-02-17,0.0,201.0310703716023,18849.339232971557,18849.339232971557,20000.0,0
2023-02-21,0.0,201.0310703716023,18343.183329143554,18343.183329143554,20000.0,0
2023-02-22,0.0,201.0310703716023,18293.36421272044,18293.36421272044,20000.0,0
2023-02-23,0.0,201.0310703716023,18147.8961351036,18147.8961351036,20000.0,0
2023-02-24,0.0,201.0310703716023,17805.14392700253,17805.14392700253,20000.0,0
2023-02-27,0.0,201.0310703716023,17954.599742526523,17954.599742526523,20000.0,0
2023-02-28,0.0,201.0310703716023,17994.455649163152,17994.455649163152,20000.0,0
2023-03-01,4000.0,267.80635085263737,24027.314379769625,28027.314379769625,30000.0,0
2023-03-02,4000.0,267.80635085263737,24505.149463147485,28505.149463147485,30000.0,0
2023-03-03,4000.0,267.80635085263737,24959.09749171716,28959.09749171716,30000.0,0
2023-03-06,4000.0,267.80635085263737,25373.22354627166,29373.22354627166,30000.0,0
2023-03-07,4000.0,267.80635085263737,24998.91333613142,28998.91333613142,30000.0,0
2023-03-08,4000.0,267.80635085263737,25126.339566579383,29126.339566579383,30000.0,0
2023-03-09,4000.0,267.80635085263737,24598.066040382706,28598.066040382706,30000.0,0
2023-03-10,4000.0,267.80635085263737,24160.0468014191,28160.0468014191,30000.0,0
2023-03-13,4000.0,267.80635085263737,24332.59711068314,28332.59711068314,30000.0,0
2023-03-14,4000.0,267.80635085263737,25020.154446539927,29020.154446539927,30000.0,0
2023-03-15,4000.0,267.80635085263737,25630.72603796788,29630.72603796788,30000.0,0
2023-03-16,4000.0,267.80635085263737,26830.630153615584,30830.630153615584,30000.0,0
2023-03-17,4000.0,267.80635085263737,27199.628042953387,31199.628042953387,30000.0,0
2023-03-20,4000.0,267.80635085263737,27058.931226500878,31058.931226500878,30000.0,0
2023-03-21,4000.0,267.80635085263737,28096.903544888486,32096.903544888486,30000.0,0
2023-03-22,4000.0,267.80635085263737,27666.848700727922,31666.848700727922,30000.0,0
2023-03-23,4000.0,267.80635085263737,28208.39689932976,32208.39689932976,30000.0,0
2023-03-24,4000.0,267.80635085263737,28155.304339310034,32155.304339310034,30000.0,0
2023-03-27,4000.0,267.80635085263737,27358.90367981226,31358.90367981226,30000.0,0
2023-03-28,4000.0,267.80635085263737,26907.613854844112,30907.613854844112,30000.0,0
2023-03-29,4000.0,267.80635085263737,27050.96683169784,31050.96683169784,30000.0,0
2023-03-30,4000.0,267.80635085263737,26896.997386040475,30896.997386040475,30000.0,0
