date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,387.3893879209934,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,387.3893879209934,10339.891424616277,10339.891424616277,10000.0,1
2023-01-05,0.0,387.3893879209934,10295.063173416238,10295.063173416238,10000.0,1
2023-01-06,0.0,387.3893879209934,10732.119781007834,10732.119781007834,10000.0,1
2023-01-09,0.0,387.3893879209934,10948.779071099814,10948.779071099814,10000.0,1
2023-01-10,0.0,387.3893879209934,10997.34091638777,10997.34091638777,10000.0,1
2023-01-11,0.0,387.3893879209934,11150.496595973946,11150.496595973946,10000.0,1
2023-01-12,0.0,387.3893879209934,11314.858230030199,11314.858230030199,10000.0,1
2023-01-13,0.0,387.3893879209934,11247.620286549854,11247.620286549854,10000.0,1
2023-01-17,0.0,387.3893879209934,11057.108716145807,11057.108716145807,10000.0,1
2023-01-18,0.0,387.3893879209934,10762.002572556923,10762.002572556923,10000.0,1
2023-01-19,0.0,387.3893879209934,10616.318514466297,10616.318514466297,10000.0,1
2023-01-20,0.0,387.3893879209934,10915.159729916335,10915.159729916335,10000.0,1
2023-01-23,0.0,387.3893879209934,11307.38882519451,11307.38882519451,10000.0,1
2023-01-24,0.0,387.3893879209934,11176.645054548499,11176.645054548499,10000.0,1
2023-01-25,0.0,387.3893879209934,11094.463868077062,11094.463868077062,10000.0,1
2023-01-26,0.0,387.3893879209934,11240.148665054308,11240.148665054308,10000.0,1
2023-01-27,0.0,387.3893879209934,10519.194823890386,10519.194823890386,10000.0,1
2023-01-30,0.0,387.3893879209934,10440.750925939961,10440.750925939961,10000.0,1
2023-01-31,0.0,387.3893879209934,10556.55071470826,10556.55071470826,10000.0,1
2023-02-01,0.0,743.5956968198523,20844.14522217543,20844.14522217543,20000.0,1
2023-02-02,0.0,743.5956968198523,21647.22142652784,21647.22142652784,20000.0,1
2023-02-03,0.0,743.5956968198523,21740.4361100264,21740.4361100264,20000.0,1
2023-02-06,0.0,743.5956968198523,20822.336080959154,20822.336080959154,20000.0,1
2023-02-07,0.0,743.5956968198523,21083.61319520258,21083.61319520258,20000.0,1
2023-02-08,0.0,743.5956968198523,20495.739333580816,20495.739333580816,20000.0,1
2023-02-09,0.0,743.5956968198523,20125.595218581708,20125.595218581708,20000.0,1
2023-02-10,0.0,743.5956968198523,20176.39858974429,20176.39858974429,20000.0,1
2023-02-13,0.0,743.5956968198523,20720.72792033776,20720.72792033776,20000.0,1
2023-02-14,0.0,743.5956968198523,20786.047553472672,20786.047553472672,20000.0,1
2023-02-15,0.0,743.5956968198523,20938.45908525665,20938.45908525665,20000.0,1
2023-02-16,0.0,743.5956968198523,20466.708227932384,20466.708227932384,20000.0,1
2023-02-17,0.0,743.5956968198523,20038.503319932643,20038.503319932643,20000.0,1
2023-02-21,0.0,743.5956968198523,18913.560386147936,18913.560386147936,20000.0,1
2023-02-22,0.0,743.5956968198523,18485.35831474067,18485.35831474067,20000.0,1
2023-02-23,0.0,743.5956968198523,18586.963638769594,18586.963638769594,20000.0,1
2023-02-24,0.0,743.5956968198523,18245.852047715158,18245.852047715158,20000.0,1
2023-02-27,0.0,743.5956968198523,18071.66966871327,18071.66966871327,20000.0,1
2023-02-28,0.0,743.5956968198523,18093.440515931183,18093.440515931183,20000.0,1
2023-03-01,0.0,1147.4750218932368,28368.766217092394,28368.766217092394,30000.0,1
2023-03-02,0.0,1147.4750218932368,29343.135537717244,29343.135537717244,30000.0,1
2023-03-03,0.0,1147.4750218932368,29567.1335666454,29567.1335666454,30000.0,1
2023-03-06,0.0,1147.4750218932368,29107.942641202982,29107.942641202982,30000.0,1
2023-03-07,0.0,1147.4750218932368,28592.759868750723,28592.759868750723,30000.0,1
2023-03-08,0.0,1147.4750218932368,29096.741207712133,29096.741207712133,30000.0,1
2023-03-09,0.0,1147.4750218932368,29611.93273470405,29611.93273470405,30000.0,1
2023-03-10,0.0,1147.4750218932368,30485.504474355665,30485.504474355665,30000.0,1
2023-03-13,0.0,1147.4750218932368,30183.111731435973,30183.111731435973,30000.0,1
2023-03-14,0.0,1147.4750218932368,31370.27764749813,31370.27764749813,30000.0,1
2023-03-15,0.0,1147.4750218932368,31818.264950814784,31818.264950814784,30000.0,1
2023-03-16,0.0,1147.4750218932368,33800.6057039021,33800.6057039021,30000.0,1
2023-03-17,0.0,1147.4750218932368,33386.21832378816,33386.21832378816,30000.0,1
2023-03-20,0.0,1147.4750218932368,32658.2389558986,32658.2389558986,30000.0,1
2023-03-21,0.0,1147.4750218932368,31874.263363729366,31874.263363729366,30000.0,1
2023-03-22,0.0,1147.4750218932368,31504.67296303916,31504.67296303916,30000.0,1
2023-03-23,0.0,1147.4750218932368,32512.644395501637,32512.644395501637,30000.0,1
2023-03-24,0.0,1147.4750218932368,32882.23260755693,32882.23260755693,30000.0,1
2023-03-27,0.0,1147.4750218932368,32680.641822880294,32680.641822880294,30000.0,1
2023-03-28,0.0,1147.4750218932368,32803.83789356539,32803.83789356539,30000.0,1
2023-03-29,0.0,1147.4750218932368,35301.363607739884,35301.363607739884,30000.0,1
2023-03-30,0.0,1147.4750218932368,35939.74245087724,35939.74245087724,30000.0,1
2023-03-31,0.0,1147.4750218932368,36589.32491614036,36589.32491614036,30000.0,1
2023-04-03,0.0,1458.519837874397,46820.732350144994,46820.732350144994,40000.0,1
2023-04-04,0.0,1458.519837874397,47119.67594942246,47119.67594942246,40000.0,1
2023-04-05,0.0,1458.519837874397,46735.327841510916,46735.327841510916,40000.0,1
2023-04-06,0.0,1458.519837874397,46706.85225355071,46706.85225355071,40000.0,1
2023-04-10,0.0,1458.519837874397,46294.01743005568,46294.01743005568,40000.0,1
2023-04-11,0.0,1458.519837874397,46052.01109716954,46052.01109716954,40000.0,1
2023-04-12,0.0,1458.519837874397,45582.24735300065,45582.24735300065,40000.0,1
2023-04-13,0.0,1458.519837874397,45738.832485817795,45738.832485817795,40000.0,1
2023-04-14,0.0,1458.519837874397,45397.18385031747,45397.18385031747,40000.0,1
2023-04-17,0.0,1458.519837874397,45753.06749789208,45753.06749789208,40000.0,1
2023-04-18,0.0,1458.519837874397,45311.7654321543,45311.7654321543,40000.0,1
2023-04-19,0.0,1458.519837874397,44343.75122823302,44343.75122823302,40000.0,1
2023-04-20,0.0,1458.519837874397,43930.91918664382,43930.91918664382,40000.0,1
2023-04-21,0.0,1458.519837874397,43133.72512761397,43133.72512761397,40000.0,1
2023-04-24,0.0,1458.519837874397,42222.65097198984,42222.65097198984,40000.0,1
2023-04-25,0.0,1458.519837874397,41112.27551970242,41112.27551970242,40000.0,1
2023-04-26,0.0,1458.519837874397,41354.28463449438,41354.28463449438,40000.0,1
2023-04-27,0.0,1458.519837874397,42507.36234109884,42507.36234109884,40000.0,1
2023-04-28,0.0,1458.519837874397,44215.627773846994,44215.627773846994,40000.0,1
2023-05-01,0.0,1796.1523060849995,53118.74260888332,53118.74260888332,50000.0,1
2023-05-02,0.0,1796.1523060849995,52189.607349382226,52189.607349382226,50000.0,1
2023-05-03,0.0,1796.1523060849995,53732.32954292863,53732.32954292863,50000.0,1
2023-05-04,0.0,1796.1523060849995,54990.92223578558,54990.92223578558,50000.0,1
2023-05-05,0.0,1796.1523060849995,54550.85656162646,54550.85656162646,50000.0,1
2023-05-08,0.0,1796.1523060849995,54163.59753504652,54163.59753504652,50000.0,1
2023-05-09,0.0,1796.1523060849995,52984.21481355834,52984.21481355834,50000.0,1
