date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,232.43363275259603,5991.0104887616135,9991.010488761614,10000.0,0
2023-01-04,4000.0,232.43363275259603,6203.934854769766,10203.934854769766,10000.0,0
2023-01-05,4000.0,232.43363275259603,6177.037904049743,10177.037904049743,10000.0,0
2023-01-06,4000.0,232.43363275259603,6439.2718686047,10439.271868604701,10000.0,0
2023-01-09,4000.0,232.43363275259603,6569.267442659889,10569.26744265989,10000.0,0
2023-01-10,4000.0,232.43363275259603,6598.404549832662,10598.404549832663,10000.0,0
2023-01-11,4000.0,232.43363275259603,6690.2979575843665,10690.297957584367,10000.0,0
2023-01-12,4000.0,232.43363275259603,6788.914938018119,10788.914938018119,10000.0,0
2023-01-13,4000.0,232.43363275259603,6748.572171929913,10748.572171929913,10000.0,0
2023-01-17,4000.0,232.43363275259603,6634.265229687485,10634.265229687484,10000.0,0
2023-01-18,4000.0,232.43363275259603,6457.201543534154,10457.201543534153,10000.0,0
2023-01-19,4000.0,232.43363275259603,6369.791108679778,10369.791108679778,10000.0,0
2023-01-20,4000.0,232.43363275259603,6549.095837949801,10549.0958379498,10000.0,0
2023-01-23,4000.0,232.43363275259603,6784.433295116706,10784.433295116705,10000.0,0
2023-01-24,4000.0,232.43363275259603,6705.987032729099,10705.9870327291,10000.0,0
2023-01-25,4000.0,232.43363275259603,6656.6783208462375,10656.678320846237,10000.0,0
2023-01-26,4000.0,232.43363275259603,6744.089199032585,10744.089199032585,10000.0,0
2023-01-27,4000.0,232.43363275259603,6311.516894334231,10311.516894334232,10000.0,0
2023-01-30,4000.0,232.43363275259603,6264.450555563976,10264.450555563977,10000.0,0
2023-01-31,4000.0,232.43363275259603,6333.930428824956,10333.930428824955,10000.0,0
2023-02-01,8000.0,446.1574180919113,12506.487133305258,20506.487133305258,20000.0,0
2023-02-02,8000.0,446.1574180919113,12988.332855916706,20988.332855916706,20000.0,0
2023-02-03,8000.0,446.1574180919113,13044.261666015838,21044.26166601584,20000.0,0
