date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,149.39013856318326,5991.0104887616135,9991.010488761614,10000.0,0
2023-01-04,4000.0,149.39013856318326,6109.008319383775,10109.008319383775,10000.0,0
2023-01-05,4000.0,149.39013856318326,6030.921905213154,10030.921905213154,10000.0,0
2023-01-06,4000.0,149.39013856318326,6438.854934147597,10438.854934147597,10000.0,0
2023-01-09,4000.0,149.39013856318326,6542.391536756988,10542.391536756988,10000.0,0
2023-01-10,4000.0,149.39013856318326,6631.758119089838,10631.758119089838,10000.0,0
2023-01-11,4000.0,149.39013856318326,6714.039406345341,10714.039406345342,10000.0,0
2023-01-12,4000.0,149.39013856318326,6797.043299098961,10797.043299098961,10000.0,0
2023-01-13,4000.0,149.39013856318326,6849.534205901772,10849.534205901771,10000.0,0
2023-01-17,4000.0,149.39013856318326,6810.780211979155,10810.780211979156,10000.0,0
2023-01-18,4000.0,149.39013856318326,6751.490658809999,10751.490658809998,10000.0,0
2023-01-19,4000.0,149.39013856318326,6563.503812694451,10563.503812694451,10000.0,0
2023-01-20,4000.0,149.39013856318326,6832.61452353658,10832.61452353658,10000.0,0
2023-01-23,4000.0,149.39013856318326,7096.954214481055,11096.954214481055,10000.0,0
2023-01-24,4000.0,149.39013856318326,7049.523825677667,11049.523825677668,10000.0,0
2023-01-25,4000.0,149.39013856318326,7062.538133059745,11062.538133059745,10000.0,0
2023-01-26,4000.0,149.39013856318326,7197.74571402702,11197.74571402702,10000.0,0
2023-01-27,4000.0,149.39013856318326,6982.7147302785115,10982.714730278512,10000.0,0
2023-01-30,4000.0,149.39013856318326,6921.258500371315,10921.258500371314,10000.0,0
2023-01-31,4000.0,149.39013856318326,7231.727548295676,11231.727548295676,10000.0,0
2023-02-01,8000.0,266.11085375461323,13658.868637006544,21658.868637006544,20000.0,0
2023-02-02,8000.0,266.11085375461323,13936.54793897812,21936.547938978118,20000.0,0
2023-02-03,8000.0,266.11085375461323,13632.84977984184,21632.84977984184,20000.0,0
2023-02-06,8000.0,266.11085375461323,13419.052756414794,21419.052756414792,20000.0,0
2023-02-07,8000.0,266.11085375461323,13735.626854229908,21735.626854229908,20000.0,0
2023-02-08,8000.0,266.11085375461323,13340.744432098829,21340.74443209883,20000.0,0
2023-02-09,8000.0,266.11085375461323,13279.18376122999,21279.18376122999,20000.0,0
2023-02-10,8000.0,266.11085375461323,13008.199257081407,21008.199257081407,20000.0,0
2023-02-13,8000.0,266.11085375461323,13144.463517304961,21144.46351730496,20000.0,0
2023-02-14,8000.0,266.11085375461323,13296.954668082057,21296.954668082057,20000.0,0
2023-02-15,8000.0,266.11085375461323,13402.052335013472,21402.05233501347,20000.0,0
2023-02-16,8000.0,266.11085375461323,12913.664042211902,20913.6640422119,20000.0,0
2023-02-17,8000.0,266.11085375461323,12767.61187590657,20767.611875906572,20000.0,0
2023-02-21,8000.0,266.11085375461323,12320.182143008304,20320.182143008304,20000.0,0
2023-02-22,8000.0,266.11085375461323,12293.135971909272,20293.135971909272,20000.0,0
2023-02-23,8000.0,266.11085375461323,12502.811558010864,20502.811558010864,20000.0,0
2023-02-24,8000.0,266.11085375461323,12328.424002526865,20328.424002526866,20000.0,0
2023-02-27,8000.0,266.11085375461323,12434.033296160751,20434.03329616075,20000.0,0
2023-02-28,8000.0,266.11085375461323,12519.040478829096,20519.040478829098,20000.0,0
2023-03-01,12000.0,392.18502415486046,18636.52630660014,30636.52630660014,30000.0,0
2023-03-02,12000.0,392.18502415486046,18600.842113194445,30600.842113194445,30000.0,0
2023-03-03,12000.0,392.18502415486046,18664.23496608642,30664.23496608642,30000.0,0
2023-03-06,12000.0,392.18502415486046,18420.13814771147,30420.13814771147,30000.0,0
2023-03-07,12000.0,392.18502415486046,18209.06850750288,30209.06850750288,30000.0,0
2023-03-08,12000.0,392.18502415486046,18730.675307741072,30730.675307741072,30000.0,0
2023-03-09,12000.0,392.18502415486046,18612.23167232565,30612.23167232565,30000.0,0
2023-03-10,12000.0,392.18502415486046,18177.1798364295,30177.1798364295,30000.0,0
2023-03-13,12000.0,392.18502415486046,18108.088463804073,30108.088463804073,30000.0,0
2023-03-14,12000.0,392.18502415486046,18820.753510196075,30820.753510196075,30000.0,0
2023-03-15,12000.0,392.18502415486046,18556.720101123312,30556.720101123312,30000.0,0
2023-03-16,12000.0,392.18502415486046,19628.8586636702,31628.8586636702,30000.0,0
2023-03-17,12000.0,392.18502415486046,19368.634241533997,31368.634241533997,30000.0,0
2023-03-20,12000.0,392.18502415486046,19556.469959069836,31556.469959069836,30000.0,0
2023-03-21,12000.0,392.18502415486046,19330.536891832675,31330.536891832675,30000.0,0
2023-03-22,12000.0,392.18502415486046,19290.15055940828,31290.15055940828,30000.0,0
2023-03-23,12000.0,392.18502415486046,19948.90333036982,31948.90333036982,30000.0,0
2023-03-24,12000.0,392.18502415486046,19128.602237576426,31128.602237576426,30000.0,0
2023-03-27,12000.0,392.18502415486046,18888.95173073936,30888.95173073936,30000.0,0
2023-03-28,12000.0,392.18502415486046,18481.660916679368,30481.660916679368,30000.0,0
2023-03-29,12000.0,392.18502415486046,19650.197069277503,31650.197069277503,30000.0,0
2023-03-30,12000.0,392.18502415486046,20244.940607685687,32244.940607685687,30000.0,0
2023-03-31,12000.0,392.18502415486046,20197.69779956205,32197.69779956205,30000.0,0
2023-04-03,16000.0,510.43492590105984,25860.664150630415,41860.664150630415,40000.0,0
2023-04-04,16000.0,510.43492590105984,25006.756974270942,41006.756974270946,40000.0,0
2023-04-05,16000.0,510.43492590105984,24470.71501669826,40470.71501669826,40000.0,0
2023-04-06,16000.0,510.43492590105984,24486.08390887255,40486.08390887255,40000.0,0
2023-04-10,16000.0,510.43492590105984,25163.950774502846,41163.950774502846,40000.0,0
2023-04-11,16000.0,510.43492590105984,25166.433396765893,41166.43339676589,40000.0,0
2023-04-12,16000.0,510.43492590105984,24648.729742309577,40648.72974230957,40000.0,0
2023-04-13,16000.0,510.43492590105984,24712.205038900185,40712.20503890018,40000.0,0
2023-04-14,16000.0,510.43492590105984,24835.676066603708,40835.67606660371,40000.0,0
2023-04-17,16000.0,510.43492590105984,24430.048690452215,40430.04869045221,40000.0,0
2023-04-18,16000.0,510.43492590105984,24564.431573184844,40564.43157318485,40000.0,0
2023-04-19,16000.0,510.43492590105984,24348.72772088842,40348.72772088842,40000.0,0
2023-04-20,16000.0,510.43492590105984,26109.099673704713,42109.09967370471,40000.0,0
2023-04-21,16000.0,510.43492590105984,25646.444030227667,41646.44403022766,40000.0,0
2023-04-24,16000.0,510.43492590105984,25507.101744433097,41507.101744433094,40000.0,0
2023-04-25,16000.0,510.43492590105984,24780.13737263598,40780.13737263598,40000.0,0
2023-04-26,16000.0,510.43492590105984,24665.09947200795,40665.09947200795,40000.0,0
2023-04-27,16000.0,510.43492590105984,25730.7421993524,41730.742199352404,40000.0,0
2023-04-28,16000.0,510.43492590105984,25988.107373954805,41988.1073739548,40000.0,0
2023-05-01,20000.0,628.1611286284361,31966.71448717477,51966.71448717477,50000.0,0
2023-05-02,20000.0,628.1611286284361,31847.714587086204,51847.7145870862,50000.0,0
2023-05-03,20000.0,628.1611286284361,31400.405222606383,51400.40522260638,50000.0,0
2023-05-04,20000.0,628.1611286284361,31259.436552577383,51259.43655257738,50000.0,0
2023-05-05,20000.0,628.1611286284361,32328.597733812476,52328.59773381248,50000.0,0
2023-05-08,20000.0,628.1611286284361,32147.352985559344,52147.352985559344,50000.0,0
2023-05-09,20000.0,628.1611286284361,31474.85174796736,51474.85174796736,50000.0,0
2023-05-10,20000.0,628.1611286284361,32178.473013397088,52178.47301339709,50000.0,0
2023-05-11,20000.0,628.1611286284361,32189.45979461185,52189.459794611845,50000.0,0
2023-05-12,20000.0,628.1611286284361,32166.27133620068,52166.271336200676,50000.0,0
2023-05-15,20000.0,628.1611286284361,33702.268878670024,53702.268878670024,50000.0,0
2023-05-16,20000.0,628.1611286284361,34108.6983113017,54108.6983113017,50000.0,0
2023-05-17,20000.0,628.1611286284361,35035.05290294581,55035.05290294581,50000.0,0
2023-05-18,20000.0,628.1611286284361,36538.09968674904,56538.09968674904,50000.0,0
2023-05-19,20000.0,628.1611286284361,35935.17340936872,55935.17340936872,50000.0,0
2023-05-22,20000.0,628.1611286284361,35703.88549014743,55703.88549014743,50000.0,0
2023-05-23,20000.0,628.1611286284361,34997.21859790768,54997.21859790768,50000.0,0
2023-05-24,20000.0,628.1611286284361,34532.21057125726,54532.21057125726,50000.0,0
2023-05-25,20000.0,628.1611286284361,36743.14153952644,56743.14153952644,50000.0,0
2023-05-26,20000.0,628.1611286284361,38338.94455321889,58338.94455321889,50000.0,0
2023-05-30,20000.0,628.1611286284361,38443.301002925036,58443.301002925036,50000.0,0
2023-05-31,20000.0,628.1611286284361,37634.10599556297,57634.10599556297,50000.0,0
2023-06-01,24000.0,727.6489353685985,43817.95665990556,67817.95665990555,60000.0,0
2023-06-02,24000.0,727.6489353685985,43380.38023828471,67380.3802382847,60000.0,0
2023-06-05,24000.0,727.6489353685985,42810.627657742116,66810.62765774212,60000.0,0
2023-06-06,24000.0,727.6489353685985,43276.47519907858,67276.47519907859,60000.0,0
2023-06-07,24000.0,727.6489353685985,43176.09537558563,67176.09537558563,60000.0,0
2023-06-08,24000.0,727.6489353685985,43441.879985797634,67441.87998579763,60000.0,0
2023-06-09,24000.0,727.6489353685985,42879.89953438648,66879.89953438648,60000.0,0
2023-06-12,24000.0,727.6489353685985,44360.1514911564,68360.1514911564,60000.0,0
2023-06-13,24000.0,727.6489353685985,44341.35959322074,68341.35959322074,60000.0,0
2023-06-14,24000.0,727.6489353685985,44659.63383267399,68659.633832674,60000.0,0
2023-06-15,24000.0,727.6489353685985,44019.54348349187,68019.54348349187,60000.0,0
