date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,42.863671060392484,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,42.863671060392484,9548.240492802615,9548.240492802615,10000.0,1
2023-01-05,0.0,42.863671060392484,9265.253667886538,9265.253667886538,10000.0,1
2023-01-06,0.0,42.863671060392484,9374.447587979366,9374.447587979366,10000.0,1
2023-01-09,0.0,42.863671060392484,9465.719946629237,9465.719946629237,10000.0,1
2023-01-10,0.0,42.863671060392484,9537.822820795627,9537.822820795627,10000.0,1
2023-01-11,0.0,42.863671060392484,9826.227122936332,9826.227122936332,10000.0,1
2023-01-12,0.0,42.863671060392484,9940.421891859236,9940.421891859236,10000.0,1
2023-01-13,0.0,42.863671060392484,9970.430255078258,9970.430255078258,10000.0,1
2023-01-17,0.0,42.863671060392484,10017.109640508865,10017.109640508865,10000.0,1
2023-01-18,0.0,42.863671060392484,9827.894290562263,9827.894290562263,10000.0,1
2023-01-19,0.0,42.863671060392484,9666.186879419647,9666.186879419647,10000.0,1
2023-01-20,0.0,42.863671060392484,10011.690855188805,10011.690855188805,10000.0,1
2023-01-23,0.0,42.863671060392484,10110.050474880092,10110.050474880092,10000.0,1
2023-01-24,0.0,42.863671060392484,10087.543384906183,10087.543384906183,10000.0,1
2023-01-25,0.0,42.863671060392484,10027.945249005836,10027.945249005836,10000.0,1
2023-01-26,0.0,42.863671060392484,10335.940242358576,10335.940242358576,10000.0,1
2023-01-27,0.0,42.863671060392484,10342.608912862297,10342.608912862297,10000.0,1
2023-01-30,0.0,42.863671060392484,10115.468606152437,10115.468606152437,10000.0,1
2023-01-31,0.0,42.863671060392484,10328.020378575766,10328.020378575766,10000.0,1
2023-02-01,0.0,83.49385396643865,20518.922923907874,20518.922923907874,20000.0,1
2023-02-02,0.0,83.49385396643865,21480.941922334536,21480.941922334536,20000.0,1
2023-02-03,0.0,83.49385396643865,20973.548844297493,20973.548844297493,20000.0,1
2023-02-06,0.0,83.49385396643865,20845.281003456716,20845.281003456716,20000.0,1
2023-02-07,0.0,83.49385396643865,21721.241555509183,21721.241555509183,20000.0,1
2023-02-08,0.0,83.49385396643865,21653.856348539077,21653.856348539077,20000.0,1
2023-02-09,0.0,83.49385396643865,21401.377130954043,21401.377130954043,20000.0,1
2023-02-10,0.0,83.49385396643865,21359.16391444214,21359.16391444214,20000.0,1
2023-02-13,0.0,83.49385396643865,22026.48793074165,22026.48793074165,20000.0,1
2023-02-14,0.0,83.49385396643865,22095.49113689598,22095.49113689598,20000.0,1
2023-02-15,0.0,83.49385396643865,21918.88461491515,21918.88461491515,20000.0,1
2023-02-16,0.0,83.49385396643865,21335.34875007149,21335.34875007149,20000.0,1
2023-02-17,0.0,83.49385396643865,21002.47790530237,21002.47790530237,20000.0,1
2023-02-21,0.0,83.49385396643865,20563.8064760813,20563.8064760813,20000.0,1
2023-02-22,0.0,83.49385396643865,20469.398134704425,20469.398134704425,20000.0,1
2023-02-23,0.0,83.49385396643865,20734.716876524595,20734.716876524595,20000.0,1
2023-02-24,0.0,83.49385396643865,20283.02628693849,20283.02628693849,20000.0,1
2023-02-27,0.0,83.49385396643865,20359.52962002001,20359.52962002001,20000.0,1
2023-02-28,0.0,83.49385396643865,20299.301829913667,20299.301829913667,20000.0,1
2023-03-01,0.0,125.08893541565548,30027.954347525632,30027.954347525632,30000.0,1
2023-03-02,0.0,125.08893541565548,30618.101330471807,30618.101330471807,30000.0,1
2023-03-03,0.0,125.08893541565548,31127.771555850675,31127.771555850675,30000.0,1
2023-03-06,0.0,125.08893541565548,31320.42294620573,31320.42294620573,30000.0,1
2023-03-07,0.0,125.08893541565548,30988.770064736706,30988.770064736706,30000.0,1
2023-03-08,0.0,125.08893541565548,30933.902411272073,30933.902411272073,30000.0,1
2023-03-09,0.0,125.08893541565548,30765.638553384768,30765.638553384768,30000.0,1
2023-03-10,0.0,125.08893541565548,30310.83407276485,30310.83407276485,30000.0,1
2023-03-13,0.0,125.08893541565548,30960.723543481254,30960.723543481254,30000.0,1
2023-03-14,0.0,125.08893541565548,31798.399113775507,31798.399113775507,30000.0,1
2023-03-15,0.0,125.08893541565548,32365.372501066136,32365.372501066136,30000.0,1
2023-03-16,0.0,125.08893541565548,33677.35188920269,33677.35188920269,30000.0,1
2023-03-17,0.0,125.08893541565548,34071.18276688906,34071.18276688906,30000.0,1
2023-03-20,0.0,125.08893541565548,33193.28504180944,33193.28504180944,30000.0,1
2023-03-21,0.0,125.08893541565548,33382.27362596541,33382.27362596541,30000.0,1
2023-03-22,0.0,125.08893541565548,33200.59920197351,33200.59920197351,30000.0,1
2023-03-23,0.0,125.08893541565548,33855.36923311256,33855.36923311256,30000.0,1
2023-03-24,0.0,125.08893541565548,34210.186166708714,34210.186166708714,30000.0,1
2023-03-27,0.0,125.08893541565548,33699.30200451764,33699.30200451764,30000.0,1
2023-03-28,0.0,125.08893541565548,33559.08085047443,33559.08085047443,30000.0,1
2023-03-29,0.0,125.08893541565548,34202.875823956,34202.875823956,30000.0,1
2023-03-30,0.0,125.08893541565548,34634.514343743096,34634.514343743096,30000.0,1
2023-03-31,0.0,125.08893541565548,35152.70884868688,35152.70884868688,30000.0,1
2023-04-03,0.0,160.75240971957146,45007.27011416967,45007.27011416967,40000.0,1
2023-04-04,0.0,160.75240971957146,44999.425781188045,44999.425781188045,40000.0,1
2023-04-05,0.0,160.75240971957146,44554.413189925785,44554.413189925785,40000.0,1
2023-04-06,0.0,160.75240971957146,45692.02789168057,45692.02789168057,40000.0,1
2023-04-10,0.0,160.75240971957146,45345.724383547196,45345.724383547196,40000.0,1
2023-04-11,0.0,160.75240971957146,44317.80769917948,44317.80769917948,40000.0,1
2023-04-12,0.0,160.75240971957146,44421.22141978765,44421.22141978765,40000.0,1
2023-04-13,0.0,160.75240971957146,45416.23998221996,45416.23998221996,40000.0,1
2023-04-14,0.0,160.75240971957146,44836.47067884262,44836.47067884262,40000.0,1
2023-04-17,0.0,160.75240971957146,45253.26525677764,45253.26525677764,40000.0,1
2023-04-18,0.0,160.75240971957146,45185.89916515566,45185.89916515566,40000.0,1
2023-04-19,0.0,160.75240971957146,45198.433418293884,45198.433418293884,40000.0,1
2023-04-20,0.0,160.75240971957146,44831.76604136334,44831.76604136334,40000.0,1
2023-04-21,0.0,160.75240971957146,44776.92439133114,44776.92439133114,40000.0,1
2023-04-24,0.0,160.75240971957146,44151.71290133172,44151.71290133172,40000.0,1
2023-04-25,0.0,160.75240971957146,43156.7139619963,43156.7139619963,40000.0,1
2023-04-26,0.0,160.75240971957146,46282.7468831223,46282.7468831223,40000.0,1
2023-04-27,0.0,160.75240971957146,47765.08543371084,47765.08543371084,40000.0,1
2023-04-28,0.0,160.75240971957146,48145.84709998234,48145.84709998234,40000.0,1
2023-05-01,0.0,194.27649651894217,57864.49085252387,57864.49085252387,50000.0,1
2023-05-02,0.0,194.27649651894217,57836.085740987546,57836.085740987546,50000.0,1
2023-05-03,0.0,194.27649651894217,57644.81517048591,57644.81517048591,50000.0,1
2023-05-04,0.0,194.27649651894217,57836.085740987546,57836.085740987546,50000.0,1
