date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,25.71820263623549,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,25.71820263623549,5728.944295681569,9728.94429568157,10000.0,0
2023-01-05,0.0,44.195603048178086,9553.159193239666,9553.159193239666,10000.0,1
2023-01-06,0.0,44.195603048178086,9665.746170236987,9665.746170236987,10000.0,1
2023-01-09,0.0,44.195603048178086,9759.854696930306,9759.854696930306,10000.0,0
2023-01-10,0.0,44.195603048178086,9834.19807271818,9834.19807271818,10000.0,0
2023-01-11,0.0,44.195603048178086,10131.564157784453,10131.564157784453,10000.0,0
2023-01-12,0.0,44.195603048178086,10249.307378386911,10249.307378386911,10000.0,0
2023-01-13,0.0,44.195603048178086,10280.248211874665,10280.248211874665,10000.0,0
2023-01-17,0.0,44.195603048178086,10328.378097579445,10328.378097579445,10000.0,0
2023-01-18,0.0,44.195603048178086,10133.283130443293,10133.283130443293,10000.0,0
2023-01-19,0.0,44.195603048178086,9966.550874992326,9966.550874992326,10000.0,0
2023-01-20,0.0,44.195603048178086,10322.790930659672,10322.790930659672,10000.0,0
2023-01-23,0.0,44.195603048178086,10424.206945674372,10424.206945674372,10000.0,0
2023-01-24,0.0,44.195603048178086,10401.000477594327,10401.000477594327,10000.0,0
2023-01-25,0.0,44.195603048178086,10339.550408304836,10339.550408304836,10000.0,0
2023-01-26,0.0,44.195603048178086,10657.115939448106,10657.115939448106,10000.0,0
2023-01-27,0.0,44.195603048178086,10663.99183008347,10663.99183008347,10000.0,0
2023-01-30,0.0,44.195603048178086,10429.79343822276,10429.79343822276,10000.0,0
2023-01-31,0.0,44.195603048178086,10648.94997635438,10648.94997635438,10000.0,0
2023-02-01,4000.0,68.57371279180579,16852.243135726403,20852.243135726403,20000.0,0
2023-02-02,4000.0,68.57371279180579,17642.351764858406,21642.351764858406,20000.0,0
2023-02-03,4000.0,68.57371279180579,17225.62855047848,21225.62855047848,20000.0,0
2023-02-06,4000.0,68.57371279180579,17120.281849369483,21120.281849369483,20000.0,0
2023-02-07,4000.0,68.57371279180579,17839.71045949859,21839.71045949859,20000.0,0
2023-02-08,4000.0,68.57371279180579,17784.366819102714,21784.366819102714,20000.0,0
2023-02-09,4000.0,68.57371279180579,17577.00500107554,21577.00500107554,20000.0,0
2023-02-10,4000.0,68.57371279180579,17542.335179913985,21542.335179913985,20000.0,0
2023-02-13,4000.0,68.57371279180579,18090.41007715362,22090.41007715362,20000.0,0
2023-02-14,4000.0,68.57371279180579,18147.082584359276,22147.082584359276,20000.0,0
2023-02-15,4000.0,68.57371279180579,18002.035202544306,22002.035202544306,20000.0,0
2023-02-16,4000.0,68.57371279180579,17522.775725366602,21522.775725366602,20000.0,0
2023-02-17,4000.0,68.57371279180579,17249.38806122621,21249.38806122621,20000.0,0
2023-02-21,4000.0,68.57371279180579,16889.106110300003,20889.106110300003,20000.0,0
2023-02-22,4000.0,68.57371279180579,16811.5683014772,20811.5683014772,20000.0,0
2023-02-23,4000.0,68.57371279180579,17029.47525313346,21029.47525313346,20000.0,0
2023-02-24,4000.0,68.57371279180579,16658.500632971725,20658.500632971725,20000.0,0
2023-02-27,4000.0,68.57371279180579,16721.3330133342,20721.3330133342,20000.0,0
2023-02-28,4000.0,68.57371279180579,16671.867777455907,20671.867777455907,20000.0,0
