date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,338.5325376220222,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,338.5325376220222,10474.535241397392,10474.535241397392,10000.0,1
2023-01-05,0.0,338.5325376220222,10484.35245770218,10484.35245770218,10000.0,1
2023-01-06,0.0,338.5325376220222,10682.394327974842,10682.394327974842,10000.0,1
2023-01-09,0.0,338.5325376220222,10669.530055386027,10669.530055386027,10000.0,1
2023-01-10,0.0,338.5325376220222,11088.295284824952,11088.295284824952,10000.0,1
2023-01-11,0.0,338.5325376220222,11078.816415096308,11078.816415096308,10000.0,1
2023-01-12,0.0,338.5325376220222,11175.974829814908,11175.974829814908,10000.0,1
2023-01-13,0.0,338.5325376220222,11267.040423364608,11267.040423364608,10000.0,1
2023-01-17,0.0,338.5325376220222,11043.609000190037,11043.609000190037,10000.0,1
2023-01-18,0.0,338.5325376220222,11047.33210392678,11047.33210392678,10000.0,1
2023-01-19,0.0,338.5325376220222,10690.180173423614,10690.180173423614,10000.0,1
2023-01-20,0.0,338.5325376220222,11594.73941355426,11594.73941355426,10000.0,1
2023-01-23,0.0,338.5325376220222,12099.830155978987,12099.830155978987,10000.0,1
2023-01-24,0.0,338.5325376220222,12316.829120009363,12316.829120009363,10000.0,1
2023-01-25,0.0,338.5325376220222,12456.643739906007,12456.643739906007,10000.0,1
2023-01-26,0.0,338.5325376220222,12352.036534915633,12352.036534915633,10000.0,1
2023-01-27,0.0,338.5325376220222,12213.23824614657,12213.23824614657,10000.0,1
2023-01-30,0.0,338.5325376220222,11953.92271491344,11953.92271491344,10000.0,1
2023-01-31,0.0,338.5325376220222,11979.312913514921,11979.312913514921,10000.0,1
2023-02-01,0.0,614.3693596143664,22239.557254890242,22239.557254890242,20000.0,1
2023-02-02,0.0,614.3693596143664,22540.59692866674,22540.59692866674,20000.0,1
2023-02-03,0.0,614.3693596143664,22479.774962034993,22479.774962034993,20000.0,1
2023-02-06,0.0,614.3693596143664,22208.222880126585,22208.222880126585,20000.0,1
2023-02-07,0.0,614.3693596143664,22298.534782259532,22298.534782259532,20000.0,1
2023-02-08,0.0,614.3693596143664,22536.910393774946,22536.910393774946,20000.0,1
2023-02-09,0.0,614.3693596143664,22270.88928602078,22270.88928602078,20000.0,1
2023-02-10,0.0,614.3693596143664,21340.73411306276,21340.73411306276,20000.0,1
2023-02-13,0.0,614.3693596143664,22029.441171490027,22029.441171490027,20000.0,1
2023-02-14,0.0,614.3693596143664,22114.838474978293,22114.838474978293,20000.0,1
2023-02-15,0.0,614.3693596143664,22204.536345234796,22204.536345234796,20000.0,1
2023-02-16,0.0,614.3693596143664,21546.54728606163,21546.54728606163,20000.0,1
2023-02-17,0.0,614.3693596143664,21377.597118347545,21377.597118347545,20000.0,1
2023-02-21,0.0,614.3693596143664,20734.965886984868,20734.965886984868,20000.0,1
2023-02-22,0.0,614.3693596143664,20574.000477297697,20574.000477297697,20000.0,1
2023-02-23,0.0,614.3693596143664,19884.065355117542,19884.065355117542,20000.0,1
2023-02-24,0.0,614.3693596143664,19484.724333914957,19484.724333914957,20000.0,1
2023-02-27,0.0,614.3693596143664,19845.974286079865,19845.974286079865,20000.0,1
2023-02-28,0.0,614.3693596143664,19790.680949969246,19790.680949969246,20000.0,1
2023-03-01,0.0,932.8910393820231,29244.267903973603,29244.267903973603,30000.0,1
2023-03-02,0.0,932.8910393820231,29095.00548002036,29095.00548002036,30000.0,1
2023-03-03,0.0,932.8910393820231,29402.85945184249,29402.85945184249,30000.0,1
2023-03-06,0.0,932.8910393820231,29108.998276219583,29108.998276219583,30000.0,1
2023-03-07,0.0,932.8910393820231,28776.890005695568,28776.890005695568,30000.0,1
2023-03-08,0.0,932.8910393820231,29086.610514040203,29086.610514040203,30000.0,1
2023-03-09,0.0,932.8910393820231,27779.629256839584,27779.629256839584,30000.0,1
2023-03-10,0.0,932.8910393820231,27311.317200626065,27311.317200626065,30000.0,1
2023-03-13,0.0,932.8910393820231,27381.284740319097,27381.284740319097,30000.0,1
2023-03-14,0.0,932.8910393820231,27514.68783155061,27514.68783155061,30000.0,1
2023-03-15,0.0,932.8910393820231,28340.296614925515,28340.296614925515,30000.0,1
2023-03-16,0.0,932.8910393820231,28925.220051061788,28925.220051061788,30000.0,1
2023-03-17,0.0,932.8910393820231,28313.24340111409,28313.24340111409,30000.0,1
2023-03-20,0.0,932.8910393820231,28465.304740176874,28465.304740176874,30000.0,1
2023-03-21,0.0,932.8910393820231,28526.8755345413,28526.8755345413,30000.0,1
2023-03-22,0.0,932.8910393820231,27417.667078046157,27417.667078046157,30000.0,1
2023-03-23,0.0,932.8910393820231,29887.029061429294,29887.029061429294,30000.0,1
2023-03-24,0.0,932.8910393820231,30635.209497066488,30635.209497066488,30000.0,1
2023-03-27,0.0,932.8910393820231,30567.106714547514,30567.106714547514,30000.0,1
2023-03-28,0.0,932.8910393820231,30180.892016400645,30180.892016400645,30000.0,1
2023-03-29,0.0,932.8910393820231,30974.78035498363,30974.78035498363,30000.0,1
