date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,699.0711205302056,9985.017481269355,9985.017481269355,10000.0,1
2023-01-04,0.0,699.0711205302056,10287.74033852555,10287.74033852555,10000.0,1
2023-01-05,0.0,699.0711205302056,9950.14179418785,9950.14179418785,10000.0,1
2023-01-06,0.0,699.0711205302056,10364.46858348891,10364.46858348891,10000.0,1
2023-01-09,0.0,699.0711205302056,10900.862277633758,10900.862277633758,10000.0,1
2023-01-10,0.0,699.0711205302056,11096.865345748416,11096.865345748416,10000.0,1
2023-01-11,0.0,699.0711205302056,11161.036556643492,11161.036556643492,10000.0,1
2023-01-12,0.0,699.0711205302056,11516.774298375929,11516.774298375929,10000.0,1
2023-01-13,0.0,699.0711205302056,11787.414216929279,11787.414216929279,10000.0,1
2023-01-17,0.0,699.0711205302056,12347.522604933587,12347.522604933587,10000.0,1
2023-01-18,0.0,699.0711205302056,12120.826638786766,12120.826638786766,10000.0,1
2023-01-19,0.0,699.0711205302056,11693.942148731248,11693.942148731248,10000.0,1
2023-01-20,0.0,699.0711205302056,12443.082734225423,12443.082734225423,10000.0,1
2023-01-23,0.0,699.0711205302056,13387.526367352619,13387.526367352619,10000.0,1
2023-01-24,0.0,699.0711205302056,13437.746503391685,13437.746503391685,10000.0,1
2023-01-25,0.0,699.0711205302056,13478.20368711347,13478.20368711347,10000.0,1
2023-01-26,0.0,699.0711205302056,13812.317462824945,13812.317462824945,10000.0,1
2023-01-27,0.0,699.0711205302056,14205.022286163561,14205.022286163561,10000.0,1
2023-01-30,0.0,699.0711205302056,13365.90306801783,13365.90306801783,10000.0,1
2023-01-31,0.0,699.0711205302056,13627.474721246153,13627.474721246153,10000.0,1
2023-02-01,0.0,1176.9014802594334,24593.208896942804,24593.208896942804,20000.0,1
2023-02-02,0.0,1176.9014802594334,25492.707249288756,25492.707249288756,20000.0,1
2023-02-03,0.0,1176.9014802594334,24777.564418849204,24777.564418849204,20000.0,1
2023-02-06,0.0,1176.9014802594334,24764.650306346284,24764.650306346284,20000.0,1
2023-02-07,0.0,1176.9014802594334,26037.58492531379,26037.58492531379,20000.0,1
2023-02-08,0.0,1176.9014802594334,26075.15998687931,26075.15998687931,20000.0,1
2023-02-09,0.0,1176.9014802594334,26230.165253097253,26230.165253097253,20000.0,1
2023-02-10,0.0,1176.9014802594334,24971.32100162164,24971.32100162164,20000.0,1
2023-02-13,0.0,1176.9014802594334,25585.478749640013,25585.478749640013,20000.0,1
2023-02-14,0.0,1176.9014802594334,26974.669563032414,26974.669563032414,20000.0,1
2023-02-15,0.0,1176.9014802594334,26731.58659261193,26731.58659261193,20000.0,1
2023-02-16,0.0,1176.9014802594334,25836.77754689184,25836.77754689184,20000.0,1
2023-02-17,0.0,1176.9014802594334,25115.764665314597,25115.764665314597,20000.0,1
2023-02-21,0.0,1176.9014802594334,24255.00640571598,24255.00640571598,20000.0,1
2023-02-22,0.0,1176.9014802594334,24371.260355379436,24371.260355379436,20000.0,1
2023-02-23,0.0,1176.9014802594334,27788.449455438058,27788.449455438058,20000.0,1
2023-02-24,0.0,1176.9014802594334,27344.568085641342,27344.568085641342,20000.0,1
2023-02-27,0.0,1176.9014802594334,27597.040893120702,27597.040893120702,20000.0,1
2023-02-28,0.0,1176.9014802594334,27262.364922099357,27262.364922099357,20000.0,1
2023-03-01,0.0,1617.786294845278,36639.103685533744,36639.103685533744,30000.0,1
2023-03-02,0.0,1617.786294845278,37633.452521228464,37633.452521228464,30000.0,1
2023-03-03,0.0,1617.786294845278,38563.22727971327,38563.22727971327,30000.0,1
2023-03-06,0.0,1617.786294845278,38020.86304198064,38020.86304198064,30000.0,1
2023-03-07,0.0,1617.786294845278,37597.86534521366,37597.86534521366,30000.0,1
2023-03-08,0.0,1617.786294845278,39039.59185493132,39039.59185493132,30000.0,1
2023-03-09,0.0,1617.786294845278,37836.8113392359,37836.8113392359,30000.0,1
2023-03-10,0.0,1617.786294845278,37076.3850064898,37076.3850064898,30000.0,1
2023-03-13,0.0,1617.786294845278,37077.998818425614,37077.998818425614,30000.0,1
2023-03-14,0.0,1617.786294845278,38849.08490444332,38849.08490444332,30000.0,1
2023-03-15,0.0,1617.786294845278,39115.478044104304,39115.478044104304,30000.0,1
2023-03-16,0.0,1617.786294845278,41235.27093555695,41235.27093555695,30000.0,1
2023-03-17,0.0,1617.786294845278,41532.34501609328,41532.34501609328,30000.0,1
2023-03-20,0.0,1617.786294845278,41814.863932382505,41814.863932382505,30000.0,1
2023-03-21,0.0,1617.786294845278,42297.59735623443,42297.59735623443,30000.0,1
2023-03-22,0.0,1617.786294845278,42731.89173655212,42731.89173655212,30000.0,1
2023-03-23,0.0,1617.786294845278,43899.156046929726,43899.156046929726,30000.0,1
2023-03-24,0.0,1617.786294845278,43233.990903633814,43233.990903633814,30000.0,1
2023-03-27,0.0,1617.786294845278,42833.605088063094,42833.605088063094,30000.0,1
2023-03-28,0.0,1617.786294845278,42638.25361608517,42638.25361608517,30000.0,1
2023-03-29,0.0,1617.786294845278,43564.958120504714,43564.958120504714,30000.0,1
2023-03-30,0.0,1617.786294845278,44209.1344515876,44209.1344515876,30000.0,1
2023-03-31,0.0,1617.786294845278,44845.23863730893,44845.23863730893,30000.0,1
2023-04-03,0.0,1975.5729982026032,55133.77310412797,55133.77310412797,40000.0,1
2023-04-04,0.0,1975.5729982026032,54124.35013774975,54124.35013774975,40000.0,1
2023-04-05,0.0,1975.5729982026032,52996.6387734689,52996.6387734689,40000.0,1
2023-04-06,0.0,1975.5729982026032,53304.199158713825,53304.199158713825,40000.0,1
2023-04-10,0.0,1975.5729982026032,54372.762555936904,54372.762555936904,40000.0,1
2023-04-11,0.0,1975.5729982026032,53564.439663069956,53564.439663069956,40000.0,1
2023-04-12,0.0,1975.5729982026032,52235.635761490754,52235.635761490754,40000.0,1
2023-04-13,0.0,1975.5729982026032,52172.54258697235,52172.54258697235,40000.0,1
2023-04-14,0.0,1975.5729982026032,52754.14228241946,52754.14228241946,40000.0,1
2023-04-17,0.0,1975.5729982026032,53235.19382516417,53235.19382516417,40000.0,1
2023-04-18,0.0,1975.5729982026032,54546.2612496496,54546.2612496496,40000.0,1
