date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,419.4426723181234,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,419.4426723181234,6172.644203115331,10172.644203115331,10000.0,0
2023-01-05,4000.0,419.4426723181234,5970.085076512712,9970.08507651271,10000.0,0
2023-01-06,4000.0,419.4426723181234,6218.681150093347,10218.681150093347,10000.0,0
2023-01-09,4000.0,419.4426723181234,6540.517366580255,10540.517366580254,10000.0,0
2023-01-10,4000.0,419.4426723181234,6658.119207449051,10658.11920744905,10000.0,0
2023-01-11,4000.0,419.4426723181234,6696.621933986096,10696.621933986096,10000.0,0
2023-01-12,4000.0,419.4426723181234,6910.064579025559,10910.064579025558,10000.0,0
2023-01-13,4000.0,419.4426723181234,7072.448530157568,11072.448530157568,10000.0,0
2023-01-17,4000.0,419.4426723181234,7408.513562960154,11408.513562960154,10000.0,0
2023-01-18,4000.0,419.4426723181234,7272.4959832720615,11272.495983272061,10000.0,0
2023-01-19,4000.0,419.4426723181234,7016.36528923875,11016.36528923875,10000.0,0
2023-01-20,4000.0,419.4426723181234,7465.849640535255,11465.849640535256,10000.0,0
2023-01-23,4000.0,419.4426723181234,8032.515820411573,12032.515820411572,10000.0,0
2023-01-24,4000.0,419.4426723181234,8062.6479020350125,12062.647902035013,10000.0,0
2023-01-25,4000.0,419.4426723181234,8086.922212268084,12086.922212268084,10000.0,0
2023-01-26,4000.0,419.4426723181234,8287.39047769497,12287.39047769497,10000.0,0
2023-01-27,4000.0,419.4426723181234,8523.013371698138,12523.013371698138,10000.0,0
2023-01-30,4000.0,419.4426723181234,8019.541840810699,12019.5418408107,10000.0,0
2023-01-31,4000.0,419.4426723181234,8176.484832747694,12176.484832747694,10000.0,0
2023-02-01,8000.0,706.1408881556602,14755.925338165684,22755.92533816568,20000.0,0
2023-02-02,8000.0,706.1408881556602,15295.624349573256,23295.624349573256,20000.0,0
2023-02-03,8000.0,706.1408881556602,14866.538651309525,22866.538651309525,20000.0,0
2023-02-06,8000.0,706.1408881556602,14858.790183807772,22858.790183807774,20000.0,0
2023-02-07,8000.0,706.1408881556602,15622.550955188277,23622.55095518828,20000.0,0
2023-02-08,8000.0,706.1408881556602,15645.095992127588,23645.095992127586,20000.0,0
2023-02-09,8000.0,706.1408881556602,15738.099151858356,23738.099151858354,20000.0,0
2023-02-10,8000.0,706.1408881556602,14982.792600972985,22982.792600972985,20000.0,0
2023-02-13,8000.0,706.1408881556602,15351.28724978401,23351.28724978401,20000.0,0
2023-02-14,8000.0,706.1408881556602,16184.80173781945,24184.80173781945,20000.0,0
2023-02-15,8000.0,706.1408881556602,16038.951955567161,24038.95195556716,20000.0,0
2023-02-16,8000.0,706.1408881556602,15502.066528135107,23502.066528135107,20000.0,0
2023-02-17,8000.0,706.1408881556602,15069.45879918876,23069.45879918876,20000.0,0
2023-02-21,8000.0,706.1408881556602,14553.00384342959,22553.00384342959,20000.0,0
2023-02-22,8000.0,706.1408881556602,14622.756213227665,22622.756213227665,20000.0,0
2023-02-23,8000.0,706.1408881556602,16673.06967326284,24673.06967326284,20000.0,0
2023-02-24,8000.0,706.1408881556602,16406.74085138481,24406.74085138481,20000.0,0
2023-02-27,8000.0,706.1408881556602,16558.224535872425,24558.224535872425,20000.0,0
2023-02-28,8000.0,706.1408881556602,16357.418953259617,24357.418953259617,20000.0,0
2023-03-01,12000.0,970.671776907167,21983.46221132025,33983.46221132025,30000.0,0
2023-03-02,12000.0,970.671776907167,22580.071512737082,34580.07151273708,30000.0,0
2023-03-03,12000.0,970.671776907167,23137.936367827966,35137.93636782796,30000.0,0
2023-03-06,12000.0,970.671776907167,22812.517825188388,34812.51782518839,30000.0,0
2023-03-07,12000.0,970.671776907167,22558.719207128197,34558.7192071282,30000.0,0
2023-03-08,12000.0,970.671776907167,23423.755112958796,35423.755112958796,30000.0,0
2023-03-09,12000.0,970.671776907167,22702.086803541544,34702.08680354155,30000.0,0
2023-03-10,12000.0,970.671776907167,22245.831003893883,34245.83100389388,30000.0,0
2023-03-13,12000.0,970.671776907167,22246.799291055373,34246.79929105537,30000.0,0
2023-03-14,12000.0,970.671776907167,23309.450942665993,35309.45094266599,30000.0,0
2023-03-15,12000.0,970.671776907167,23469.286826462587,35469.28682646259,30000.0,0
2023-03-16,12000.0,970.671776907167,24741.16256133418,36741.162561334175,30000.0,0
2023-03-17,12000.0,970.671776907167,24919.40700965597,36919.40700965597,30000.0,0
2023-03-20,12000.0,970.671776907167,25088.918359429506,37088.9183594295,30000.0,0
2023-03-21,12000.0,970.671776907167,25378.558413740666,37378.55841374067,30000.0,0
2023-03-22,12000.0,970.671776907167,25639.135041931277,37639.13504193128,30000.0,0
2023-03-23,12000.0,970.671776907167,26339.493628157838,38339.49362815784,30000.0,0
2023-03-24,12000.0,970.671776907167,25940.394542180293,37940.39454218029,30000.0,0
2023-03-27,12000.0,970.671776907167,25700.16305283786,37700.16305283786,30000.0,0
2023-03-28,12000.0,970.671776907167,25582.952169651104,37582.95216965111,30000.0,0
2023-03-29,12000.0,970.671776907167,26138.97487230283,38138.97487230283,30000.0,0
2023-03-30,12000.0,970.671776907167,26525.480670952566,38525.480670952566,30000.0,0
