date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,130.33808514434426,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,130.33808514434426,5997.685403285933,9997.685403285934,10000.0,0
2023-01-05,4000.0,130.33808514434426,5977.242514229556,9977.242514229556,10000.0,0
2023-01-06,4000.0,130.33808514434426,6123.67895188551,10123.678951885511,10000.0,0
2023-01-09,4000.0,130.33808514434426,6047.331354136411,10047.331354136411,10000.0,0
2023-01-10,4000.0,130.33808514434426,6043.577491592009,10043.577491592008,10000.0,0
2023-01-11,4000.0,130.33808514434426,6096.5626399058265,10096.562639905827,10000.0,0
2023-01-12,4000.0,130.33808514434426,6041.4917361782655,10041.491736178265,10000.0,0
2023-01-13,4000.0,130.33808514434426,6061.51797135223,10061.51797135223,10000.0,0
2023-01-17,4000.0,130.33808514434426,6024.803206866628,10024.803206866629,10000.0,0
2023-01-18,0.0,218.93294843042213,9869.869363620912,9869.869363620912,10000.0,1
2023-01-19,0.0,218.93294843042213,9729.012455904625,9729.012455904625,10000.0,1
2023-01-20,0.0,218.93294843042213,9848.84497227956,9848.84497227956,10000.0,1
2023-01-23,0.0,218.93294843042213,9996.010700691508,9996.010700691508,10000.0,0
2023-01-24,0.0,218.93294843042213,10022.639870387186,10022.639870387186,10000.0,0
2023-01-25,0.0,218.93294843042213,9974.987979675994,9974.987979675994,10000.0,0
2023-01-26,0.0,218.93294843042213,9965.874681895872,9965.874681895872,10000.0,0
2023-01-27,0.0,218.93294843042213,10042.262023186307,10042.262023186307,10000.0,0
2023-01-30,0.0,218.93294843042213,9961.672142083775,9961.672142083775,10000.0,0
2023-01-31,0.0,218.93294843042213,10082.207865637123,10082.207865637123,10000.0,0
2023-02-01,4000.0,348.30707501018554,16129.2786653858,20129.2786653858,20000.0,0
2023-02-02,4000.0,348.30707501018554,16012.217438618747,20012.217438618747,20000.0,0
2023-02-03,4000.0,348.30707501018554,15799.271583295977,19799.271583295977,20000.0,0
2023-02-06,0.0,437.0027030517937,19678.442898164787,19678.442898164787,20000.0,1
2023-02-07,0.0,437.0027030517937,19720.40545325367,19720.40545325367,20000.0,0
2023-02-08,0.0,437.0027030517937,19614.09709076467,19614.09709076467,20000.0,1
2023-02-09,0.0,437.0027030517937,19795.94372032591,19795.94372032591,20000.0,0
2023-02-10,0.0,437.0027030517937,20103.683016252846,20103.683016252846,20000.0,0
2023-02-13,0.0,437.0027030517937,20410.022004446,20410.022004446,20000.0,0
2023-02-14,0.0,437.0027030517937,20351.2674257829,20351.2674257829,20000.0,0
2023-02-15,0.0,437.0027030517937,20502.342292894366,20502.342292894366,20000.0,0
2023-02-16,0.0,437.0027030517937,20180.61825699283,20180.61825699283,20000.0,0
2023-02-17,0.0,437.0027030517937,20484.154962685418,20484.154962685418,20000.0,0
2023-02-21,0.0,437.0027030517937,20608.652322416383,20608.652322416383,20000.0,0
2023-02-22,0.0,437.0027030517937,20176.420667857532,20176.420667857532,20000.0,0
2023-02-23,0.0,437.0027030517937,19875.67790950044,19875.67790950044,20000.0,0
2023-02-24,0.0,437.0027030517937,19928.831257228427,19928.831257228427,20000.0,0
2023-02-27,0.0,437.0027030517937,19784.7529276868,19784.7529276868,20000.0,0
2023-02-28,0.0,437.0027030517937,19881.2741393365,19881.2741393365,20000.0,0
2023-03-01,0.0,659.5803089350828,29589.324087128698,29589.324087128698,30000.0,1
2023-03-02,0.0,659.5803089350828,29663.214372363134,29663.214372363134,30000.0,1
2023-03-03,0.0,659.5803089350828,29699.104011365554,29699.104011365554,30000.0,0
2023-03-06,0.0,659.5803089350828,29694.88199690635,29694.88199690635,30000.0,0
2023-03-07,0.0,659.5803089350828,29399.308275472595,29399.308275472595,30000.0,1
2023-03-08,0.0,659.5803089350828,29156.514766977263,29156.514766977263,30000.0,1
2023-03-09,0.0,659.5803089350828,28960.16844973156,28960.16844973156,30000.0,1
2023-03-10,0.0,659.5803089350828,28917.943272941135,28917.943272941135,30000.0,1
2023-03-13,0.0,659.5803089350828,29002.39362652198,29002.39362652198,30000.0,1
2023-03-14,0.0,659.5803089350828,29156.514766977263,29156.514766977263,30000.0,1
2023-03-15,0.0,659.5803089350828,29481.645105724638,29481.645105724638,30000.0,0
2023-03-16,0.0,659.5803089350828,29314.173542909088,29314.173542909088,30000.0,1
2023-03-17,0.0,659.5803089350828,29551.605244007184,29551.605244007184,30000.0,0
2023-03-20,0.0,659.5803089350828,29869.589861023847,29869.589861023847,30000.0,0
2023-03-21,0.0,659.5803089350828,29767.838809337234,29767.838809337234,30000.0,0
2023-03-22,0.0,659.5803089350828,29577.04803912724,29577.04803912724,30000.0,0
2023-03-23,0.0,659.5803089350828,29816.593263554136,29816.593263554136,30000.0,0
2023-03-24,0.0,659.5803089350828,30060.388179531445,30060.388179531445,30000.0,0
2023-03-27,0.0,659.5803089350828,30562.80286797809,30562.80286797809,30000.0,0
2023-03-28,0.0,659.5803089350828,30444.090791577844,30444.090791577844,30000.0,0
2023-03-29,0.0,659.5803089350828,30575.52929773652,30575.52929773652,30000.0,0
2023-03-30,0.0,659.5803089350828,30880.792517193153,30880.792517193153,30000.0,0
2023-03-31,0.0,659.5803089350828,31258.13443045954,31258.13443045954,30000.0,0
2023-04-03,4000.0,784.9428310882176,37512.0143832409,41512.0143832409,40000.0,0
2023-04-04,4000.0,784.9428310882176,37143.68017534375,41143.68017534375,40000.0,0
2023-04-05,4000.0,784.9428310882176,37759.255325482394,41759.255325482394,40000.0,0
2023-04-06,4000.0,784.9428310882176,38044.33548035688,42044.33548035688,40000.0,0
2023-04-10,4000.0,784.9428310882176,37971.175277598166,41971.175277598166,40000.0,0
2023-04-11,4000.0,784.9428310882176,37860.163884929396,41860.163884929396,40000.0,0
2023-04-12,4000.0,784.9428310882176,37676.00426677899,41676.00426677899,40000.0,0
2023-04-13,4000.0,784.9428310882176,37713.84647373125,41713.84647373125,40000.0,0
2023-04-14,4000.0,784.9428310882176,37459.03888669087,41459.03888669087,40000.0,0
2023-04-17,4000.0,784.9428310882176,37721.41910716868,41721.41910716868,40000.0,0
2023-04-18,4000.0,784.9428310882176,37804.667171552814,41804.667171552814,40000.0,0
2023-04-19,4000.0,784.9428310882176,37845.033589650884,41845.033589650884,40000.0,0
2023-04-20,4000.0,784.9428310882176,38087.22610960076,42087.22610960076,40000.0,0
2023-04-21,4000.0,784.9428310882176,38278.96135550786,42278.96135550786,40000.0,0
2023-04-24,4000.0,784.9428310882176,38538.81137620132,42538.81137620132,40000.0,0
2023-04-25,4000.0,784.9428310882176,38238.59493740979,42238.59493740979,40000.0,0
2023-04-26,4000.0,784.9428310882176,38072.08683136444,42072.08683136444,40000.0,0
